# NO SAMPLE
FTS 150 GHz source w/rectangular feedhorn and 95 GHz diode detector w/ 
higher gain round feedhorn w/circ-rect waveguide converter

27-01 sample measurements with a 2" spacing on the etalon.

X  polarization measurements.




# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1107604300.000000 173.011500 0.000187994
1 1107604380.000000 173.164000 0.000187875
2 1107604460.000000 173.313500 0.000187726
3 1107604540.000000 173.467500 0.000187607
4 1107604620.000000 173.619000 0.000187696
5 1107604700.000000 173.770500 0.000187905
6 1107604780.000000 173.930500 0.000187845
7 1107604860.000000 174.087000 0.000187756
8 1107604940.000000 174.239000 0.000187636
9 1107605020.000000 174.394500 0.000187577
10 1107605100.000000 174.546000 0.000187636
11 1107605180.000000 174.704000 0.000187756
12 1107605260.000000 174.859000 0.000187815
13 1107605340.000000 175.010500 0.000187815
14 1107605420.000000 175.168000 0.000187845
15 1107605500.000000 175.322500 0.000187726
16 1107605580.000000 175.475500 0.000187547
17 1107605660.000000 175.633000 0.000187577
18 1107605740.000000 175.786500 0.000187666
19 1107605820.000000 175.941500 0.000187785
20 1107605900.000000 176.098500 0.000187815
21 1107605980.000000 176.251500 0.000187726
22 1107606060.000000 176.409000 0.000187666
23 1107606140.000000 176.563500 0.000187577
24 1107606220.000000 176.718000 0.000187607
25 1107606300.000000 176.876000 0.000187666
26 1107606380.000000 177.030500 0.000187696
27 1107606461.000000 177.184500 0.000187696
28 1107606540.000000 177.339500 0.000187636
29 1107606620.000000 177.499000 0.000187487
30 1107606700.000000 177.652000 0.000187368
31 1107606780.000000 177.806500 0.000187398
32 1107606860.000000 177.965000 0.000187428
33 1107606940.000000 178.117000 0.000187577
34 1107607020.000000 178.273500 0.000187607
35 1107607100.000000 178.427500 0.000187428
36 1107607180.000000 178.579500 0.000187279
37 1107607260.000000 178.737000 0.000187249
38 1107607340.000000 178.894000 0.000187279
39 1107607420.000000 179.046500 0.000187428
40 1107607500.000000 179.203000 0.000187607
41 1107607580.000000 179.355000 0.000187577
42 1107607660.000000 179.512500 0.000187517
43 1107607740.000000 179.664000 0.000187338
44 1107607820.000000 179.820000 0.000187279
45 1107607900.000000 179.978000 0.000187338
46 1107607980.000000 180.128000 0.000187487
47 1107608060.000000 180.284500 0.000187517
48 1107608140.000000 180.438000 0.000187696
49 1107608220.000000 180.593500 0.000187607
50 1107608300.000000 180.750000 0.000187517
51 1107608380.000000 180.902500 0.000187338
52 1107608460.000000 181.055500 0.000187368
53 1107608540.000000 181.213500 0.000187428
54 1107608620.000000 181.366500 0.000187517
55 1107608700.000000 181.524500 0.000187458
56 1107608780.000000 181.680500 0.000187398
57 1107608860.000000 181.836000 0.000187189
58 1107608940.000000 181.993500 0.000187219
59 1107609020.000000 182.148500 0.000187249
60 1107609100.000000 182.305500 0.000187309
61 1107609180.000000 182.457000 0.000187428
62 1107609260.000000 182.614500 0.000187398
63 1107609340.000000 182.767500 0.000187189
64 1107609420.000000 182.923500 0.00018704
65 1107609500.000000 183.083500 0.0001871
66 1107609580.000000 183.234000 0.00018716
67 1107609660.000000 183.390500 0.000187249
68 1107609740.000000 183.547000 0.000187368
69 1107609820.000000 183.702000 0.000187279
70 1107609900.000000 183.855500 0.00018716
71 1107609980.000000 184.011500 0.0001871
72 1107610060.000000 184.164000 0.00018707
73 1107610140.000000 184.321500 0.00018713
74 1107610220.000000 184.477500 0.000187279
75 1107610300.000000 184.631000 0.000187279
76 1107610380.000000 184.786500 0.000187279
77 1107610460.000000 184.942000 0.00018713
78 1107610540.000000 185.096500 0.00018713
79 1107610620.000000 185.253000 0.000187249
80 1107610700.000000 185.408500 0.000187368
81 1107610780.000000 185.562500 0.000187338
82 1107610860.000000 185.716000 0.000187338
83 1107610940.000000 185.873000 0.000187279
84 1107611020.000000 186.027000 0.000187279
85 1107611100.000000 186.181500 0.000187279
86 1107611180.000000 186.337500 0.000187338
87 1107611260.000000 186.491000 0.000187338
88 1107611340.000000 186.648500 0.000187279
89 1107611420.000000 186.807000 0.000187249
90 1107611500.000000 186.957000 0.000187309
91 1107611580.000000 187.111500 0.000187279
92 1107611660.000000 187.267000 0.000187279
93 1107611740.000000 187.424500 0.000187219
94 1107611820.000000 187.579000 0.000187279
95 1107611900.000000 187.731500 0.000187279
96 1107611980.000000 187.891500 0.000187279
97 1107612060.000000 188.047000 0.000187368
98 1107612140.000000 188.199500 0.000187338
99 1107612220.000000 188.357000 0.000187279
100 1107612300.000000 188.507000 0.000187219
101 1107612380.000000 188.665000 0.00018716
102 1107612460.000000 188.818500 0.00018713
103 1107612540.000000 188.970500 0.00018704
104 1107612620.000000 189.127500 0.00018707
105 1107612700.000000 189.284500 0.000187219
106 1107612780.000000 189.440000 0.000187338
107 1107612860.000000 189.595500 0.000187309
108 1107612940.000000 189.749000 0.00018716
109 1107613020.000000 189.903500 0.000187219
110 1107613100.000000 190.058000 0.00018716
111 1107613180.000000 190.211500 0.000187279
112 1107613260.000000 190.368500 0.000187368
113 1107613340.000000 190.523000 0.000187249
114 1107613420.000000 190.676500 0.00018713
115 1107613500.000000 190.832500 0.000186951
116 1107613580.000000 190.988500 0.000186981
117 1107613660.000000 191.142500 0.000187249
