# NO SAMPLE - ONE ARM SCANS
FTS 150 GHz source w/rectangular feedhorn and 95 GHz diode detector w/ 
higher gain round feedhorn w/circ-rect waveguide converter

One Arm Scans

27-01 sample measurements with a 2" spacing on the etalon.

Y  polarization measurements.




# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1070981660.000000 173.011500 0.000136853
1 1070981740.000000 173.167000 0.000136704
2 1070981820.000000 173.321500 0.000136764
3 1070981900.000000 173.473000 0.000136764
4 1070981980.000000 173.628500 0.000136764
5 1070982060.000000 173.780500 0.000136794
6 1070982140.000000 173.937000 0.000136823
7 1070982220.000000 174.090500 0.000136734
8 1070982300.000000 174.247500 0.000136764
9 1070982380.000000 174.404500 0.000136734
10 1070982460.000000 174.555500 0.000136823
11 1070982540.000000 174.712000 0.000136764
12 1070982620.000000 174.864500 0.000136764
13 1070982700.000000 175.019000 0.000136764
14 1070982780.000000 175.176500 0.000136734
15 1070982860.000000 175.330000 0.000136704
16 1070982940.000000 175.483500 0.000136674
17 1070983020.000000 175.641500 0.000136674
18 1070983100.000000 175.794000 0.000136674
19 1070983180.000000 175.950000 0.000136645
20 1070983260.000000 176.105500 0.000136615
21 1070983340.000000 176.258500 0.000136645
22 1070983420.000000 176.417000 0.000136645
23 1070983500.000000 176.571000 0.000136674
24 1070983580.000000 176.728000 0.000136645
25 1070983660.000000 176.882000 0.000136615
26 1070983740.000000 177.037500 0.000136555
27 1070983820.000000 177.194500 0.000136525
28 1070983900.000000 177.347000 0.000136466
29 1070983980.000000 177.504000 0.000136466
30 1070984060.000000 177.661500 0.000136436
31 1070984140.000000 177.813500 0.000136436
32 1070984220.000000 177.971500 0.000136406
33 1070984300.000000 178.125500 0.000136525
34 1070984380.000000 178.279500 0.000136436
35 1070984460.000000 178.436500 0.000136406
36 1070984540.000000 178.586500 0.000136376
37 1070984620.000000 178.743000 0.000136287
38 1070984700.000000 178.900000 0.000136317
39 1070984780.000000 179.054500 0.000136317
40 1070984860.000000 179.210000 0.000136347
41 1070984940.000000 179.364000 0.000136317
42 1070985020.000000 179.519500 0.000136287
43 1070985100.000000 179.674000 0.000136376
44 1070985180.000000 179.829500 0.000136257
45 1070985260.000000 179.984500 0.000136317
46 1070985340.000000 180.138000 0.000136287
47 1070985420.000000 180.292500 0.000136257
48 1070985500.000000 180.448000 0.000136287
49 1070985580.000000 180.603000 0.000136347
50 1070985660.000000 180.757000 0.000136436
51 1070985740.000000 180.911500 0.000136496
52 1070985820.000000 181.065500 0.000136406
53 1070985900.000000 181.220500 0.000136466
54 1070985980.000000 181.375000 0.000136406
55 1070986060.000000 181.530500 0.000136376
56 1070986140.000000 181.688000 0.000136287
57 1070986220.000000 181.845500 0.000136287
58 1070986300.000000 182.002500 0.000136287
59 1070986380.000000 182.154000 0.000136287
60 1070986460.000000 182.312500 0.000136347
61 1070986540.000000 182.466000 0.000136287
62 1070986620.000000 182.619000 0.000136198
63 1070986700.000000 182.776500 0.000136287
64 1070986780.000000 182.933000 0.000136198
65 1070986860.000000 183.088500 0.000136138
66 1070986940.000000 183.244500 0.000136257
67 1070987020.000000 183.400500 0.000136227
68 1070987100.000000 183.554000 0.000136287
69 1070987180.000000 183.708000 0.000136198
70 1070987260.000000 183.864500 0.000136227
71 1070987340.000000 184.018500 0.000136257
72 1070987420.000000 184.174500 0.000136198
73 1070987500.000000 184.332000 0.000136198
74 1070987580.000000 184.483500 0.000136168
75 1070987660.000000 184.641000 0.000136138
76 1070987740.000000 184.792500 0.000136168
77 1070987820.000000 184.946500 0.000136227
78 1070987900.000000 185.105500 0.000136108
79 1070987980.000000 185.260500 0.000136198
80 1070988060.000000 185.415500 0.000136227
81 1070988140.000000 185.570000 0.000136168
82 1070988220.000000 185.724000 0.000136198
83 1070988300.000000 185.881000 0.000136257
84 1070988380.000000 186.035000 0.000136257
85 1070988460.000000 186.187500 0.000136227
86 1070988540.000000 186.344000 0.000136198
87 1070988620.000000 186.500000 0.000136168
88 1070988700.000000 186.657000 0.000136257
89 1070988780.000000 186.811000 0.000136108
90 1070988860.000000 186.966500 0.000136168
91 1070988940.000000 187.123500 0.000136108
92 1070989020.000000 187.276500 0.000136138
93 1070989100.000000 187.432500 0.000136108
94 1070989180.000000 187.586500 0.000136108
95 1070989260.000000 187.742000 0.000136138
96 1070989340.000000 187.899500 0.000136108
97 1070989420.000000 188.052000 0.000136138
98 1070989500.000000 188.208000 0.000136108
99 1070989580.000000 188.366000 0.000136168
100 1070989661.000000 188.517000 0.000136019
101 1070989740.000000 188.671500 0.000136049
102 1070989820.000000 188.824500 0.000135989
103 1070989900.000000 188.979500 0.000135989
104 1070989980.000000 189.136500 0.000136049
105 1070990060.000000 189.291000 0.000136108
106 1070990140.000000 189.445500 0.000136019
107 1070990220.000000 189.603500 0.000136049
108 1070990300.000000 189.757000 0.000136138
109 1070990380.000000 189.911500 0.000136317
110 1070990460.000000 190.066000 0.000136347
111 1070990540.000000 190.219500 0.000136376
112 1070990620.000000 190.376000 0.000136257
113 1070990700.000000 190.531000 0.000136108
114 1070990780.000000 190.684500 0.000136108
115 1070990860.000000 190.840500 0.000136168
116 1070990940.000000 190.995500 0.000136198
117 1070991020.000000 191.149000 0.000136138
118 1070991100.000000 191.303500 0.000136108
119 1070991180.000000 191.461500 0.000136198
120 1070991260.000000 191.615500 0.000136257
121 1070991340.000000 191.772000 0.000136198
122 1070991420.000000 191.927500 0.000136257
123 1070991500.000000 192.084500 0.000136138
124 1070991580.000000 192.242000 0.000136138
125 1070991660.000000 192.395500 0.000136168
126 1070991740.000000 192.550500 0.000136227
127 1070991820.000000 192.706500 0.000136257
128 1070991900.000000 192.859500 0.000136257
129 1070991980.000000 193.017000 0.000136227
130 1070992060.000000 193.173000 0.000136138
131 1070992140.000000 193.326500 0.000136138
132 1070992220.000000 193.483500 0.000136257
133 1070992300.000000 193.640000 0.000136168
134 1070992380.000000 193.794000 0.000136168
135 1070992460.000000 193.948000 0.000136138
136 1070992540.000000 194.103000 0.000136257
137 1070992620.000000 194.257000 0.000136257
138 1070992700.000000 194.414500 0.000136287
139 1070992780.000000 194.569500 0.000136317
140 1070992860.000000 194.723000 0.000136317
141 1070992940.000000 194.878000 0.000136287
142 1070993020.000000 195.033000 0.000136257
143 1070993100.000000 195.190000 0.000136257
144 1070993180.000000 195.341500 0.000136287
145 1070993260.000000 195.498000 0.000136287
146 1070993340.000000 195.655000 0.000136347
147 1070993420.000000 195.810500 0.000136287
148 1070993500.000000 195.964500 0.000136317
149 1070993580.000000 196.116500 0.000136317
150 1070993660.000000 196.272000 0.000136347
151 1070993740.000000 196.427500 0.000136317
152 1070993820.000000 196.580500 0.000136317
153 1070993900.000000 196.740000 0.000136347
154 1070993980.000000 196.891500 0.000136376
155 1070994060.000000 197.048000 0.000136376
156 1070994140.000000 197.206500 0.000136347
157 1070994220.000000 197.358000 0.000136347
158 1070994300.000000 197.517000 0.000136436
159 1070994380.000000 197.669500 0.000136466
