# NO SAMPLE - ONE ARM SCANS
FTS 150 GHz source w/rectangular feedhorn and 95 GHz diode detector w/ 
higher gain round feedhorn w/circ-rect waveguide converter

27-01 sample measurements with a 2" spacing on the etalon.

Y  polarization measurements.

One Arm Scans


# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1071621620.000000 173.008500 0.000136764
1 1071621700.000000 173.165000 0.000136674
2 1071621780.000000 173.315500 0.000136704
3 1071621860.000000 173.464500 0.000136645
4 1071621940.000000 173.615500 0.000136645
5 1071622020.000000 173.769000 0.000136704
6 1071622100.000000 173.927000 0.000136704
7 1071622180.000000 174.080000 0.000136674
8 1071622260.000000 174.235000 0.000136585
9 1071622340.000000 174.391000 0.000136674
10 1071622420.000000 174.543000 0.000136674
11 1071622500.000000 174.701500 0.000136615
12 1071622580.000000 174.857000 0.000136674
13 1071622660.000000 175.009000 0.000136615
14 1071622740.000000 175.167500 0.000136525
15 1071622820.000000 175.321000 0.000136645
16 1071622900.000000 175.474500 0.000136585
17 1071622980.000000 175.630000 0.000136585
18 1071623060.000000 175.782500 0.000136615
19 1071623140.000000 175.940500 0.000136555
20 1071623220.000000 176.096500 0.000136585
21 1071623300.000000 176.248000 0.000136615
22 1071623380.000000 176.402500 0.000136585
23 1071623460.000000 176.558000 0.000136555
24 1071623540.000000 176.716500 0.000136525
25 1071623620.000000 176.869500 0.000136436
26 1071623700.000000 177.023500 0.000136436
27 1071623780.000000 177.181500 0.000136525
28 1071623860.000000 177.336500 0.000136496
29 1071623940.000000 177.491000 0.000136466
30 1071624020.000000 177.647500 0.000136436
31 1071624100.000000 177.800500 0.000136436
32 1071624180.000000 177.959000 0.000136436
33 1071624260.000000 178.112500 0.000136376
34 1071624340.000000 178.267000 0.000136317
35 1071624420.000000 178.422500 0.000136317
36 1071624500.000000 178.577000 0.000136227
37 1071624580.000000 178.730000 0.000136257
38 1071624660.000000 178.886500 0.000136198
39 1071624740.000000 179.042500 0.000136257
40 1071624820.000000 179.196000 0.000136168
41 1071624900.000000 179.350500 0.000136257
42 1071624980.000000 179.508000 0.000136317
43 1071625060.000000 179.660000 0.000136287
44 1071625140.000000 179.817000 0.000136257
45 1071625220.000000 179.970000 0.000136287
46 1071625300.000000 180.123500 0.000136257
47 1071625380.000000 180.281000 0.000136287
48 1071625460.000000 180.433000 0.000136257
49 1071625540.000000 180.588000 0.000136227
50 1071625620.000000 180.746000 0.000136257
51 1071625700.000000 180.897000 0.000136317
52 1071625780.000000 181.052500 0.000136317
53 1071625860.000000 181.209500 0.000136406
54 1071625940.000000 181.363500 0.000136347
55 1071626020.000000 181.522000 0.000136466
56 1071626100.000000 181.678000 0.000136466
57 1071626180.000000 181.833500 0.000136347
58 1071626260.000000 181.992000 0.000136198
59 1071626340.000000 182.145500 0.000136227
60 1071626420.000000 182.301000 0.000136227
61 1071626500.000000 182.456500 0.000136168
62 1071626580.000000 182.610500 0.000136049
63 1071626660.000000 182.766500 0.000136168
64 1071626740.000000 182.921000 0.000136138
65 1071626820.000000 183.077000 0.000136138
66 1071626900.000000 183.232500 0.000136168
67 1071626980.000000 183.390000 0.000136108
68 1071627060.000000 183.542000 0.000136138
69 1071627140.000000 183.697500 0.000136049
70 1071627220.000000 183.854500 0.000136168
71 1071627300.000000 184.008000 0.000136168
72 1071627380.000000 184.161500 0.000136108
73 1071627460.000000 184.317000 0.000136108
74 1071627540.000000 184.473000 0.000136049
75 1071627620.000000 184.630500 0.000136138
76 1071627700.000000 184.781000 0.000136138
77 1071627780.000000 184.935500 0.000136108
78 1071627860.000000 185.092000 0.000136019
79 1071627940.000000 185.248000 0.000136138
80 1071628020.000000 185.404000 0.000136049
81 1071628100.000000 185.557000 0.000136138
82 1071628180.000000 185.711000 0.000136049
83 1071628260.000000 185.868500 0.000136138
84 1071628340.000000 186.022000 0.000136168
85 1071628420.000000 186.177000 0.000136198
86 1071628500.000000 186.333500 0.000136198
87 1071628580.000000 186.485500 0.000136138
88 1071628660.000000 186.643000 0.000136138
89 1071628740.000000 186.800000 0.000136108
90 1071628820.000000 186.952000 0.000136108
91 1071628900.000000 187.109000 0.000136108
92 1071628980.000000 187.264000 0.000136049
93 1071629060.000000 187.418500 0.000135989
94 1071629140.000000 187.574500 0.000136078
95 1071629220.000000 187.729000 0.000136049
96 1071629300.000000 187.885000 0.000136019
97 1071629380.000000 188.041000 0.000135929
98 1071629460.000000 188.197000 0.000136049
99 1071629540.000000 188.352000 0.000136019
100 1071629620.000000 188.505000 0.000135929
101 1071629700.000000 188.659500 0.000135989
102 1071629780.000000 188.813500 0.000136019
103 1071629860.000000 188.968500 0.000135959
104 1071629940.000000 189.123000 0.000135959
105 1071630020.000000 189.278000 0.000135959
106 1071630100.000000 189.436500 0.000136019
107 1071630180.000000 189.589500 0.000135959
108 1071630260.000000 189.745500 0.000135989
109 1071630340.000000 189.900500 0.000135989
110 1071630420.000000 190.055000 0.000136019
111 1071630500.000000 190.209000 0.000136108
112 1071630580.000000 190.365500 0.000136138
113 1071630660.000000 190.521000 0.000136317
114 1071630740.000000 190.674000 0.000136287
115 1071630820.000000 190.827000 0.000136317
116 1071630900.000000 190.981000 0.000136257
