#  SAMPLE
FTS 150 GHz source w/rectangular feedhorn and 95 GHz diode detector w/ 
higher gain round feedhorn w/circ-rect waveguide converter

27-01 sample measurements with a 2" spacing on the etalon.

Y  polarization measurements.




# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1073816860.000000 173.020500 0.000179649
1 1073816940.000000 173.171500 0.00017953
2 1073817020.000000 173.318000 0.000179471
3 1073817100.000000 173.464000 0.000179381
4 1073817180.000000 173.614500 0.000179411
5 1073817260.000000 173.768000 0.000179441
6 1073817340.000000 173.925500 0.0001795
7 1073817420.000000 174.080000 0.000179441
8 1073817500.000000 174.235500 0.000179381
9 1073817580.000000 174.389000 0.000179322
10 1073817660.000000 174.544500 0.000179351
11 1073817740.000000 174.699000 0.000179381
12 1073817820.000000 174.855000 0.00017953
13 1073817900.000000 175.010000 0.000179739
14 1073817980.000000 175.164500 0.000179649
15 1073818060.000000 175.318000 0.000179471
16 1073818140.000000 175.471000 0.000179322
17 1073818220.000000 175.627500 0.000179262
18 1073818300.000000 175.782000 0.000179262
19 1073818380.000000 175.936500 0.000179471
20 1073818460.000000 176.091500 0.000179471
21 1073818540.000000 176.248000 0.000179381
22 1073818620.000000 176.406500 0.000179172
23 1073818700.000000 176.556500 0.000179172
24 1073818780.000000 176.711500 0.000179143
25 1073818860.000000 176.867500 0.000179322
26 1073818940.000000 177.023500 0.000179381
27 1073819020.000000 177.179000 0.000179351
28 1073819100.000000 177.331000 0.000179262
29 1073819180.000000 177.489000 0.000179172
30 1073819260.000000 177.646000 0.000179113
31 1073819340.000000 177.800500 0.000179053
32 1073819420.000000 177.956500 0.000179262
33 1073819500.000000 178.111000 0.000179322
34 1073819580.000000 178.269000 0.000179262
35 1073819660.000000 178.422000 0.000179172
36 1073819740.000000 178.575000 0.000179053
37 1073819820.000000 178.728500 0.000178994
38 1073819900.000000 178.884500 0.000178994
39 1073819980.000000 179.041000 0.000179143
40 1073820060.000000 179.194000 0.000179262
41 1073820140.000000 179.349000 0.000179232
42 1073820220.000000 179.507000 0.000179232
43 1073820300.000000 179.660500 0.000179053
44 1073820380.000000 179.813500 0.000178964
45 1073820460.000000 179.970000 0.000178994
46 1073820540.000000 180.123000 0.000179143
47 1073820620.000000 180.278000 0.000179202
48 1073820700.000000 180.432500 0.000179202
49 1073820780.000000 180.588500 0.000179202
50 1073820860.000000 180.742000 0.000178964
51 1073820940.000000 180.896500 0.000178845
52 1073821020.000000 181.052500 0.000178934
53 1073821100.000000 181.208500 0.000179113
54 1073821180.000000 181.362500 0.000179202
55 1073821260.000000 181.520500 0.000179202
56 1073821340.000000 181.678000 0.000179083
57 1073821420.000000 181.833000 0.000178874
58 1073821500.000000 181.989500 0.000178904
59 1073821580.000000 182.144500 0.000178904
60 1073821660.000000 182.300000 0.000178964
61 1073821740.000000 182.454500 0.000178994
62 1073821820.000000 182.610500 0.000178994
63 1073821900.000000 182.765000 0.000178785
64 1073821980.000000 182.921000 0.000178696
65 1073822060.000000 183.079500 0.000178696
66 1073822140.000000 183.229500 0.000178904
67 1073822220.000000 183.386000 0.000179053
68 1073822300.000000 183.541000 0.000179083
69 1073822380.000000 183.695500 0.000179172
70 1073822460.000000 183.850500 0.000179113
71 1073822540.000000 184.004500 0.000179053
72 1073822620.000000 184.161500 0.000178904
73 1073822700.000000 184.318500 0.000178845
74 1073822780.000000 184.470500 0.000178904
75 1073822860.000000 184.626500 0.000178934
76 1073822940.000000 184.778500 0.000178934
77 1073823020.000000 184.934500 0.000178934
78 1073823100.000000 185.091500 0.000178874
79 1073823180.000000 185.246000 0.000178815
80 1073823260.000000 185.400000 0.000178904
81 1073823340.000000 185.557500 0.000178964
82 1073823420.000000 185.711000 0.000178934
83 1073823500.000000 185.867000 0.000178964
84 1073823580.000000 186.020000 0.000178845
85 1073823660.000000 186.175500 0.000178874
86 1073823740.000000 186.332000 0.000178904
87 1073823820.000000 186.483500 0.000178934
88 1073823900.000000 186.642500 0.000178964
89 1073823980.000000 186.797000 0.000178964
90 1073824060.000000 186.951500 0.000178934
91 1073824140.000000 187.109000 0.000178934
92 1073824220.000000 187.261500 0.000178964
93 1073824300.000000 187.418500 0.000178934
94 1073824380.000000 187.574500 0.000178845
95 1073824460.000000 187.726000 0.000178815
96 1073824540.000000 187.884000 0.000178755
97 1073824620.000000 188.039500 0.000178785
98 1073824700.000000 188.193500 0.000178964
99 1073824780.000000 188.352500 0.000178934
100 1073824860.000000 188.501000 0.000178874
101 1073824940.000000 188.659000 0.000178725
102 1073825020.000000 188.813500 0.000178636
103 1073825100.000000 188.968500 0.000178755
104 1073825180.000000 189.122500 0.000178845
105 1073825260.000000 189.278000 0.000178845
106 1073825340.000000 189.435500 0.000178904
107 1073825420.000000 189.589500 0.000178815
108 1073825500.000000 189.745000 0.000178636
109 1073825580.000000 189.901500 0.000178696
110 1073825660.000000 190.053500 0.000178785
111 1073825740.000000 190.210500 0.000178994
112 1073825820.000000 190.363000 0.000179053
113 1073825900.000000 190.516500 0.000179053
114 1073825980.000000 190.671000 0.000178785
115 1073826060.000000 190.825500 0.000178666
116 1073826140.000000 190.982000 0.000178755
117 1073826220.000000 191.138000 0.000178874
118 1073826300.000000 191.289500 0.000179023
119 1073826380.000000 191.443500 0.000179083
120 1073826460.000000 191.601000 0.000178964
121 1073826540.000000 191.757500 0.000178725
122 1073826620.000000 191.912000 0.000178606
123 1073826700.000000 192.068000 0.000178636
124 1073826780.000000 192.226500 0.000178845
125 1073826860.000000 192.382500 0.000179053
126 1073826940.000000 192.536500 0.000179083
127 1073827020.000000 192.693000 0.000178904
128 1073827100.000000 192.844000 0.000178725
129 1073827180.000000 193.003000 0.000178725
130 1073827260.000000 193.159000 0.000178874
131 1073827340.000000 193.313000 0.000179053
132 1073827420.000000 193.469500 0.000179113
133 1073827500.000000 193.624500 0.000178904
134 1073827580.000000 193.778500 0.000178636
135 1073827660.000000 193.934500 0.000178487
136 1073827740.000000 194.086000 0.000178547
137 1073827820.000000 194.243500 0.000178666
138 1073827900.000000 194.400000 0.000178964
139 1073827980.000000 194.554000 0.000179202
140 1073828060.000000 194.710000 0.000179083
141 1073828140.000000 194.864000 0.000178874
142 1073828220.000000 195.018500 0.000178785
143 1073828300.000000 195.176000 0.000178785
144 1073828380.000000 195.327500 0.000178904
145 1073828460.000000 195.484500 0.000179172
146 1073828540.000000 195.640500 0.000179083
147 1073828620.000000 195.795500 0.000179083
148 1073828700.000000 195.952000 0.000178994
149 1073828780.000000 196.104500 0.000178845
150 1073828860.000000 196.260000 0.000178815
151 1073828940.000000 196.415500 0.000178994
152 1073829020.000000 196.571500 0.000179202
153 1073829100.000000 196.726500 0.000179202
154 1073829180.000000 196.881500 0.000179202
155 1073829260.000000 197.037000 0.000179053
156 1073829340.000000 197.194000 0.000178934
157 1073829420.000000 197.349000 0.000178904
158 1073829500.000000 197.502500 0.000179023
159 1073829580.000000 197.656500 0.000179172
160 1073829660.000000 197.814500 0.000179292
161 1073829740.000000 197.969500 0.000179143
162 1073829820.000000 198.122000 0.000179023
163 1073829900.000000 198.280000 0.000178874
164 1073829980.000000 198.434000 0.000178904
165 1073830060.000000 198.588500 0.000178934
166 1073830140.000000 198.742500 0.000179172
167 1073830220.000000 198.895500 0.000179232
168 1073830300.000000 199.053500 0.000179143
169 1073830380.000000 199.207000 0.000179083
170 1073830460.000000 199.361500 0.000178994
171 1073830540.000000 199.517500 0.000178904
172 1073830620.000000 199.673000 0.000178964
173 1073830700.000000 199.827000 0.000179113
174 1073830780.000000 199.982000 0.000179262
175 1073830860.000000 200.140000 0.000179202
176 1073830940.000000 200.295500 0.000178994
177 1073831020.000000 200.447500 0.000178845
178 1073831100.000000 200.604500 0.000178785
179 1073831180.000000 200.757500 0.000178845
180 1073831260.000000 200.912500 0.000178994
181 1073831340.000000 201.068000 0.000179083
182 1073831420.000000 201.219000 0.000179053
183 1073831500.000000 201.375000 0.000178845
184 1073831580.000000 201.532500 0.000178666
185 1073831660.000000 201.685000 0.000178576
186 1073831740.000000 201.841500 0.000178785
187 1073831820.000000 201.998500 0.000178845
188 1073831900.000000 202.153500 0.000178964
189 1073831980.000000 202.309500 0.000178964
190 1073832060.000000 202.464000 0.000178785
191 1073832140.000000 202.620000 0.000178696
192 1073832220.000000 202.775500 0.000178547
193 1073832300.000000 202.931500 0.000178576
194 1073832380.000000 203.085000 0.000178725
195 1073832460.000000 203.240000 0.000178785
196 1073832540.000000 203.399000 0.000178845
197 1073832620.000000 203.551500 0.000178636
198 1073832700.000000 203.709000 0.000178487
199 1073832780.000000 203.862500 0.000178427
200 1073832860.000000 204.016500 0.000178398
