# NO SAMPLE
FTS 150 GHz source w/rectangular feedhorn and 95 GHz diode detector w/ 
higher gain round feedhorn w/circ-rect waveguide converter

27-01 sample measurements with a 2" spacing on the etalon.

Y  polarization measurements.




# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1079553980.000000 173.013000 0.000187696
1 1079554060.000000 173.166000 0.000187577
2 1079554140.000000 173.306500 0.000187487
3 1079554220.000000 173.458500 0.000187368
4 1079554300.000000 173.612500 0.000187428
5 1079554380.000000 173.767500 0.000187547
6 1079554460.000000 173.921500 0.000187607
7 1079554540.000000 174.077000 0.000187577
8 1079554620.000000 174.229500 0.000187517
9 1079554700.000000 174.385500 0.000187338
10 1079554780.000000 174.540000 0.000187309
11 1079554860.000000 174.697500 0.000187368
12 1079554940.000000 174.851000 0.000187547
13 1079555020.000000 175.006500 0.000187607
14 1079555100.000000 175.164500 0.000187607
15 1079555180.000000 175.315000 0.000187428
16 1079555260.000000 175.472500 0.000187338
17 1079555340.000000 175.625000 0.000187219
18 1079555421.000000 175.779500 0.000187368
19 1079555500.000000 175.934000 0.000187458
20 1079555580.000000 176.087500 0.000187458
21 1079555660.000000 176.244000 0.000187398
22 1079555740.000000 176.400500 0.000187249
23 1079555820.000000 176.552000 0.000187219
24 1079555900.000000 176.710500 0.000187189
25 1079555980.000000 176.868000 0.000187309
26 1079556060.000000 177.021000 0.000187368
27 1079556140.000000 177.177000 0.000187309
28 1079556220.000000 177.327500 0.000187309
29 1079556300.000000 177.486500 0.00018713
30 1079556380.000000 177.643000 0.00018707
31 1079556460.000000 177.798500 0.000186981
32 1079556540.000000 177.954000 0.000187011
33 1079556620.000000 178.107500 0.000187279
34 1079556700.000000 178.263500 0.000187368
35 1079556780.000000 178.420000 0.000187428
36 1079556860.000000 178.572000 0.000187219
37 1079556940.000000 178.727500 0.000187011
38 1079557020.000000 178.881500 0.000186981
39 1079557100.000000 179.038500 0.000187011
40 1079557180.000000 179.194500 0.00018716
41 1079557260.000000 179.346500 0.000187189
42 1079557340.000000 179.504500 0.0001871
43 1079557420.000000 179.655500 0.000186951
44 1079557500.000000 179.811000 0.000186802
45 1079557580.000000 179.968500 0.000186951
46 1079557660.000000 180.119500 0.00018707
47 1079557740.000000 180.275500 0.000187219
48 1079557820.000000 180.431000 0.00018713
49 1079557900.000000 180.583000 0.000186981
50 1079557980.000000 180.740500 0.000186921
51 1079558060.000000 180.896000 0.000186802
52 1079558140.000000 181.048000 0.000186921
53 1079558220.000000 181.205000 0.00018713
54 1079558300.000000 181.362000 0.00018716
55 1079558380.000000 181.518000 0.00018716
56 1079558460.000000 181.673500 0.00018707
57 1079558540.000000 181.831500 0.000187011
58 1079558620.000000 181.985000 0.000187011
59 1079558700.000000 182.141000 0.000186951
60 1079558780.000000 182.299000 0.00018713
61 1079558860.000000 182.451500 0.00018716
