# NO SAMPLE --ONE ARM SCANS
FTS 95 GHz source w/rectangular feedhorn and 95 GHz diode detector w/ 
higher gain round feedhorn w/circ-rect waveguide converter

 One Arm Scan





# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 453287460.000000 173.013000 0.000132472
1 453287540.000000 173.183500 0.000132413
2 453287620.000000 173.335000 0.000132413
3 453287700.000000 173.480000 0.000132413
4 453287780.000000 173.631500 0.000132383
5 453287860.000000 173.785000 0.000132413
6 453287940.000000 173.942500 0.000132383
7 453288020.000000 174.099500 0.000132353
8 453288100.000000 174.251500 0.000132323
9 453288180.000000 174.407000 0.000132353
10 453288260.000000 174.557500 0.000132353
11 453288340.000000 174.715500 0.000132353
12 453288420.000000 174.871000 0.000132323
13 453288500.000000 175.026000 0.000132353
14 453288580.000000 175.182000 0.000132383
15 453288660.000000 175.336500 0.000132323
16 453288740.000000 175.491500 0.000132353
17 453288820.000000 175.645500 0.000132353
18 453288900.000000 175.798500 0.000132293
19 453288980.000000 175.956000 0.000132323
20 453289060.000000 176.110000 0.000132293
21 453289140.000000 176.265000 0.000132264
22 453289220.000000 176.423500 0.000132264
23 453289300.000000 176.576500 0.000132264
24 453289380.000000 176.732500 0.000132204
25 453289460.000000 176.889500 0.000132264
26 453289540.000000 177.041000 0.000132234
27 453289620.000000 177.200000 0.000132234
28 453289700.000000 177.355000 0.000132204
29 453289780.000000 177.509000 0.000132323
30 453289860.000000 177.666000 0.000132293
31 453289940.000000 177.820000 0.000132234
32 453290020.000000 177.975500 0.000132234
33 453290100.000000 178.130000 0.000132234
34 453290180.000000 178.287000 0.000132234
35 453290260.000000 178.440000 0.000132204
36 453290340.000000 178.593500 0.000132174
37 453290420.000000 178.751000 0.000132174
38 453290500.000000 178.904000 0.000132174
39 453290580.000000 179.056500 0.000132204
40 453290660.000000 179.212000 0.000132144
41 453290740.000000 179.366500 0.000132174
42 453290820.000000 179.524500 0.000132174
43 453290900.000000 179.677500 0.000132204
44 453290980.000000 179.832000 0.000132144
45 453291060.000000 179.989500 0.000132174
46 453291140.000000 180.142500 0.000132144
47 453291220.000000 180.296000 0.000132174
48 453291300.000000 180.448000 0.000132204
49 453291380.000000 180.603000 0.000132174
50 453291460.000000 180.760500 0.000132174
51 453291540.000000 180.914500 0.000132115
52 453291620.000000 181.066000 0.000132115
53 453291700.000000 181.223500 0.000132144
54 453291780.000000 181.380000 0.000132085
55 453291860.000000 181.538000 0.000132085
56 453291940.000000 181.691500 0.000132055
57 453292020.000000 181.849000 0.000132055
58 453292100.000000 182.007000 0.000132115
59 453292180.000000 182.161000 0.000132115
60 453292260.000000 182.316500 0.000132085
61 453292340.000000 182.472500 0.000132085
62 453292420.000000 182.624500 0.000132055
63 453292500.000000 182.784000 0.000132055
64 453292580.000000 182.939000 0.000132085
65 453292660.000000 183.095000 0.000132055
66 453292740.000000 183.250000 0.000132055
67 453292820.000000 183.406500 0.000132055
68 453292900.000000 183.559500 0.000131995
69 453292980.000000 183.713500 0.000131966
70 453293060.000000 183.869500 0.000131995
71 453293140.000000 184.023000 0.000132025
72 453293220.000000 184.178500 0.000132055
73 453293300.000000 184.337000 0.000132025
74 453293380.000000 184.489000 0.000132055
75 453293460.000000 184.645500 0.000131936
76 453293540.000000 184.801000 0.000132025
77 453293620.000000 184.951500 0.000131966
78 453293700.000000 185.109500 0.000131966
79 453293780.000000 185.265500 0.000131906
80 453293860.000000 185.418000 0.000131936
81 453293940.000000 185.575500 0.000131936
82 453294020.000000 185.730000 0.000131966
83 453294100.000000 185.883000 0.000131936
84 453294180.000000 186.041000 0.000131966
85 453294260.000000 186.191000 0.000131936
86 453294341.000000 186.350000 0.000131906
87 453294420.000000 186.506000 0.000131936
88 453294500.000000 186.660000 0.000131936
89 453294580.000000 186.817500 0.000131906
90 453294660.000000 186.967500 0.000131936
91 453294740.000000 187.126000 0.000131966
92 453294820.000000 187.279000 0.000131906
93 453294900.000000 187.435500 0.000131846
94 453294980.000000 187.591500 0.000131906
95 453295060.000000 187.745000 0.000131817
96 453295140.000000 187.900500 0.000131846
97 453295220.000000 188.056500 0.000131876
98 453295300.000000 188.210500 0.000131846
99 453295380.000000 188.366000 0.000131817
100 453295460.000000 188.520500 0.000131817
101 453295540.000000 188.679000 0.000131846
102 453295620.000000 188.832000 0.000131817
103 453295700.000000 188.985500 0.000131846
104 453295780.000000 189.140500 0.000131817
105 453295860.000000 189.295500 0.000131817
106 453295940.000000 189.453000 0.000131817
107 453296020.000000 189.606000 0.000131817
108 453296100.000000 189.760000 0.000131787
109 453296180.000000 189.918000 0.000131846
110 453296260.000000 190.069500 0.000131787
111 453296340.000000 190.226500 0.000131817
112 453296420.000000 190.383500 0.000131757
113 453296500.000000 190.534500 0.000131787
