#  SAMPLE
FTS 95 GHz source w/rectangular feedhorn and 95 GHz diode detector w/ 
higher gain round feedhorn w/circ-rect waveguide converter

27-01 sample measurements with a 2" spacing on the etalon.

X  polarization measurements.




# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 541890560.000000 173.015500 0.000178487
1 541890640.000000 173.168500 0.000178487
2 541890720.000000 173.315500 0.000178457
3 541890800.000000 173.469500 0.000178487
4 541890880.000000 173.624500 0.000178517
5 541890960.000000 173.776500 0.000178517
6 541891040.000000 173.934000 0.000178487
7 541891120.000000 174.089000 0.000178398
8 541891200.000000 174.242000 0.000178308
9 541891280.000000 174.399000 0.000178368
10 541891360.000000 174.553500 0.000178398
11 541891440.000000 174.710000 0.000178517
12 541891520.000000 174.863000 0.000178517
13 541891600.000000 175.018500 0.000178427
14 541891680.000000 175.172500 0.000178427
15 541891760.000000 175.327500 0.000178398
16 541891840.000000 175.479000 0.000178338
17 541891920.000000 175.636000 0.000178338
18 541892000.000000 175.788500 0.000178278
19 541892080.000000 175.947000 0.000178219
20 541892160.000000 176.103000 0.000178338
21 541892240.000000 176.259000 0.000178398
22 541892320.000000 176.414000 0.000178457
23 541892400.000000 176.568000 0.000178457
24 541892480.000000 176.726500 0.000178398
25 541892560.000000 176.880000 0.000178338
26 541892640.000000 177.035500 0.000178368
27 541892720.000000 177.193500 0.000178278
28 541892800.000000 177.345000 0.000178249
29 541892880.000000 177.502500 0.000178308
30 541892960.000000 177.658500 0.000178278
31 541893040.000000 177.811500 0.000178278
32 541893120.000000 177.969500 0.000178338
33 541893200.000000 178.124000 0.000178338
34 541893280.000000 178.278000 0.000178338
35 541893360.000000 178.434000 0.000178278
36 541893440.000000 178.585000 0.000178278
37 541893520.000000 178.740000 0.000178219
38 541893600.000000 178.895000 0.000178219
39 541893680.000000 179.051500 0.000178219
40 541893760.000000 179.207500 0.000178278
41 541893840.000000 179.360000 0.000178249
42 541893920.000000 179.516500 0.000178278
43 541894000.000000 179.670500 0.000178219
44 541894080.000000 179.825500 0.000178249
45 541894160.000000 179.979500 0.000178189
46 541894240.000000 180.132500 0.000178189
47 541894320.000000 180.288000 0.000178219
48 541894400.000000 180.443500 0.000178189
49 541894480.000000 180.598500 0.000178129
50 541894560.000000 180.751500 0.000178129
51 541894640.000000 180.906500 0.000178219
52 541894720.000000 181.062500 0.000178129
53 541894800.000000 181.218500 0.0001781
54 541894880.000000 181.371000 0.000178129
55 541894960.000000 181.528500 0.000178129
56 541895040.000000 181.694500 0.0001781
57 541895120.000000 181.839500 0.000178159
58 541895200.000000 181.997500 0.000178159
59 541895280.000000 182.152000 0.0001781
60 541895360.000000 182.309000 0.00017801
61 541895440.000000 182.464000 0.000178129
62 541895520.000000 182.618000 0.000178129
63 541895600.000000 182.776000 0.00017807
64 541895680.000000 182.931500 0.00017807
65 541895760.000000 183.087000 0.0001781
66 541895840.000000 183.244000 0.000178129
67 541895920.000000 183.396500 0.000178129
68 541896000.000000 183.553500 0.000178189
69 541896080.000000 183.707000 0.0001781
70 541896160.000000 183.860500 0.00017804
71 541896240.000000 184.016000 0.00017798
72 541896320.000000 184.172000 0.00017798
73 541896400.000000 184.327500 0.00017801
74 541896480.000000 184.482500 0.00017801
75 541896560.000000 184.639500 0.00017804
76 541896640.000000 184.792500 0.0001781
77 541896720.000000 184.946500 0.000178129
78 541896800.000000 185.105000 0.00017807
79 541896880.000000 185.258000 0.000178159
80 541896960.000000 185.413000 0.00017807
81 541897040.000000 185.569000 0.00017798
82 541897120.000000 185.720500 0.000177921
83 541897200.000000 185.879000 0.000177921
84 541897280.000000 186.031000 0.00017798
85 541897360.000000 186.185500 0.00017801
86 541897440.000000 186.343500 0.00017807
87 541897520.000000 186.496000 0.0001781
88 541897600.000000 186.654500 0.000178129
89 541897680.000000 186.809000 0.00017807
90 541897760.000000 186.963000 0.00017804
91 541897840.000000 187.121500 0.000177951
92 541897920.000000 187.276500 0.000177831
93 541898000.000000 187.430000 0.000177831
94 541898080.000000 187.583000 0.000177831
95 541898160.000000 187.738500 0.000177951
96 541898240.000000 187.896000 0.000177951
97 541898320.000000 188.048000 0.00017801
98 541898400.000000 188.205000 0.00017804
99 541898480.000000 188.363500 0.00017801
100 541898560.000000 188.515500 0.00017801
101 541898640.000000 188.671500 0.000177951
102 541898720.000000 188.822500 0.000177861
103 541898800.000000 188.978000 0.000177802
104 541898880.000000 189.135000 0.000177831
105 541898960.000000 189.286500 0.000177921
106 541899040.000000 189.445000 0.00017798
