# SAMPLE
FTS 95 GHz source w/rectangular feedhorn and 95 GHz diode detector w/ 
higher gain round feedhorn w/circ-rect waveguide converter

27-01 sample measurements with a 2" spacing on the etalon.

X  polarization measurements.




# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 544026281.000000 173.010000 0.000177772
1 544026360.000000 173.164500 0.000177712
2 544026440.000000 173.311500 0.000177802
3 544026520.000000 173.458000 0.000177712
4 544026600.000000 173.604500 0.000177831
5 544026680.000000 173.759000 0.000177831
6 544026760.000000 173.917000 0.000177742
7 544026840.000000 174.073000 0.000177682
8 544026920.000000 174.224500 0.000177623
9 544027000.000000 174.379000 0.000177653
10 544027080.000000 174.534000 0.000177712
11 544027160.000000 174.688000 0.000177772
12 544027240.000000 174.843000 0.000177742
13 544027320.000000 174.999000 0.000177712
14 544027400.000000 175.152500 0.000177772
15 544027480.000000 175.307000 0.000177682
16 544027560.000000 175.464000 0.000177682
17 544027640.000000 175.617500 0.000177653
18 544027720.000000 175.771500 0.000177593
19 544027800.000000 175.929500 0.000177593
20 544027880.000000 176.081500 0.000177653
21 544027960.000000 176.238500 0.000177712
22 544028040.000000 176.392500 0.000177772
23 544028120.000000 176.547000 0.000177682
24 544028200.000000 176.705500 0.000177653
25 544028280.000000 176.862500 0.000177682
26 544028360.000000 177.015500 0.000177623
27 544028440.000000 177.172000 0.000177563
28 544028520.000000 177.326500 0.000177593
29 544028600.000000 177.481500 0.000177593
30 544028680.000000 177.637000 0.000177593
31 544028760.000000 177.794000 0.000177593
32 544028840.000000 177.948000 0.000177712
33 544028920.000000 178.101000 0.000177712
34 544029000.000000 178.260500 0.000177653
35 544029080.000000 178.412000 0.000177593
36 544029160.000000 178.567500 0.000177593
37 544029240.000000 178.722500 0.000177533
38 544029320.000000 178.876500 0.000177563
39 544029400.000000 179.034000 0.000177504
40 544029480.000000 179.187500 0.000177533
41 544029560.000000 179.342000 0.000177563
42 544029640.000000 179.499500 0.000177533
43 544029720.000000 179.648500 0.000177504
44 544029800.000000 179.803000 0.000177563
