# NO SAMPLE
FTS 95 GHz source w/rectangular feedhorn and 95 GHz diode detector w/ 
higher gain round feedhorn w/circ-rect waveguide converter

 One Arm Scan





# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 453761202.000000 173.039500 0.000131846
1 453761300.000000 173.196000 0.000131846
2 453761380.000000 173.347500 0.000131876
3 453761460.000000 173.495500 0.000131906
4 453761540.000000 173.648000 0.000131876
5 453761620.000000 173.801000 0.000131876
6 453761700.000000 173.958500 0.000131906
7 453761780.000000 174.111000 0.000131846
8 453761860.000000 174.266000 0.000131876
9 453761940.000000 174.423500 0.000131846
10 453762020.000000 174.578000 0.000131846
11 453762100.000000 174.732500 0.000131876
12 453762180.000000 174.889000 0.000131846
13 453762260.000000 175.041500 0.000131846
14 453762340.000000 175.196500 0.000131846
15 453762420.000000 175.351000 0.000131817
16 453762500.000000 175.505500 0.000131817
17 453762580.000000 175.661500 0.000131846
18 453762660.000000 175.815000 0.000131817
19 453762740.000000 175.971500 0.000131817
20 453762820.000000 176.126000 0.000131787
21 453762900.000000 176.281500 0.000131757
22 453762980.000000 176.437000 0.000131787
23 453763060.000000 176.590500 0.000131757
24 453763140.000000 176.746000 0.000131757
25 453763220.000000 176.904000 0.000131727
26 453763300.000000 177.056500 0.000131757
27 453763380.000000 177.214500 0.000131757
28 453763460.000000 177.368000 0.000131787
29 453763540.000000 177.524500 0.000131817
30 453763620.000000 177.682000 0.000131787
31 453763700.000000 177.833500 0.000131697
32 453763780.000000 177.990500 0.000131787
33 453763860.000000 178.146500 0.000131697
34 453763940.000000 178.302000 0.000131757
35 453764020.000000 178.455500 0.000131668
36 453764100.000000 178.608500 0.000131668
37 453764180.000000 178.762500 0.000131668
38 453764260.000000 178.920000 0.000131668
39 453764340.000000 179.075000 0.000131757
40 453764420.000000 179.228000 0.000131697
41 453764500.000000 179.383500 0.000131697
42 453764580.000000 179.540000 0.000131668
43 453764660.000000 179.692500 0.000131757
44 453764740.000000 179.846500 0.000131668
45 453764820.000000 180.005000 0.000131697
46 453764900.000000 180.156000 0.000131757
47 453764980.000000 180.313500 0.000131638
48 453765060.000000 180.470000 0.000131638
49 453765140.000000 180.621000 0.000131697
50 453765220.000000 180.779000 0.000131727
51 453765300.000000 180.934000 0.000131668
52 453765380.000000 181.085000 0.000131668
53 453765460.000000 181.243000 0.000131608
54 453765540.000000 181.398500 0.000131638
55 453765620.000000 181.554500 0.000131638
56 453765700.000000 181.712000 0.000131668
57 453765780.000000 181.868000 0.000131548
58 453765860.000000 182.023500 0.000131578
59 453765940.000000 182.177500 0.000131608
60 453766020.000000 182.331500 0.000131608
61 453766100.000000 182.487000 0.000131638
62 453766180.000000 182.642500 0.000131608
63 453766260.000000 182.799000 0.000131548
64 453766340.000000 182.955000 0.000131638
65 453766420.000000 183.114000 0.000131519
66 453766500.000000 183.266500 0.000131548
67 453766580.000000 183.422000 0.000131548
68 453766660.000000 183.576500 0.000131548
69 453766740.000000 183.730500 0.000131548
70 453766820.000000 183.882500 0.000131519
71 453766900.000000 184.040000 0.000131608
72 453766980.000000 184.196500 0.000131548
73 453767060.000000 184.351000 0.000131519
74 453767140.000000 184.504500 0.000131519
75 453767220.000000 184.657500 0.000131519
76 453767300.000000 184.814500 0.000131548
77 453767380.000000 184.969000 0.000131519
78 453767460.000000 185.125000 0.000131578
79 453767540.000000 185.279500 0.000131548
80 453767620.000000 185.433500 0.000131519
81 453767700.000000 185.591000 0.000131519
82 453767780.000000 185.743500 0.000131489
83 453767860.000000 185.898000 0.000131519
84 453767940.000000 186.054500 0.000131459
85 453768020.000000 186.209500 0.000131519
86 453768100.000000 186.365500 0.000131519
87 453768180.000000 186.522000 0.000131519
88 453768260.000000 186.675000 0.000131519
89 453768340.000000 186.832500 0.000131489
90 453768420.000000 186.986500 0.000131399
91 453768500.000000 187.144000 0.000131429
92 453768580.000000 187.297000 0.000131459
93 453768660.000000 187.452000 0.000131459
94 453768740.000000 187.606000 0.000131429
95 453768820.000000 187.762000 0.000131459
96 453768900.000000 187.920000 0.000131429
97 453768980.000000 188.075500 0.000131399
98 453769060.000000 188.227000 0.000131399
99 453769140.000000 188.387500 0.00013137
100 453769220.000000 188.538500 0.000131399
101 453769300.000000 188.694500 0.000131429
102 453769380.000000 188.850000 0.00013137
103 453769460.000000 189.000000 0.00013137
104 453769540.000000 189.158000 0.00013137
105 453769620.000000 189.314000 0.00013137
106 453769700.000000 189.468500 0.000131459
107 453769780.000000 189.624500 0.000131399
108 453769860.000000 189.778000 0.00013131
109 453769940.000000 189.933000 0.00013137
110 453770020.000000 190.089000 0.000131399
111 453770100.000000 190.240500 0.000131399
112 453770180.000000 190.398500 0.00013137
113 453770260.000000 190.548000 0.00013137
114 453770340.000000 190.706000 0.00013134
115 453770420.000000 190.863500 0.00013137
116 453770500.000000 191.017000 0.00013131
117 453770580.000000 191.169500 0.00013137
118 453770660.000000 191.322000 0.00013134
119 453770740.000000 191.481000 0.00013125
120 453770820.000000 191.639000 0.00013125
121 453770900.000000 191.790500 0.00013128
122 453770980.000000 191.946000 0.00013128
123 453771060.000000 192.103000 0.00013128
124 453771140.000000 192.261000 0.00013134
125 453771220.000000 192.416000 0.00013125
126 453771300.000000 192.568500 0.00013125
