# SAMPLE
FTS 95 GHz source w/rectangular feedhorn and 95 GHz diode detector w/ 
higher gain round feedhorn w/circ-rect waveguide converter

27-01 sample measurements with a 2" spacing on the etalon.

Y polarization measurements.




# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 525172321.000000 173.037500 0.000177653
1 525172420.000000 173.194500 0.000177593
2 525172500.000000 173.346500 0.000177682
3 525172580.000000 173.488500 0.000177682
4 525172660.000000 173.649500 0.000177712
5 525172740.000000 173.800000 0.000177712
6 525172820.000000 173.958500 0.000177533
7 525172900.000000 174.115000 0.000177504
8 525172980.000000 174.266500 0.000177474
9 525173060.000000 174.423000 0.000177533
10 525173140.000000 174.575500 0.000177563
11 525173220.000000 174.732500 0.000177533
12 525173300.000000 174.889000 0.000177563
13 525173380.000000 175.040500 0.000177533
14 525173460.000000 175.196000 0.000177623
15 525173540.000000 175.350500 0.000177593
16 525173621.000000 175.506000 0.000177474
17 525173700.000000 175.660500 0.000177504
18 525173780.000000 175.813500 0.000177414
19 525173860.000000 175.968500 0.000177474
20 525173940.000000 176.125000 0.000177563
21 525174020.000000 176.280000 0.000177563
22 525174100.000000 176.436500 0.000177504
23 525174180.000000 176.591500 0.000177504
24 525174260.000000 176.748500 0.000177533
25 525174340.000000 176.904000 0.000177533
26 525174420.000000 177.056500 0.000177414
27 525174500.000000 177.215500 0.000177474
28 525174580.000000 177.368000 0.000177384
29 525174660.000000 177.524000 0.000177384
30 525174740.000000 177.682000 0.000177444
31 525174820.000000 177.834000 0.000177533
32 525174900.000000 177.992500 0.000177504
33 525174980.000000 178.147000 0.000177504
34 525175060.000000 178.300500 0.000177444
35 525175140.000000 178.456500 0.000177414
36 525175220.000000 178.610500 0.000177474
37 525175300.000000 178.765500 0.000177444
38 525175380.000000 178.921000 0.000177414
39 525175460.000000 179.076000 0.000177414
40 525175540.000000 179.229000 0.000177384
41 525175620.000000 179.385000 0.000177384
42 525175700.000000 179.538000 0.000177384
43 525175780.000000 179.693500 0.000177384
44 525175860.000000 179.848000 0.000177384
45 525175940.000000 180.002500 0.000177384
46 525176020.000000 180.157500 0.000177355
47 525176100.000000 180.314500 0.000177384
48 525176180.000000 180.468000 0.000177265
49 525176260.000000 180.621500 0.000177325
50 525176340.000000 180.779500 0.000177325
51 525176420.000000 180.935000 0.000177325
52 525176500.000000 181.084000 0.000177414
53 525176580.000000 181.239000 0.000177384
54 525176660.000000 181.396500 0.000177355
55 525176740.000000 181.554000 0.000177355
56 525176820.000000 181.710000 0.000177295
57 525176900.000000 181.864000 0.000177355
58 525176980.000000 182.022500 0.000177295
59 525177060.000000 182.177500 0.000177295
60 525177140.000000 182.332000 0.000177295
61 525177220.000000 182.485500 0.000177235
62 525177300.000000 182.640500 0.000177265
63 525177380.000000 182.800500 0.000177235
64 525177460.000000 182.954500 0.000177176
65 525177540.000000 183.110000 0.000177206
66 525177620.000000 183.266500 0.000177265
67 525177700.000000 183.418500 0.000177265
68 525177780.000000 183.575500 0.000177295
69 525177860.000000 183.730500 0.000177206
70 525177940.000000 183.882000 0.000177206
71 525178020.000000 184.039000 0.000177235
72 525178100.000000 184.194000 0.000177206
73 525178180.000000 184.350000 0.000177146
74 525178260.000000 184.504000 0.000177146
75 525178340.000000 184.660500 0.000177206
76 525178420.000000 184.815000 0.000177206
77 525178500.000000 184.969000 0.000177265
78 525178580.000000 185.127000 0.000177265
79 525178660.000000 185.280500 0.000177265
80 525178740.000000 185.436000 0.000177206
81 525178820.000000 185.590500 0.000177057
82 525178900.000000 185.744500 0.000177116
83 525178980.000000 185.900000 0.000177086
84 525179060.000000 186.053500 0.000177086
85 525179140.000000 186.207000 0.000177116
86 525179220.000000 186.365500 0.000177176
87 525179300.000000 186.521500 0.000177265
88 525179380.000000 186.676000 0.000177235
89 525179460.000000 186.834500 0.000177265
90 525179540.000000 186.985500 0.000177146
91 525179620.000000 187.143000 0.000177027
92 525179700.000000 187.299500 0.000177027
93 525179780.000000 187.451500 0.000176997
94 525179860.000000 187.609500 0.000176997
95 525179940.000000 187.761000 0.000177057
96 525180020.000000 187.919000 0.000177086
97 525180100.000000 188.075500 0.000177206
98 525180180.000000 188.229500 0.000177206
99 525180260.000000 188.387000 0.000177235
100 525180340.000000 188.538500 0.000177146
101 525180420.000000 188.692500 0.000176997
102 525180500.000000 188.848000 0.000176908
103 525180580.000000 189.000000 0.000176848
104 525180660.000000 189.156000 0.000176937
105 525180740.000000 189.314000 0.000176937
106 525180820.000000 189.471000 0.000176997
107 525180900.000000 189.626500 0.000177086
108 525180980.000000 189.776500 0.000177027
109 525181060.000000 189.932500 0.000177086
110 525181140.000000 190.087500 0.000177086
111 525181220.000000 190.241500 0.000176997
112 525181300.000000 190.396500 0.000176937
113 525181380.000000 190.550500 0.000176818
114 525181460.000000 190.704500 0.000176878
115 525181540.000000 190.860500 0.000176937
116 525181620.000000 191.016000 0.000176967
117 525181700.000000 191.170000 0.000176997
118 525181780.000000 191.324500 0.000176997
119 525181860.000000 191.480500 0.000177057
120 525181940.000000 191.636000 0.000176997
121 525182020.000000 191.793000 0.000177027
122 525182100.000000 191.947500 0.000176878
123 525182180.000000 192.104500 0.000176848
124 525182260.000000 192.262000 0.000176788
125 525182340.000000 192.416500 0.000176818
126 525182420.000000 192.571500 0.000176967
127 525182500.000000 192.728000 0.000176937
128 525182580.000000 192.880500 0.000176878
129 525182660.000000 193.037000 0.000176908
130 525182740.000000 193.194500 0.000176937
131 525182820.000000 193.346500 0.000176967
