#  SAMPLE
FTS 95 GHz source w/rectangular feedhorn and 95 GHz diode detector w/ 
higher gain round feedhorn w/circ-rect waveguide converter

27-01 sample measurements with a 2" spacing on the etalon.

Y polarization measurements.




# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 527290680.000000 173.030500 0.000177146
1 527290780.000000 173.189000 0.000177146
2 527290860.000000 173.340500 0.000177206
3 527290940.000000 173.494000 0.000177265
4 527291020.000000 173.646500 0.000177206
5 527291100.000000 173.802000 0.000177146
6 527291180.000000 173.959500 0.000177086
7 527291260.000000 174.113000 0.000176997
8 527291340.000000 174.267000 0.000176967
9 527291420.000000 174.424500 0.000177086
10 527291500.000000 174.577000 0.000177086
11 527291580.000000 174.733500 0.000177057
12 527291660.000000 174.889500 0.000177116
13 527291740.000000 175.040000 0.000177146
14 527291820.000000 175.197500 0.000177086
15 527291900.000000 175.353500 0.000177027
16 527291980.000000 175.505500 0.000176997
17 527292060.000000 175.662000 0.000176967
18 527292140.000000 175.816500 0.000176878
19 527292220.000000 175.972000 0.000176997
20 527292300.000000 176.127500 0.000176967
21 527292380.000000 176.283500 0.000177057
22 527292460.000000 176.438000 0.000177027
23 527292540.000000 176.593500 0.000176997
24 527292620.000000 176.750500 0.000177027
25 527292700.000000 176.905500 0.000177027
26 527292780.000000 177.058500 0.000177027
27 527292860.000000 177.218000 0.000176878
28 527292940.000000 177.370000 0.000176818
29 527293020.000000 177.528000 0.000176908
30 527293100.000000 177.681500 0.000176937
31 527293180.000000 177.836500 0.000177027
32 527293260.000000 177.995000 0.000177027
33 527293340.000000 178.146000 0.000176937
34 527293420.000000 178.302000 0.000176937
35 527293500.000000 178.458500 0.000176878
36 527293580.000000 178.608500 0.000176937
37 527293660.000000 178.766000 0.000176908
