# NO SAMPLE
FTS 95 GHz source w/rectangular feedhorn and 95 GHz diode detector w/ 
higher gain round feedhorn w/circ-rect waveguide converter

27-01 sample measurements with a 2" spacing on the etalon.

Y polarization measurements.




# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 528930920.000000 173.015500 0.000188381
1 528931000.000000 173.170500 0.000188322
2 528931080.000000 173.320500 0.000188411
3 528931160.000000 173.470500 0.000188471
4 528931240.000000 173.617000 0.000188441
5 528931320.000000 173.770000 0.000188381
6 528931400.000000 173.927500 0.000188262
7 528931480.000000 174.081000 0.000188262
8 528931560.000000 174.237000 0.000188322
9 528931640.000000 174.391000 0.000188262
10 528931720.000000 174.545000 0.000188262
11 528931800.000000 174.703000 0.000188322
12 528931880.000000 174.855500 0.000188262
13 528931960.000000 175.011500 0.000188322
14 528932040.000000 175.166500 0.000188322
15 528932120.000000 175.320000 0.000188381
16 528932200.000000 175.474000 0.000188262
17 528932280.000000 175.629500 0.000188203
18 528932360.000000 175.784000 0.000188203
19 528932440.000000 175.941500 0.000188232
20 528932520.000000 176.093000 0.000188203
21 528932600.000000 176.248500 0.000188322
22 528932680.000000 176.403500 0.000188322
23 528932760.000000 176.559000 0.000188322
24 528932840.000000 176.716000 0.000188292
25 528932920.000000 176.869500 0.000188262
26 528933000.000000 177.024500 0.000188262
27 528933080.000000 177.183500 0.000188083
28 528933160.000000 177.336000 0.000188173
29 528933240.000000 177.491500 0.000188173
30 528933320.000000 177.649000 0.000188203
31 528933400.000000 177.802500 0.000188262
32 528933480.000000 177.959500 0.000188292
33 528933560.000000 178.114000 0.000188232
34 528933640.000000 178.268000 0.000188232
35 528933720.000000 178.423500 0.000188262
36 528933800.000000 178.578000 0.000188173
37 528933880.000000 178.731500 0.000188143
38 528933960.000000 178.887500 0.000188113
39 528934040.000000 179.041500 0.000188113
40 528934120.000000 179.198000 0.000188143
41 528934200.000000 179.352500 0.000188203
42 528934280.000000 179.507500 0.000188203
43 528934360.000000 179.661500 0.000188262
44 528934440.000000 179.818500 0.000188143
45 528934520.000000 179.972000 0.000188143
46 528934600.000000 180.125000 0.000188143
47 528934680.000000 180.282000 0.000188113
48 528934760.000000 180.434000 0.000188083
49 528934840.000000 180.589500 0.000188083
50 528934920.000000 180.746000 0.000188113
51 528935000.000000 180.897500 0.000188143
52 528935080.000000 181.055500 0.000188203
53 528935160.000000 181.211000 0.000188143
54 528935240.000000 181.365000 0.000188083
55 528935320.000000 181.523000 0.000188113
56 528935400.000000 181.677000 0.000188113
57 528935480.000000 181.835500 0.000188143
58 528935560.000000 181.992000 0.000188143
59 528935640.000000 182.145500 0.000188083
60 528935720.000000 182.301500 0.000188024
61 528935800.000000 182.456500 0.000188083
62 528935880.000000 182.614000 0.000188083
63 528935960.000000 182.766500 0.000188083
64 528936040.000000 182.919000 0.000187994
65 528936120.000000 183.077500 0.000188054
66 528936200.000000 183.233500 0.000188054
67 528936280.000000 183.390000 0.000188083
68 528936360.000000 183.542000 0.000188054
69 528936440.000000 183.697000 0.000188024
70 528936520.000000 183.854000 0.000188024
71 528936600.000000 184.008000 0.000187934
72 528936680.000000 184.162000 0.000188054
73 528936760.000000 184.319000 0.000187994
74 528936840.000000 184.471000 0.000187994
75 528936920.000000 184.627500 0.000187964
76 528937000.000000 184.783000 0.000187994
77 528937080.000000 184.935000 0.000188054
78 528937160.000000 185.093000 0.000188024
79 528937240.000000 185.248000 0.000188054
80 528937320.000000 185.403500 0.000187994
81 528937400.000000 185.558500 0.000187934
82 528937480.000000 185.713000 0.000187845
83 528937560.000000 185.867500 0.000187845
84 528937640.000000 186.023500 0.000187934
85 528937720.000000 186.178000 0.000187934
86 528937800.000000 186.331500 0.000187994
87 528937880.000000 186.486000 0.000187994
88 528937960.000000 186.645500 0.000187994
89 528938040.000000 186.800000 0.000187994
90 528938120.000000 186.954000 0.000187964
91 528938200.000000 187.112500 0.000187875
92 528938280.000000 187.264000 0.000187785
93 528938360.000000 187.422500 0.000187756
94 528938440.000000 187.578000 0.000187815
95 528938520.000000 187.729500 0.000187756
96 528938600.000000 187.888000 0.000187905
97 528938680.000000 188.040000 0.000187964
98 528938760.000000 188.197500 0.000187934
99 528938840.000000 188.351500 0.000187964
100 528938920.000000 188.504500 0.000187905
101 528939000.000000 188.662500 0.000187815
102 528939080.000000 188.816000 0.000187726
103 528939160.000000 188.969500 0.000187726
104 528939240.000000 189.126500 0.000187696
105 528939320.000000 189.282000 0.000187696
106 528939400.000000 189.436500 0.000187815
107 528939480.000000 189.593000 0.000187905
108 528939560.000000 189.745000 0.000187934
109 528939640.000000 189.902000 0.000187905
110 528939720.000000 190.056000 0.000187845
111 528939800.000000 190.209500 0.000187756
112 528939880.000000 190.365000 0.000187696
113 528939960.000000 190.521500 0.000187696
114 528940040.000000 190.674500 0.000187666
115 528940120.000000 190.825500 0.000187696
116 528940200.000000 190.983500 0.000187845
117 528940280.000000 191.139500 0.000187875
118 528940360.000000 191.292500 0.000187905
119 528940440.000000 191.447500 0.000187785
120 528940520.000000 191.604000 0.000187756
121 528940600.000000 191.758500 0.000187666
122 528940680.000000 191.915500 0.000187696
123 528940760.000000 192.071000 0.000187666
124 528940840.000000 192.227500 0.000187666
125 528940920.000000 192.383000 0.000187607
126 528941000.000000 192.539500 0.000187726
127 528941080.000000 192.693500 0.000187756
128 528941160.000000 192.849000 0.000187756
129 528941240.000000 193.004500 0.000187696
130 528941320.000000 193.160500 0.000187756
131 528941400.000000 193.316500 0.000187726
132 528941480.000000 193.470500 0.000187666
133 528941560.000000 193.626000 0.000187607
134 528941640.000000 193.783500 0.000187607
135 528941720.000000 193.937500 0.000187636
136 528941800.000000 194.091000 0.000187666
137 528941880.000000 194.247500 0.000187666
138 528941960.000000 194.402000 0.000187666
139 528942040.000000 194.558000 0.000187666
140 528942120.000000 194.713000 0.000187696
141 528942200.000000 194.866500 0.000187696
142 528942280.000000 195.022500 0.000187666
143 528942360.000000 195.178000 0.000187577
