# NO SAMPLE
FTS continuous move, 150 GHz source, no bandpass filter; rect horn on source, 
rectangular source on detector

SAMPLE: 611-612 etalon with 2.625" spacing. mm/sec requested to 1.50. X-polarization

4" system stop upstream of beamsplitter
# Center Position 388.300000
# half-wdth 210.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 593927042.000000 177.937500 0.000211776
1 593927140.000000 178.047500 0.000211717
2 593927220.000000 178.162000 0.000211687
3 593927300.000000 178.275000 0.000211866
4 593927380.000000 178.390500 0.000211627
5 593927460.000000 178.502500 0.000211508
6 593927540.000000 178.610500 0.000211508
7 593927620.000000 178.724500 0.000211478
8 593927700.000000 178.838000 0.000211508
9 593927780.000000 178.957500 0.000211627
10 593927860.000000 179.069000 0.000211687
11 593927940.000000 179.185500 0.000211597
12 593928020.000000 179.298000 0.000211657
13 593928100.000000 179.416000 0.000211568
14 593928180.000000 179.531000 0.000211568
15 593928260.000000 179.643500 0.000211389
16 593928340.000000 179.760000 0.000211359
17 593928420.000000 179.874000 0.000211389
18 593928500.000000 179.992500 0.000211448
19 593928580.000000 180.103000 0.000211568
20 593928660.000000 180.221500 0.000211568
21 593928740.000000 180.336000 0.000211597
22 593928820.000000 180.451000 0.000211568
23 593928900.000000 180.566000 0.000211478
24 593928980.000000 180.682500 0.000211448
25 593929060.000000 180.796000 0.000211419
26 593929140.000000 180.912000 0.000211359
27 593929220.000000 181.023500 0.000211448
28 593929300.000000 181.144000 0.000211419
29 593929380.000000 181.259500 0.000211538
30 593929460.000000 181.375500 0.000211568
31 593929540.000000 181.491000 0.000211538
32 593929620.000000 181.606500 0.000211448
33 593929700.000000 181.724500 0.000211419
34 593929780.000000 181.841000 0.000211359
35 593929860.000000 181.956000 0.000211299
36 593929940.000000 182.072500 0.000211448
37 593930020.000000 182.185500 0.000211448
38 593930100.000000 182.302000 0.000211448
39 593930180.000000 182.417500 0.000211478
40 593930260.000000 182.535500 0.000211389
41 593930340.000000 182.647000 0.000211448
42 593930420.000000 182.764500 0.000211359
43 593930500.000000 182.880000 0.000211478
44 593930580.000000 182.996500 0.000211359
45 593930660.000000 183.111500 0.000211389
46 593930740.000000 183.225500 0.000211448
47 593930820.000000 183.344500 0.000211419
48 593930900.000000 183.460000 0.000211359
49 593930980.000000 183.574500 0.000211419
50 593931060.000000 183.687500 0.000211419
51 593931140.000000 183.802500 0.000211478
52 593931220.000000 183.917000 0.000211419
53 593931300.000000 184.034000 0.000211389
54 593931380.000000 184.147000 0.000211389
55 593931460.000000 184.264500 0.000211359
56 593931540.000000 184.380000 0.000211329
57 593931620.000000 184.494000 0.000211329
58 593931700.000000 184.610000 0.000211419
59 593931780.000000 184.726000 0.000211448
60 593931860.000000 184.840500 0.000211508
61 593931940.000000 184.955000 0.000211508
62 593932020.000000 185.073500 0.000211448
63 593932100.000000 185.187000 0.000211448
64 593932180.000000 185.303000 0.000211359
65 593932260.000000 185.417500 0.000211359
66 593932340.000000 185.535500 0.000211359
67 593932420.000000 185.648000 0.000211419
68 593932500.000000 185.765500 0.000211508
69 593932580.000000 185.881000 0.000211538
70 593932660.000000 185.994500 0.000211627
71 593932740.000000 186.110500 0.000211597
72 593932820.000000 186.225000 0.000211478
73 593932900.000000 186.341000 0.000211448
74 593932980.000000 186.455500 0.000211329
75 593933060.000000 186.575000 0.000211478
76 593933140.000000 186.688500 0.000211389
77 593933220.000000 186.805500 0.000211478
78 593933300.000000 186.921500 0.000211508
79 593933380.000000 187.036500 0.000211508
80 593933460.000000 187.153500 0.000211597
81 593933540.000000 187.269000 0.000211448
82 593933620.000000 187.385500 0.000211478
83 593933700.000000 187.499000 0.000211448
84 593933780.000000 187.615000 0.000211299
85 593933860.000000 187.728500 0.000211329
86 593933940.000000 187.845500 0.000211448
87 593934020.000000 187.959500 0.000211568
88 593934100.000000 188.077000 0.000211568
89 593934180.000000 188.190500 0.000211508
90 593934260.000000 188.306500 0.000211508
91 593934340.000000 188.423000 0.000211448
92 593934420.000000 188.538000 0.000211359
93 593934500.000000 188.652000 0.000211299
94 593934580.000000 188.763500 0.00021124
95 593934660.000000 188.881000 0.000211329
96 593934740.000000 188.996000 0.000211478
97 593934820.000000 189.113500 0.000211627
98 593934900.000000 189.228000 0.000211687
99 593934980.000000 189.344000 0.000211687
100 593935060.000000 189.458500 0.000211508
101 593935140.000000 189.573000 0.000211359
102 593935220.000000 189.688000 0.00021127
103 593935300.000000 189.803000 0.00021121
104 593935380.000000 189.919000 0.00021127
105 593935460.000000 190.031500 0.000211478
106 593935540.000000 190.151000 0.000211627
107 593935620.000000 190.262000 0.000211687
108 593935700.000000 190.381000 0.000211717
109 593935780.000000 190.495500 0.000211687
110 593935860.000000 190.611000 0.000211448
111 593935940.000000 190.725000 0.00021124
112 593936020.000000 190.842000 0.00021121
113 593936100.000000 190.957500 0.00021121
114 593936180.000000 191.071500 0.000211448
115 593936260.000000 191.187500 0.000211687
116 593936340.000000 191.302500 0.000211717
117 593936420.000000 191.418500 0.000211746
118 593936500.000000 191.535500 0.000211627
119 593936580.000000 191.652000 0.000211538
120 593936660.000000 191.766500 0.000211299
121 593936740.000000 191.884500 0.00021127
122 593936820.000000 191.998500 0.00021124
123 593936900.000000 192.115500 0.000211419
124 593936980.000000 192.233000 0.000211746
125 593937060.000000 192.346000 0.000211776
126 593937140.000000 192.464500 0.000211836
127 593937220.000000 192.580000 0.000211717
128 593937300.000000 192.696500 0.000211538
129 593937380.000000 192.809500 0.00021127
130 593937460.000000 192.925000 0.00021121
131 593937540.000000 193.039500 0.00021121
132 593937620.000000 193.158500 0.000211419
133 593937700.000000 193.272000 0.000211657
134 593937780.000000 193.388000 0.000211746
135 593937860.000000 193.503000 0.000211806
136 593937940.000000 193.617500 0.000211836
137 593938020.000000 193.734500 0.000211627
138 593938100.000000 193.848500 0.000211389
139 593938180.000000 193.963500 0.000211329
140 593938260.000000 194.077000 0.00021118
141 593938340.000000 194.192500 0.000211448
142 593938420.000000 194.308000 0.000211627
143 593938500.000000 194.425000 0.000211806
144 593938580.000000 194.539000 0.000211925
145 593938660.000000 194.655000 0.000211866
146 593938740.000000 194.768500 0.000211627
147 593938820.000000 194.882500 0.000211389
148 593938900.000000 195.001000 0.000211359
149 593938980.000000 195.115500 0.000211329
150 593939060.000000 195.232000 0.000211389
151 593939140.000000 195.345500 0.000211568
152 593939220.000000 195.464500 0.000211776
153 593939300.000000 195.579500 0.000212015
154 593939380.000000 195.695000 0.000211925
155 593939460.000000 195.808500 0.000211746
156 593939540.000000 195.924500 0.000211597
157 593939620.000000 196.039500 0.000211448
158 593939700.000000 196.156000 0.000211448
159 593939780.000000 196.270500 0.000211448
160 593939860.000000 196.386500 0.000211657
161 593939940.000000 196.502000 0.000211806
162 593940020.000000 196.617000 0.000212015
163 593940100.000000 196.736000 0.000211985
164 593940180.000000 196.848000 0.000211866
165 593940260.000000 196.966000 0.000211717
166 593940340.000000 197.082000 0.000211568
167 593940420.000000 197.199000 0.000211329
168 593940500.000000 197.313500 0.000211419
169 593940580.000000 197.428500 0.000211538
170 593940660.000000 197.547000 0.000211806
171 593940740.000000 197.657000 0.000212015
172 593940820.000000 197.777000 0.000211925
173 593940900.000000 197.889500 0.000212015
174 593940980.000000 198.006500 0.000211746
175 593941060.000000 198.120000 0.000211597
176 593941140.000000 198.238500 0.000211389
177 593941220.000000 198.351000 0.00021127
178 593941300.000000 198.467500 0.000211359
179 593941380.000000 198.583500 0.000211627
180 593941460.000000 198.697000 0.000211895
181 593941540.000000 198.813500 0.000211806
182 593941620.000000 198.927000 0.000211895
183 593941700.000000 199.044000 0.000211746
184 593941780.000000 199.156500 0.000211389
185 593941860.000000 199.275000 0.000211299
186 593941940.000000 199.386500 0.00021127
187 593942020.000000 199.503500 0.000211359
188 593942100.000000 199.617000 0.000211568
189 593942180.000000 199.734000 0.000211836
190 593942260.000000 199.849500 0.000211895
191 593942340.000000 199.963500 0.000211866
192 593942420.000000 200.078500 0.000211746
193 593942500.000000 200.193500 0.000211568
194 593942580.000000 200.311500 0.000211359
195 593942660.000000 200.422500 0.00021127
196 593942740.000000 200.541000 0.000211359
197 593942820.000000 200.656000 0.000211597
198 593942900.000000 200.774000 0.000211746
199 593942980.000000 200.886500 0.000211836
