# SAMPLE
FTS continuous move, 150 GHz source, no bandpass filter; rect horn on source, 
rectangular source on detector

SAMPLE: 611-612 etalon with 2.625" spacing. mm/sec requested to 1.50. X-polarization

4" system stop upstream of beamsplitter
# Center Position 388.300000
# half-wdth 210.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 598074300.000000 177.917000 0.000204922
1 598074380.000000 178.021000 0.000205011
2 598074460.000000 178.137500 0.000205101
3 598074540.000000 178.250500 0.000205011
4 598074620.000000 178.361000 0.000205011
5 598074700.000000 178.477500 0.000204952
6 598074780.000000 178.588500 0.000204832
7 598074860.000000 178.705000 0.000204713
8 598074940.000000 178.818500 0.000204743
9 598075020.000000 178.934000 0.000204892
10 598075100.000000 179.048500 0.000204952
11 598075180.000000 179.166000 0.000204952
12 598075260.000000 179.278500 0.000204892
13 598075340.000000 179.395500 0.000204952
14 598075420.000000 179.511500 0.000204892
15 598075500.000000 179.623000 0.000204922
16 598075580.000000 179.740000 0.000204802
17 598075660.000000 179.854500 0.000204802
18 598075740.000000 179.970500 0.000204832
19 598075820.000000 180.084000 0.000204892
20 598075900.000000 180.201500 0.000204922
21 598075980.000000 180.317000 0.000204981
22 598076060.000000 180.431000 0.000204862
23 598076140.000000 180.546500 0.000204981
24 598076220.000000 180.663000 0.000204802
25 598076300.000000 180.777000 0.000204743
26 598076380.000000 180.891000 0.000204743
27 598076460.000000 181.008000 0.000204832
28 598076540.000000 181.123000 0.000204862
29 598076620.000000 181.238500 0.000204892
30 598076700.000000 181.354500 0.000204981
31 598076780.000000 181.473000 0.000204981
32 598076860.000000 181.586000 0.000204981
33 598076940.000000 181.704500 0.000204862
34 598077020.000000 181.821000 0.000204713
35 598077100.000000 181.935500 0.000204653
36 598077180.000000 182.052500 0.000204624
37 598077260.000000 182.167500 0.000204802
38 598077340.000000 182.284500 0.000204743
39 598077420.000000 182.397500 0.000204802
40 598077500.000000 182.515000 0.000204892
41 598077580.000000 182.627500 0.000204832
42 598077660.000000 182.744000 0.000204862
43 598077740.000000 182.859000 0.000204713
44 598077820.000000 182.978000 0.000204743
45 598077900.000000 183.090000 0.000204653
46 598077980.000000 183.204500 0.000204594
47 598078060.000000 183.323000 0.000204802
48 598078140.000000 183.438000 0.000204743
49 598078220.000000 183.554500 0.000204892
50 598078300.000000 183.666500 0.000204743
51 598078380.000000 183.782500 0.000204713
52 598078460.000000 183.897000 0.000204743
53 598078540.000000 184.015000 0.000204624
54 598078620.000000 184.128000 0.000204594
55 598078700.000000 184.244500 0.000204624
56 598078780.000000 184.359500 0.000204653
57 598078860.000000 184.475000 0.000204653
58 598078940.000000 184.589000 0.000204683
59 598079020.000000 184.703000 0.000204802
60 598079100.000000 184.820500 0.000204802
61 598079180.000000 184.935000 0.000204713
62 598079260.000000 185.051000 0.000204653
63 598079340.000000 185.165000 0.000204594
64 598079420.000000 185.283500 0.000204653
65 598079500.000000 185.397500 0.000204624
66 598079580.000000 185.512500 0.000204683
67 598079660.000000 185.628500 0.000204802
68 598079740.000000 185.744500 0.000204713
69 598079820.000000 185.859000 0.000204773
70 598079900.000000 185.974000 0.000204862
71 598079980.000000 186.091500 0.000204832
72 598080060.000000 186.204000 0.000204743
73 598080140.000000 186.322500 0.000204683
74 598080220.000000 186.435500 0.000204683
75 598080300.000000 186.554000 0.000204713
76 598080380.000000 186.670000 0.000204802
77 598080460.000000 186.786500 0.000204892
78 598080540.000000 186.900500 0.000204832
79 598080620.000000 187.017500 0.000204862
80 598080700.000000 187.134500 0.000204802
81 598080780.000000 187.246000 0.000204832
82 598080860.000000 187.364500 0.000204773
83 598080940.000000 187.476000 0.000204743
84 598081020.000000 187.594500 0.000204713
85 598081100.000000 187.708500 0.000204653
86 598081180.000000 187.826500 0.000204743
87 598081260.000000 187.940000 0.000204743
88 598081340.000000 188.057000 0.000204862
89 598081420.000000 188.171000 0.000204892
90 598081500.000000 188.286000 0.000204832
91 598081580.000000 188.405000 0.000204802
92 598081660.000000 188.516500 0.000204624
93 598081740.000000 188.634000 0.000204653
94 598081820.000000 188.743500 0.000204683
95 598081900.000000 188.861500 0.000204594
96 598081980.000000 188.976500 0.000204683
97 598082060.000000 189.093000 0.000204802
98 598082140.000000 189.207500 0.000204981
99 598082220.000000 189.324000 0.000205011
100 598082300.000000 189.438000 0.000204981
101 598082380.000000 189.553500 0.000204832
102 598082460.000000 189.670500 0.000204653
103 598082540.000000 189.781500 0.000204683
104 598082620.000000 189.899500 0.000204624
105 598082700.000000 190.013500 0.000204743
106 598082780.000000 190.131000 0.000204892
107 598082860.000000 190.243000 0.000205011
108 598082940.000000 190.361500 0.00020516
109 598083020.000000 190.474000 0.000205071
110 598083100.000000 190.590500 0.000204952
111 598083180.000000 190.706500 0.000204743
112 598083260.000000 190.821500 0.000204594
113 598083340.000000 190.936500 0.000204594
114 598083420.000000 191.052000 0.000204743
115 598083500.000000 191.168500 0.000205011
116 598083580.000000 191.281500 0.000205101
117 598083660.000000 191.399000 0.00020513
118 598083740.000000 191.513500 0.00020513
119 598083820.000000 191.632000 0.000204892
120 598083900.000000 191.747000 0.000204802
121 598083980.000000 191.862500 0.000204564
122 598084060.000000 191.980000 0.000204534
123 598084140.000000 192.095000 0.000204683
124 598084220.000000 192.212500 0.000204862
125 598084300.000000 192.328000 0.00020516
126 598084380.000000 192.443500 0.00020522
127 598084460.000000 192.557500 0.00020525
128 598084540.000000 192.675000 0.000204981
129 598084620.000000 192.787500 0.000204594
130 598084700.000000 192.904000 0.000204475
131 598084780.000000 193.021500 0.000204475
132 598084860.000000 193.136500 0.000204653
133 598084940.000000 193.253500 0.000204952
134 598085020.000000 193.368000 0.00020513
135 598085100.000000 193.483500 0.00020516
136 598085180.000000 193.598000 0.000205041
137 598085260.000000 193.716000 0.000204952
138 598085340.000000 193.827000 0.000204653
139 598085420.000000 193.944500 0.000204475
140 598085500.000000 194.058000 0.000204534
141 598085580.000000 194.173500 0.000204564
142 598085660.000000 194.289500 0.000204922
143 598085740.000000 194.406500 0.00020516
144 598085820.000000 194.519500 0.00020525
145 598085900.000000 194.633000 0.00020522
146 598085980.000000 194.749500 0.000204981
147 598086060.000000 194.864000 0.000204802
148 598086140.000000 194.980500 0.000204564
149 598086220.000000 195.094000 0.000204534
150 598086300.000000 195.213000 0.000204683
151 598086380.000000 195.325000 0.000204862
152 598086460.000000 195.442500 0.00020513
153 598086540.000000 195.558000 0.00020525
154 598086620.000000 195.673500 0.000205339
155 598086700.000000 195.788000 0.000205071
156 598086780.000000 195.905000 0.000204892
157 598086860.000000 196.019500 0.000204683
158 598086940.000000 196.134000 0.000204594
159 598087020.000000 196.251500 0.000204743
160 598087100.000000 196.364500 0.000204832
161 598087180.000000 196.482500 0.000205041
162 598087260.000000 196.598500 0.000205309
163 598087340.000000 196.714000 0.000205279
164 598087420.000000 196.829000 0.00020522
165 598087500.000000 196.946500 0.000205071
166 598087580.000000 197.062500 0.000204743
167 598087660.000000 197.176500 0.000204653
168 598087740.000000 197.295000 0.000204594
169 598087820.000000 197.406000 0.000204862
170 598087900.000000 197.525000 0.000204981
171 598087980.000000 197.637500 0.00020519
172 598088060.000000 197.757500 0.000205309
173 598088140.000000 197.871500 0.00020525
174 598088220.000000 197.988000 0.000205101
175 598088300.000000 198.102500 0.000204862
176 598088380.000000 198.217000 0.000204773
177 598088460.000000 198.334000 0.000204683
178 598088540.000000 198.448500 0.000204802
179 598088620.000000 198.565500 0.000205011
180 598088700.000000 198.679500 0.00020522
181 598088780.000000 198.794000 0.000205399
182 598088860.000000 198.907000 0.000205309
183 598088940.000000 199.023500 0.00020513
184 598089020.000000 199.137000 0.000204922
185 598089100.000000 199.256000 0.000204743
186 598089180.000000 199.370000 0.000204802
187 598089260.000000 199.484500 0.000204832
188 598089340.000000 199.598500 0.000204952
189 598089420.000000 199.714500 0.00020522
190 598089500.000000 199.831500 0.00020516
191 598089580.000000 199.944500 0.000205339
192 598089660.000000 200.060000 0.000205279
193 598089740.000000 200.173500 0.000204981
194 598089820.000000 200.293500 0.000204832
195 598089900.000000 200.405500 0.000204713
196 598089980.000000 200.521000 0.000204832
197 598090060.000000 200.636500 0.000204952
198 598090140.000000 200.751500 0.000205101
199 598090220.000000 200.866500 0.000205101
200 598090300.000000 200.982500 0.000205071
