# NO SAMPLE
FTS continuous move, 150 GHz source, no bandpass filter; rect horn on source, 
rectangular source on detector

SAMPLE: 611-612 etalon with 2.625" spacing. mm/sec requested to 1.50. Y-polarization

4" system stop upstream of beamsplitter
# Center Position 388.300000
# half-wdth 210.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 606142500.000000 177.918000 0.000212581
1 606142580.000000 178.033000 0.000212581
2 606142660.000000 178.145000 0.00021267
3 606142740.000000 178.256500 0.000212641
4 606142820.000000 178.364500 0.000212551
5 606142900.000000 178.471000 0.000212462
6 606142980.000000 178.583500 0.000212283
7 606143060.000000 178.701500 0.000212342
8 606143140.000000 178.816500 0.000212402
9 606143220.000000 178.935000 0.000212462
10 606143300.000000 179.050000 0.000212521
11 606143380.000000 179.165500 0.000212581
12 606143460.000000 179.279500 0.000212462
13 606143540.000000 179.396500 0.000212521
14 606143620.000000 179.512000 0.000212432
15 606143700.000000 179.623500 0.000212342
16 606143780.000000 179.741500 0.000212313
17 606143860.000000 179.853000 0.000212283
18 606143940.000000 179.971000 0.000212342
19 606144020.000000 180.084500 0.000212462
20 606144100.000000 180.203500 0.000212551
21 606144180.000000 180.315000 0.000212551
22 606144260.000000 180.430500 0.000212402
23 606144340.000000 180.545000 0.000212342
24 606144420.000000 180.659000 0.000212283
25 606144500.000000 180.776000 0.000212342
26 606144580.000000 180.890000 0.000212313
27 606144660.000000 181.006000 0.000212313
28 606144740.000000 181.120000 0.000212402
29 606144820.000000 181.238000 0.000212462
30 606144901.000000 181.354000 0.000212462
31 606144980.000000 181.471500 0.000212402
32 606145060.000000 181.584500 0.000212313
33 606145140.000000 181.703500 0.000212313
34 606145220.000000 181.819500 0.000212283
