# SAMPLE - ONE ARM SCANS

FTS continuous move, 95 GHz source, no bandpass filter; rect horn on source, 
long circular source on detector

SAMPLE: 611-612 etalon with 2.625" spacing. mm/sec requested to 2.00. X-polarization

4" system stop upstream of beamsplitter
# Center Position 388.300000
# half-wdth 210.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-3 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 527020420.000000 178.015500 9.32221e-005
1 527020500.000000 178.169000 9.34605e-005
2 527020580.000000 178.324000 9.32221e-005
3 527020660.000000 178.478500 9.32221e-005
4 527020740.000000 178.631500 9.32221e-005
5 527020820.000000 178.786500 9.32221e-005
6 527020900.000000 178.937500 9.32221e-005
7 527020980.000000 179.092500 9.32221e-005
8 527021060.000000 179.249500 9.34605e-005
9 527021140.000000 179.405500 9.32221e-005
10 527021220.000000 179.561000 9.32221e-005
11 527021300.000000 179.714000 9.34605e-005
12 527021380.000000 179.867000 9.32221e-005
13 527021460.000000 180.026500 9.32221e-005
14 527021540.000000 180.177500 9.34605e-005
15 527021620.000000 180.333500 9.32221e-005
16 527021700.000000 180.490500 9.32221e-005
17 527021780.000000 180.644500 9.32221e-005
18 527021860.000000 180.799000 9.32221e-005
19 527021940.000000 180.955000 9.32221e-005
20 527022020.000000 181.110000 9.32221e-005
21 527022100.000000 181.264500 9.32221e-005
22 527022180.000000 181.421000 9.32221e-005
23 527022260.000000 181.577500 9.32221e-005
24 527022340.000000 181.733000 9.32221e-005
25 527022420.000000 181.889000 9.32221e-005
26 527022500.000000 182.048000 9.32221e-005
27 527022580.000000 182.199000 9.32221e-005
28 527022660.000000 182.357000 9.32221e-005
29 527022740.000000 182.508500 9.32221e-005
30 527022820.000000 182.663000 9.32221e-005
