# SAMPLE-- ONE ARM SCANS

FTS continuous move, 95 GHz source, no bandpass filter; rect horn on source, 
long circular source on detector

SAMPLE: 611-612 etalon with 2.625" spacing. mm/sec requested to 2.00. Y-polarization

4" system stop upstream of beamsplitter
# Center Position 388.300000
# half-wdth 210.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-3 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 518839841.000000 178.016000 9.27453e-005
1 518839920.000000 178.170500 9.27453e-005
2 518840000.000000 178.318000 9.25069e-005
3 518840080.000000 178.467500 9.27453e-005
4 518840160.000000 178.606500 9.27453e-005
5 518840240.000000 178.762500 9.25069e-005
6 518840320.000000 178.919500 9.25069e-005
7 518840400.000000 179.071500 9.25069e-005
8 518840481.000000 179.228000 9.25069e-005
9 518840560.000000 179.383000 9.25069e-005
10 518840640.000000 179.536500 9.27453e-005
11 518840720.000000 179.691000 9.25069e-005
12 518840800.000000 179.845500 9.25069e-005
13 518840880.000000 180.001500 9.25069e-005
14 518840960.000000 180.156500 9.25069e-005
15 518841040.000000 180.312500 9.25069e-005
16 518841120.000000 180.467000 9.25069e-005
17 518841200.000000 180.621500 9.25069e-005
18 518841280.000000 180.776000 9.25069e-005
19 518841360.000000 180.931500 9.25069e-005
20 518841440.000000 181.087000 9.25069e-005
21 518841520.000000 181.240000 9.25069e-005
22 518841600.000000 181.396500 9.25069e-005
23 518841680.000000 181.554000 9.25069e-005
24 518841760.000000 181.708500 9.25069e-005
25 518841840.000000 181.863500 9.22685e-005
26 518841920.000000 182.023000 9.25069e-005
27 518842000.000000 182.176500 9.25069e-005
28 518842080.000000 182.331500 9.25069e-005
29 518842160.000000 182.486000 9.25069e-005
30 518842240.000000 182.642000 9.25069e-005
31 518842320.000000 182.797000 9.25069e-005
32 518842400.000000 182.951000 9.25069e-005
33 518842480.000000 183.105500 9.25069e-005
34 518842560.000000 183.261500 9.25069e-005
35 518842640.000000 183.417500 9.25069e-005
36 518842720.000000 183.572500 9.25069e-005
