# NO SAMPLE

FTS continuous move, 95 GHz source, no bandpass filter; rect horn on source, 
long circular source on detector

SAMPLE: 611-612 etalon with 2.625" spacing. mm/sec requested to 2.00. Y-polarization

4" system stop upstream of beamsplitter
# Center Position 388.300000
# half-wdth 210.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-3 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 521250380.000000 178.016500 0.000156642
1 521250460.000000 178.172500 0.000156642
2 521250540.000000 178.326500 0.000156642
3 521250620.000000 178.481000 0.000156642
4 521250700.000000 178.634000 0.000156642
5 521250780.000000 178.787500 0.000156642
6 521250860.000000 178.945000 0.00015688
7 521250940.000000 179.101000 0.00015688
8 521251020.000000 179.254000 0.00015688
9 521251100.000000 179.408500 0.00015688
10 521251180.000000 179.561000 0.000156642
11 521251260.000000 179.717500 0.000156642
12 521251340.000000 179.870500 0.000156642
13 521251420.000000 180.026000 0.000156642
14 521251500.000000 180.181000 0.000156642
15 521251580.000000 180.337500 0.000156642
16 521251660.000000 180.491000 0.00015688
17 521251740.000000 180.646000 0.00015688
18 521251820.000000 180.803500 0.00015688
19 521251900.000000 180.955500 0.00015688
20 521251980.000000 181.111000 0.00015688
21 521252060.000000 181.268500 0.000156642
22 521252140.000000 181.421500 0.000156642
23 521252220.000000 181.578500 0.000156642
24 521252300.000000 181.737000 0.000156642
25 521252380.000000 181.889500 0.000156642
26 521252460.000000 182.048000 0.000156642
27 521252540.000000 182.202500 0.000156642
28 521252620.000000 182.359000 0.00015688
29 521252700.000000 182.512500 0.000156642
30 521252780.000000 182.667000 0.000156642
31 521252860.000000 182.825500 0.000156642
32 521252940.000000 182.979000 0.000156404
33 521253020.000000 183.134500 0.000156642
34 521253100.000000 183.291500 0.000156642
35 521253180.000000 183.443000 0.000156642
36 521253260.000000 183.600500 0.000156642
37 521253340.000000 183.754500 0.000156642
38 521253420.000000 183.906500 0.000156642
39 521253500.000000 184.063500 0.000156642
40 521253580.000000 184.216500 0.000156642
41 521253660.000000 184.374500 0.000156642
42 521253740.000000 184.530000 0.000156642
43 521253820.000000 184.681000 0.000156642
44 521253900.000000 184.840000 0.000156642
45 521253980.000000 184.996000 0.000156642
46 521254060.000000 185.148500 0.000156642
47 521254140.000000 185.304000 0.000156642
48 521254220.000000 185.455500 0.000156642
49 521254300.000000 185.613500 0.000156642
50 521254380.000000 185.769000 0.000156642
51 521254460.000000 185.923500 0.000156642
52 521254540.000000 186.078500 0.000156642
53 521254620.000000 186.234500 0.000156642
54 521254700.000000 186.393500 0.000156642
55 521254780.000000 186.546000 0.000156642
56 521254860.000000 186.698500 0.000156642
57 521254940.000000 186.856000 0.000156642
58 521255020.000000 187.012000 0.000156642
59 521255100.000000 187.169000 0.000156642
60 521255180.000000 187.321000 0.000156642
61 521255260.000000 187.475000 0.000156642
62 521255340.000000 187.633500 0.000156642
63 521255420.000000 187.789000 0.000156642
64 521255500.000000 187.943500 0.000156642
