# NO SAMPLE -- ONE ARM SCANS
FTS 150 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 612-613 etalon with a 2" spacing. mm/sec requested to 1.50. Y polarization

mode A', filter in front of detector feedhorn. Mode changed from run to edit. Restarted Program.

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 
# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2700648320.000000 207.911500 5.68929e-005
1 2700648400.000000 208.021000 5.68929e-005
2 2700648480.000000 208.131500 5.68929e-005
3 2700648560.000000 208.247500 5.68929e-005
4 2700648640.000000 208.361500 5.68631e-005
5 2700648720.000000 208.476500 5.69227e-005
6 2700648800.000000 208.590500 5.68631e-005
7 2700648880.000000 208.708500 5.68929e-005
8 2700648960.000000 208.819500 5.68333e-005
9 2700649040.000000 208.938000 5.68631e-005
10 2700649120.000000 209.051000 5.68631e-005
11 2700649200.000000 209.166000 5.68631e-005
12 2700649280.000000 209.280500 5.68631e-005
13 2700649360.000000 209.398500 5.68035e-005
14 2700649440.000000 209.513000 5.68631e-005
15 2700649520.000000 209.626500 5.68035e-005
16 2700649600.000000 209.743500 5.68631e-005
17 2700649680.000000 209.858000 5.68631e-005
18 2700649760.000000 209.973000 5.67737e-005
19 2700649840.000000 210.087500 5.68333e-005
20 2700649920.000000 210.205000 5.68035e-005
21 2700650000.000000 210.317500 5.67439e-005
22 2700650080.000000 210.434500 5.67439e-005
23 2700650160.000000 210.549000 5.68035e-005
24 2700650240.000000 210.665500 5.68035e-005
25 2700650320.000000 210.780000 5.68035e-005
