# SAMPLE -- ONE ARM SCANS
FTS 150 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 612-613 etalon with a 2" spacing. mm/sec requested to 1.50. X polarization

mode A', filter in front of detector feedhorn. Mode changed from run to edit. Restarted Program.

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 
# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2710838080.000000 207.979500 4.47931e-005
1 2710838160.000000 208.093000 4.47633e-005
2 2710838240.000000 208.208000 4.47931e-005
3 2710838320.000000 208.321500 4.48229e-005
4 2710838400.000000 208.440500 4.48527e-005
5 2710838480.000000 208.553000 4.48229e-005
6 2710838560.000000 208.670000 4.48229e-005
7 2710838640.000000 208.785500 4.47931e-005
8 2710838720.000000 208.900000 4.47931e-005
9 2710838800.000000 209.015000 4.47633e-005
10 2710838880.000000 209.130500 4.47931e-005
11 2710838960.000000 209.244500 4.47335e-005
12 2710839040.000000 209.358500 4.47931e-005
13 2710839120.000000 209.476500 4.47633e-005
14 2710839200.000000 209.589500 4.47037e-005
15 2710839280.000000 209.705000 4.47931e-005
16 2710839360.000000 209.819500 4.47335e-005
17 2710839440.000000 209.937000 4.47931e-005
18 2710839520.000000 210.049500 4.48229e-005
19 2710839600.000000 210.164500 4.47633e-005
20 2710839680.000000 210.281500 4.47633e-005
21 2710839760.000000 210.396500 4.46739e-005
22 2710839840.000000 210.513000 4.47633e-005
23 2710839920.000000 210.625000 4.47335e-005
24 2710840000.000000 210.740500 4.47037e-005
25 2710840080.000000 210.854500 4.47037e-005
