# SAMPLE
FTS 150 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 612-613 etalon with a 2" spacing. mm/sec requested to 1.50. X polarization

mode A', filter in front of detector feedhorn. Mode changed from run to edit. Restarted Program.

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 
# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2713814520.000000 207.922000 8.22549e-005
1 2713814600.000000 208.029000 8.21655e-005
2 2713814680.000000 208.146500 8.22251e-005
3 2713814760.000000 208.262000 8.22549e-005
4 2713814840.000000 208.376500 8.23443e-005
5 2713814920.000000 208.491500 8.25231e-005
6 2713815000.000000 208.605000 8.24933e-005
7 2713815080.000000 208.722000 8.25529e-005
8 2713815160.000000 208.836500 8.24039e-005
9 2713815240.000000 208.953000 8.23145e-005
10 2713815320.000000 209.063500 8.21655e-005
11 2713815400.000000 209.183000 8.21655e-005
12 2713815480.000000 209.297000 8.22549e-005
13 2713815560.000000 209.412000 8.23741e-005
14 2713815640.000000 209.527000 8.24337e-005
15 2713815720.000000 209.643000 8.24337e-005
16 2713815800.000000 209.757500 8.23443e-005
17 2713815880.000000 209.870500 8.24039e-005
18 2713815960.000000 209.986000 8.22847e-005
19 2713816040.000000 210.100000 8.21655e-005
20 2713816120.000000 210.217500 8.21655e-005
21 2713816200.000000 210.331000 8.22251e-005
22 2713816280.000000 210.449000 8.22847e-005
23 2713816360.000000 210.560500 8.23145e-005
24 2713816440.000000 210.677500 8.24337e-005
25 2713816520.000000 210.792500 8.24039e-005
