# NO SAMPLE
FTS 150 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 612-613 etalon with a 2" spacing. mm/sec requested to 1.50. X polarization

mode A', filter in front of detector feedhorn. Mode changed from run to edit. Restarted Program.

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 
# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2715247680.000000 207.907500 0.000100554
1 2715247760.000000 208.023000 0.000100375
2 2715247840.000000 208.137500 0.000100404
3 2715247920.000000 208.252000 0.000100464
4 2715248000.000000 208.364500 0.000100583
5 2715248080.000000 208.481500 0.000100732
6 2715248160.000000 208.596000 0.000100822
7 2715248240.000000 208.713000 0.000100792
8 2715248320.000000 208.824000 0.000100673
9 2715248400.000000 208.943500 0.000100494
10 2715248480.000000 209.055500 0.000100464
11 2715248560.000000 209.171500 0.000100404
12 2715248640.000000 209.286500 0.000100404
13 2715248720.000000 209.400000 0.000100583
14 2715248800.000000 209.516000 0.000100673
15 2715248880.000000 209.630500 0.000100732
16 2715248960.000000 209.748000 0.000100673
17 2715249040.000000 209.860000 0.000100464
18 2715249120.000000 209.978000 0.000100434
19 2715249200.000000 210.090000 0.000100345
20 2715249280.000000 210.206500 0.000100404
21 2715249360.000000 210.321500 0.000100404
22 2715249440.000000 210.439000 0.000100434
23 2715249520.000000 210.552000 0.000100673
24 2715249600.000000 210.666500 0.000100583
25 2715249680.000000 210.782500 0.000100643
26 2715249760.000000 210.897000 0.000100554
27 2715249840.000000 211.014000 0.000100464
28 2715249920.000000 211.125500 0.000100404
