# NO SAMPLE -- ONE ARM SCANS
FTS 150 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 612-613 etalon with a 2" spacing. mm/sec requested to 1.50. Y polarization

mode A', filter in front of detector feedhorn. Mode changed from run to edit. Restarted Program.

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 
# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2700172900.000000 207.910500 5.69823e-005
1 2700172980.000000 208.018500 5.70419e-005
2 2700173060.000000 208.134500 5.70717e-005
3 2700173140.000000 208.250500 5.70121e-005
4 2700173220.000000 208.363000 5.69525e-005
5 2700173300.000000 208.480000 5.70419e-005
6 2700173380.000000 208.594500 5.70419e-005
7 2700173460.000000 208.709500 5.70717e-005
8 2700173540.000000 208.823000 5.70419e-005
9 2700173620.000000 208.942500 5.70121e-005
10 2700173700.000000 209.055000 5.70121e-005
11 2700173780.000000 209.171500 5.70121e-005
12 2700173860.000000 209.284500 5.70419e-005
13 2700173940.000000 209.402000 5.70717e-005
14 2700174020.000000 209.514500 5.69823e-005
15 2700174100.000000 209.630500 5.70121e-005
16 2700174181.000000 209.747500 5.70121e-005
17 2700174260.000000 209.859500 5.69525e-005
18 2700174340.000000 209.976500 5.69525e-005
19 2700174420.000000 210.091000 5.69525e-005
20 2700174500.000000 210.207500 5.70419e-005
21 2700174580.000000 210.320000 5.70121e-005
22 2700174660.000000 210.438500 5.69525e-005
23 2700174740.000000 210.553000 5.69227e-005
24 2700174820.000000 210.666500 5.69823e-005
25 2700174900.000000 210.783500 5.69227e-005
