# SAMPLE -- ONE ARM SCANS
FTS 150 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 612-613 etalon with a 2" spacing. mm/sec requested to 1.50. Y polarization

mode A', filter in front of detector feedhorn. Mode changed from run to edit. Restarted Program.

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 
# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2701799680.000000 207.911000 4.97403e-005
1 2701799760.000000 208.023500 4.97105e-005
2 2701799840.000000 208.141500 4.96211e-005
3 2701799920.000000 208.258000 4.96211e-005
4 2701800000.000000 208.371000 4.96211e-005
5 2701800080.000000 208.486500 4.96509e-005
6 2701800160.000000 208.599000 4.97105e-005
7 2701800240.000000 208.716500 4.95913e-005
8 2701800320.000000 208.829500 4.95913e-005
9 2701800400.000000 208.948000 4.95913e-005
10 2701800480.000000 209.058000 4.95615e-005
11 2701800560.000000 209.176500 4.96211e-005
12 2701800640.000000 209.290000 4.95913e-005
13 2701800720.000000 209.407000 4.96807e-005
14 2701800800.000000 209.520500 4.96211e-005
15 2701800880.000000 209.636500 4.95913e-005
16 2701800960.000000 209.753000 4.95913e-005
17 2701801040.000000 209.867500 4.95615e-005
18 2701801120.000000 209.980000 4.96211e-005
19 2701801200.000000 210.096500 4.95615e-005
20 2701801280.000000 210.215000 4.96211e-005
21 2701801360.000000 210.328500 4.95913e-005
22 2701801440.000000 210.444500 4.95317e-005
23 2701801520.000000 210.558500 4.95913e-005
24 2701801600.000000 210.676500 4.95019e-005
25 2701801680.000000 210.789500 4.95615e-005
