# NO SAMPLE
FTS 150 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 612-613 etalon with a 2" spacing. mm/sec requested to 1.50. Y polarization

mode A', filter in front of detector feedhorn. Mode changed from run to edit. Restarted Program.

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 
# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2704716260.000000 207.912000 0.000100583
1 2704716340.000000 208.024000 0.000100494
2 2704716420.000000 208.141500 0.000100404
3 2704716500.000000 208.256000 0.000100524
4 2704716580.000000 208.370000 0.000100703
5 2704716660.000000 208.486000 0.000100822
6 2704716740.000000 208.598000 0.000100852
7 2704716820.000000 208.715000 0.000100852
8 2704716900.000000 208.829000 0.000100673
9 2704716980.000000 208.947500 0.000100554
10 2704717060.000000 209.058500 0.000100494
11 2704717140.000000 209.177000 0.000100434
12 2704717220.000000 209.290500 0.000100494
13 2704717300.000000 209.405000 0.000100643
14 2704717380.000000 209.519500 0.000100732
15 2704717460.000000 209.636500 0.000100792
16 2704717540.000000 209.750500 0.000100732
17 2704717620.000000 209.865500 0.000100583
18 2704717700.000000 209.983000 0.000100464
19 2704717780.000000 210.096500 0.000100434
20 2704717860.000000 210.212500 0.000100404
21 2704717940.000000 210.326000 0.000100494
22 2704718020.000000 210.444500 0.000100554
23 2704718100.000000 210.558000 0.000100643
24 2704718180.000000 210.673500 0.000100703
25 2704718260.000000 210.788500 0.000100643
26 2704718340.000000 210.904000 0.000100554
27 2704718420.000000 211.018000 0.000100524
28 2704718500.000000 211.132500 0.000100434
