# SAMPLE
FTS 150 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 612-613 etalon with a 2" spacing. mm/sec requested to 1.50. Y polarization

mode A', filter in front of detector feedhorn. Mode changed from run to edit. Restarted Program.

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 
# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2707507280.000000 207.911000 8.8573e-005
1 2707507360.000000 208.022500 8.85432e-005
2 2707507440.000000 208.140000 8.8424e-005
3 2707507520.000000 208.256000 8.8573e-005
4 2707507600.000000 208.367500 8.8722e-005
5 2707507680.000000 208.482500 8.88412e-005
6 2707507760.000000 208.596500 8.89008e-005
7 2707507840.000000 208.714500 8.88412e-005
8 2707507920.000000 208.827000 8.86922e-005
9 2707508000.000000 208.946000 8.85432e-005
10 2707508080.000000 209.056500 8.84836e-005
11 2707508160.000000 209.174500 8.84538e-005
12 2707508240.000000 209.287500 8.85134e-005
13 2707508320.000000 209.405500 8.86922e-005
14 2707508400.000000 209.518000 8.8722e-005
15 2707508480.000000 209.634000 8.88412e-005
16 2707508560.000000 209.750500 8.87816e-005
17 2707508640.000000 209.865000 8.86326e-005
18 2707508720.000000 209.980000 8.86028e-005
19 2707508800.000000 210.093500 8.85432e-005
20 2707508880.000000 210.212000 8.84836e-005
21 2707508960.000000 210.323500 8.8573e-005
22 2707509040.000000 210.441000 8.86326e-005
23 2707509120.000000 210.555000 8.86624e-005
24 2707509200.000000 210.672500 8.86028e-005
25 2707509280.000000 210.786000 8.86624e-005
