# SAMPLE --ONE ARM SCANS
FTS 95 GHz source w/rect feedhorn, cone feedhorn on detect.

SAMPLE: 612-613 etalon with a 2" spacing. mm/sec requested to 2.00. X polarization

mode A', filter in front of detector feedhorn. Mode changed from run to edit. Restarted Program.

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 
# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2628805504.000000 207.976000 9.04803e-005
1 2628805600.000000 208.131000 9.05399e-005
2 2628805680.000000 208.286000 9.05399e-005
3 2628805760.000000 208.443000 9.05101e-005
4 2628805840.000000 208.597500 9.05399e-005
5 2628805920.000000 208.754500 9.04803e-005
6 2628806000.000000 208.910000 9.04803e-005
7 2628806080.000000 209.063000 9.04803e-005
8 2628806160.000000 209.218500 9.04207e-005
9 2628806240.000000 209.373500 9.04505e-005
10 2628806320.000000 209.527000 9.04505e-005
11 2628806400.000000 209.682500 9.04207e-005
12 2628806480.000000 209.837500 9.04207e-005
13 2628806560.000000 209.992000 9.03611e-005
14 2628806640.000000 210.145500 9.03611e-005
15 2628806720.000000 210.302500 9.03611e-005
16 2628806800.000000 210.458500 9.03611e-005
17 2628806880.000000 210.609500 9.03313e-005
18 2628806960.000000 210.766500 9.02717e-005
19 2628807040.000000 210.922000 9.02717e-005
20 2628807120.000000 211.074500 9.02717e-005
21 2628807200.000000 211.231000 9.03015e-005
22 2628807280.000000 211.385500 9.02121e-005
23 2628807360.000000 211.542000 9.02419e-005
24 2628807440.000000 211.696000 9.02419e-005
25 2628807520.000000 211.853000 9.01525e-005
