#  NO SAMPLE
FTS 95 GHz source w/rect feedhorn, cone feedhorn on detect.

SAMPLE: 612-613 etalon with a 2" spacing. mm/sec requested to 2.00. X polarization

mode A', filter in front of detector feedhorn. Mode changed from run to edit. Restarted Program.

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 
# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2630492640.000000 207.967000 0.000186474
1 2630492720.000000 208.123000 0.000186444
2 2630492800.000000 208.279500 0.000186355
3 2630492880.000000 208.435500 0.000186325
4 2630492960.000000 208.589000 0.000186385
5 2630493040.000000 208.744000 0.000186385
6 2630493120.000000 208.899000 0.000186385
7 2630493200.000000 209.054000 0.000186355
8 2630493280.000000 209.206000 0.000186265
9 2630493360.000000 209.360000 0.000186206
10 2630493440.000000 209.518500 0.000186116
11 2630493520.000000 209.673000 0.000186176
12 2630493600.000000 209.827000 0.000186146
13 2630493680.000000 209.981500 0.000186236
14 2630493760.000000 210.135500 0.000186385
15 2630493840.000000 210.293000 0.000186444
16 2630493920.000000 210.448000 0.000186414
17 2630494000.000000 210.599500 0.000186236
18 2630494080.000000 210.758500 0.000186087
19 2630494160.000000 210.912500 0.000185967
20 2630494240.000000 211.065500 0.000185848
21 2630494320.000000 211.222000 0.000185878
22 2630494400.000000 211.376500 0.000186027
23 2630494480.000000 211.530000 0.000186146
24 2630494560.000000 211.685500 0.000186414
25 2630494640.000000 211.843000 0.000186504
26 2630494720.000000 211.996500 0.000186414
27 2630494800.000000 212.152500 0.000186146
28 2630494880.000000 212.311000 0.000185967
