# NO SAMPLE --ONE ARM SCANS
FTS 95 GHz source w/rect feedhorn, cone feedhorn on detect.

SAMPLE: 612-613 etalon with a 2" spacing. mm/sec requested to 2.00. X polarization

mode A', filter in front of detector feedhorn. Mode changed from run to edit. Restarted Program.

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 
# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2627457800.000000 207.974500 0.000110984
1 2627457880.000000 208.127500 0.000111014
2 2627457960.000000 208.281500 0.000111014
3 2627458040.000000 208.438000 0.000111014
4 2627458120.000000 208.589500 0.000110984
5 2627458200.000000 208.747500 0.000110955
6 2627458280.000000 208.903000 0.000110955
7 2627458360.000000 209.055000 0.000110925
8 2627458440.000000 209.212000 0.000110865
9 2627458520.000000 209.365000 0.000110865
10 2627458600.000000 209.520000 0.000110806
11 2627458680.000000 209.676500 0.000110835
12 2627458760.000000 209.828000 0.000110776
13 2627458840.000000 209.984500 0.000110835
14 2627458920.000000 210.138000 0.000110806
15 2627459000.000000 210.296000 0.000110806
16 2627459080.000000 210.449000 0.000110806
17 2627459160.000000 210.602000 0.000110716
18 2627459240.000000 210.762000 0.000110776
19 2627459320.000000 210.913500 0.000110746
20 2627459400.000000 211.069000 0.000110716
21 2627459480.000000 211.226000 0.000110716
22 2627459560.000000 211.377000 0.000110776
23 2627459640.000000 211.534000 0.000110806
24 2627459720.000000 211.690500 0.000110746
25 2627459800.000000 211.843500 0.000110716
26 2627459880.000000 212.001000 0.000110686
27 2627459960.000000 212.156500 0.000110686
