# SAMPLE
FTS 95 GHz source w/rect feedhorn, cone feedhorn on detect.

SAMPLE: 612-613 etalon with a 2" spacing. mm/sec requested to 2.00. Y polarization

mode A', filter in front of detector feedhorn. Mode changed from run to edit. Restarted Program.

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 
# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2642755603.000000 207.978500 0.000175566
1 2642755680.000000 208.133000 0.000175537
2 2642755760.000000 208.301000 0.000175447
3 2642755860.000000 208.457000 0.000175507
4 2642755940.000000 208.606500 0.000175537
5 2642756020.000000 208.763500 0.000175566
6 2642756100.000000 208.917500 0.000175686
7 2642756180.000000 209.068500 0.000175656
8 2642756260.000000 209.225000 0.000175566
9 2642756340.000000 209.378500 0.000175477
10 2642756420.000000 209.535000 0.000175298
11 2642756500.000000 209.688000 0.000175268
12 2642756580.000000 209.842500 0.000175388
13 2642756660.000000 209.999500 0.000175507
14 2642756740.000000 210.151000 0.000175656
15 2642756820.000000 210.305000 0.000175626
16 2642756900.000000 210.461500 0.000175656
17 2642756980.000000 210.614000 0.000175417
18 2642757060.000000 210.771000 0.000175388
19 2642757140.000000 210.924000 0.000175149
20 2642757220.000000 211.079500 0.00017506
21 2642757300.000000 211.236000 0.00017503
22 2642757380.000000 211.386000 0.000175149
23 2642757460.000000 211.543000 0.000175417
24 2642757540.000000 211.700000 0.000175656
25 2642757620.000000 211.856000 0.000175715
26 2642757700.000000 212.010500 0.000175656
27 2642757780.000000 212.165500 0.000175417
28 2642757860.000000 212.323500 0.000175179
