# SAMPLE
FTS 95 GHz source w/rect feedhorn, cone feedhorn on detect.

SAMPLE: 612-613 etalon with a 2" spacing. mm/sec requested to 2.00. Y polarization

mode A', filter in front of detector feedhorn. Mode changed from run to edit. Restarted Program.

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 
# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2638949000.000000 207.982500 0.000175447
1 2638949080.000000 208.136500 0.000175388
2 2638949160.000000 208.291000 0.000175358
3 2638949240.000000 208.444500 0.000175358
4 2638949320.000000 208.598000 0.000175477
5 2638949400.000000 208.756000 0.000175447
6 2638949480.000000 208.909500 0.000175537
7 2638949560.000000 209.064000 0.000175507
8 2638949640.000000 209.220500 0.000175388
9 2638949720.000000 209.372000 0.000175328
10 2638949800.000000 209.528500 0.000175268
11 2638949880.000000 209.684000 0.000175179
12 2638949960.000000 209.836500 0.000175268
13 2638950040.000000 209.993000 0.000175328
14 2638950120.000000 210.149000 0.000175477
15 2638950200.000000 210.301500 0.000175537
16 2638950280.000000 210.454500 0.000175537
17 2638950360.000000 210.608500 0.000175447
18 2638950440.000000 210.767000 0.000175268
19 2638950520.000000 210.920000 0.000175149
20 2638950600.000000 211.073500 0.00017509
21 2638950680.000000 211.231000 0.00017506
22 2638950760.000000 211.384500 0.000175149
23 2638950840.000000 211.540000 0.000175328
24 2638950920.000000 211.694500 0.000175537
25 2638951000.000000 211.852000 0.000175656
26 2638951080.000000 212.007500 0.000175566
27 2638951160.000000 212.161000 0.000175417
28 2638951240.000000 212.318500 0.000175119
