# frequency transmission sigma
1.416500000000000057e+02 9.358234354830944346e-01 7.669066247367725686e-03
1.417000000000000171e+02 9.381553954270902551e-01 7.683958559623853615e-03
1.417500000000000000e+02 9.409712297344348109e-01 7.638217838671562850e-03
1.418000000000000114e+02 9.441566576829335533e-01 7.538195224214145652e-03
1.418499999999999943e+02 9.475931350926204422e-01 7.397417013886083137e-03
1.419000000000000057e+02 9.511695305032382697e-01 7.234738721297628503e-03
1.419500000000000171e+02 9.547929765696596682e-01 7.071422754290343678e-03
1.420000000000000000e+02 9.583963941138836651e-01 6.927810406178308393e-03
1.420500000000000114e+02 9.619410136025278169e-01 6.820390307250861865e-03
1.420999999999999943e+02 9.654135477910646967e-01 6.759874765921787716e-03
1.421500000000000057e+02 9.688189522276904331e-01 6.750474050373051448e-03
1.422000000000000171e+02 9.721705046541500028e-01 6.790152566811524619e-03
1.422500000000000000e+02 9.754791084631708742e-01 6.871479788083478465e-03
1.423000000000000114e+02 9.787434435090148765e-01 6.982770363674607045e-03
1.423499999999999943e+02 9.819421420189649030e-01 7.109380899929347401e-03
1.424000000000000057e+02 9.850288005847834816e-01 7.235137175149995194e-03
1.424500000000000171e+02 9.879304464746279102e-01 7.343869068172599775e-03
1.425000000000000000e+02 9.905499956708241349e-01 7.420982090841063417e-03
1.425500000000000114e+02 9.927730970305705949e-01 7.454945352331673533e-03
1.425999999999999943e+02 9.944793459135888858e-01 7.438544449777184306e-03
1.426500000000000057e+02 9.955570461998914933e-01 7.369737573877590750e-03
1.427000000000000171e+02 9.959195850319566556e-01 7.251972427631934830e-03
1.427500000000000000e+02 9.955204271352662282e-01 7.093881087779631452e-03
1.428000000000000114e+02 9.943633025610613130e-01 6.908365468356731515e-03
1.428499999999999943e+02 9.925048285640968304e-01 6.711188052870036350e-03
1.429000000000000057e+02 9.900485879556452096e-01 6.519248883543201332e-03
1.429500000000000171e+02 9.871319831380256371e-01 6.348738209845182501e-03
1.430000000000000000e+02 9.839090503681225952e-01 6.213328508701185943e-03
1.430500000000000114e+02 9.805331094685503235e-01 6.122565227375142104e-03
1.430999999999999943e+02 9.771425202691397249e-01 6.080659413992332146e-03
1.431500000000000057e+02 9.738514028145651702e-01 6.085924268883481821e-03
1.432000000000000171e+02 9.707456632809289276e-01 6.131036797242322804e-03
1.432500000000000000e+02 9.678835812486532575e-01 6.204125975612760288e-03
1.433000000000000114e+02 9.652997296658709647e-01 6.290496879318064997e-03
