# frequency transmission sigma
9.08000000e+01 9.94659278e-01 5.63024726e-03
9.08500000e+01 9.95406195e-01 5.55708885e-03
9.09000000e+01 9.96004895e-01 5.57837054e-03
9.09500000e+01 9.96439072e-01 5.69541963e-03
9.10000000e+01 9.96714900e-01 5.90207909e-03
9.10500000e+01 9.96859198e-01 6.18484877e-03
9.11000000e+01 9.96915310e-01 6.52432176e-03
9.11500000e+01 9.96936908e-01 6.89746480e-03
9.12000000e+01 9.96980305e-01 7.28013238e-03
9.12500000e+01 9.97096262e-01 7.64936017e-03
9.13000000e+01 9.97322531e-01 7.98519636e-03
9.13500000e+01 9.97678383e-01 8.27197402e-03
9.14000000e+01 9.98161982e-01 8.49901493e-03
9.14500000e+01 9.98750896e-01 8.66081874e-03
9.15000000e+01 9.99405322e-01 8.75683449e-03
9.15500000e+01 1.00007319e+00 8.79092446e-03
9.16000000e+01 1.00069611e+00 8.77061106e-03
9.16500000e+01 1.00121516e+00 8.70616071e-03
9.17000000e+01 1.00157605e+00 8.60952636e-03
9.17500000e+01 1.00173322e+00 8.49316247e-03
9.18000000e+01 1.00165284e+00 8.36875602e-03
9.18500000e+01 1.00131490e+00 8.24598233e-03
9.19000000e+01 1.00071436e+00 8.13146990e-03
9.19500000e+01 9.99861401e-01 8.02819897e-03
9.20000000e+01 9.98780855e-01 7.93551438e-03
9.20500000e+01 9.97510564e-01 7.84979245e-03
9.21000000e+01 9.96098732e-01 7.76561131e-03
9.21500000e+01 9.94600298e-01 7.67712325e-03
9.22000000e+01 9.93072587e-01 7.57928862e-03
9.22500000e+01 9.91570693e-01 7.46871885e-03
9.23000000e+01 9.90143169e-01 7.34404568e-03
9.23500000e+01 9.88828631e-01 7.20591225e-03
9.24000000e+01 9.87653723e-01 7.05680035e-03
9.24500000e+01 9.86632703e-01 6.90092455e-03
9.25000000e+01 9.85768566e-01 6.74433202e-03
9.25500000e+01 9.85055456e-01 6.59517891e-03
9.26000000e+01 9.84481897e-01 6.46396478e-03
9.26500000e+01 9.84034374e-01 6.36336145e-03
9.27000000e+01 9.83700796e-01 6.30724906e-03
9.27500000e+01 9.83473447e-01 6.30876074e-03
9.28000000e+01 9.83351104e-01 6.37758089e-03
9.28500000e+01 9.83340058e-01 6.51728755e-03
9.29000000e+01 9.83453870e-01 6.72377415e-03
9.29500000e+01 9.83711744e-01 6.98539961e-03
9.30000000e+01 9.84135614e-01 7.28470494e-03
9.30500000e+01 9.84746192e-01 7.60091749e-03
9.31000000e+01 9.85558474e-01 7.91241638e-03
9.31500000e+01 9.86577389e-01 8.19868874e-03
9.32000000e+01 9.87794285e-01 8.44170270e-03
9.32500000e+01 9.89184838e-01 8.62685175e-03
9.33000000e+01 9.90708696e-01 8.74367158e-03
9.33500000e+01 9.92310799e-01 8.78646159e-03
9.34000000e+01 9.93924044e-01 8.75483288e-03
9.34500000e+01 9.95472798e-01 8.65410792e-03
9.35000000e+01 9.96876810e-01 8.49543652e-03
9.35500000e+01 9.98055181e-01 8.29546967e-03
9.36000000e+01 9.98930253e-01 8.07543324e-03
9.36500000e+01 9.99431448e-01 7.85947588e-03
9.37000000e+01 9.99499094e-01 7.67226776e-03
9.37500000e+01 9.99088297e-01 7.53605511e-03
9.38000000e+01 9.98172711e-01 7.46771301e-03
9.38500000e+01 9.96747939e-01 7.47659387e-03
9.39000000e+01 9.94834095e-01 7.56383725e-03
9.39500000e+01 9.92476977e-01 7.72320096e-03
9.40000000e+01 9.89747390e-01 7.94278801e-03
9.40500000e+01 9.86738325e-01 8.20682648e-03
9.41000000e+01 9.83560087e-01 8.49702298e-03
9.41500000e+01 9.80333797e-01 8.79355935e-03
9.42000000e+01 9.77184019e-01 9.07610640e-03
9.42500000e+01 9.74231388e-01 9.32517200e-03
9.43000000e+01 9.71586015e-01 9.52383802e-03
9.43500000e+01 9.69342237e-01 9.65967833e-03
9.44000000e+01 9.67574933e-01 9.72650152e-03
9.44500000e+01 9.66337340e-01 9.72553386e-03
9.45000000e+01 9.65660100e-01 9.66570762e-03
9.45500000e+01 9.65551246e-01 9.56281796e-03
9.46000000e+01 9.65996848e-01 9.43747382e-03
9.46500000e+01 9.66962243e-01 9.31203581e-03
9.47000000e+01 9.68393865e-01 9.20710584e-03
9.47500000e+01 9.70221799e-01 9.13846807e-03
9.48000000e+01 9.72363182e-01 9.11539766e-03
9.48500000e+01 9.74726392e-01 9.14074924e-03
9.49000000e+01 9.77215826e-01 9.21239847e-03
9.49500000e+01 9.79736795e-01 9.32500298e-03
9.50000000e+01 9.82199984e-01 9.47113015e-03
9.50500000e+01 9.84524926e-01 9.64148038e-03
9.51000000e+01 9.86642106e-01 9.82468163e-03
9.51500000e+01 9.88493630e-01 1.00074400e-02
9.52000000e+01 9.90032667e-01 1.01755828e-02
9.52500000e+01 9.91222133e-01 1.03159782e-02
9.53000000e+01 
