# frequency transmission sigma
1.416500000000000057e+02 9.256265103794180105e-01 6.963731821683379238e-03
1.417000000000000171e+02 9.275046897442194016e-01 6.297305364128642606e-03
1.417500000000000000e+02 9.294443194120952656e-01 5.848762976676255901e-03
1.418000000000000114e+02 9.314536709405264459e-01 5.543502956783611171e-03
1.418499999999999943e+02 9.335672880868479684e-01 5.332313542566959226e-03
1.419000000000000057e+02 9.358320272709886867e-01 5.202280875728313748e-03
1.419500000000000171e+02 9.382908645495682265e-01 5.168172671458935719e-03
1.420000000000000000e+02 9.409685820974231785e-01 5.258180232394609951e-03
1.420500000000000114e+02 9.438628938300320792e-01 5.502207922934006408e-03
1.420999999999999943e+02 9.469429775418582995e-01 5.923431190631356889e-03
1.421500000000000057e+02 9.501553616635223243e-01 6.530450702502499025e-03
1.422000000000000171e+02 9.534352936384737909e-01 7.308947958626074021e-03
1.422500000000000000e+02 9.567204903840690333e-01 8.215068701381554248e-03
1.423000000000000114e+02 9.599636775964652813e-01 9.173888410494266885e-03
1.423499999999999943e+02 9.631405610580223708e-01 1.008503297546489708e-02
1.424000000000000057e+02 9.662508119137382945e-01 1.083569502724590107e-02
1.424500000000000171e+02 9.693112416093825345e-01 1.131958348478997144e-02
1.425000000000000000e+02 9.723424096733336297e-01 1.145863413338049641e-02
1.425500000000000114e+02 9.753520007040636930e-01 1.122291476820868467e-02
1.425999999999999943e+02 9.783197190754515660e-01 1.064377964630061277e-02
1.426500000000000057e+02 9.811884751216632949e-01 9.816279729695683021e-03
1.427000000000000171e+02 9.838650006577275287e-01 8.888379084509151484e-03
1.427500000000000000e+02 9.862301999286879894e-01 8.034992662470373179e-03
1.428000000000000114e+02 9.881566008559607983e-01 7.414968638686067655e-03
1.428499999999999943e+02 9.895283770129065237e-01 7.119154752085103330e-03
1.429000000000000057e+02 9.902591708709789220e-01 7.143311255504489372e-03
1.429500000000000171e+02 9.903041735080203578e-01 7.415557237516359583e-03
1.430000000000000000e+02 9.896648603999345095e-01 7.848146965103594552e-03
1.430500000000000114e+02 9.883866309455123789e-01 8.363557892737068927e-03
1.430999999999999943e+02 9.865508369381974507e-01 8.891316985039830756e-03
1.431500000000000057e+02 9.842631980542034809e-01 9.359282757940375411e-03
1.432000000000000171e+02 9.816405592214187958e-01 9.693763318351256153e-03
1.432500000000000000e+02 9.787976168600640570e-01 9.828504357440714240e-03
1.433000000000000114e+02 9.758348678884759542e-01 9.717114628305682442e-03
1.433499999999999943e+02 9.728287633679493229e-01 9.344360063896339080e-03
1.434000000000000057e+02 9.698249210010245758e-01 8.733978934827182558e-03
1.434500000000000171e+02 9.668352184427834173e-01 7.951830194806936217e-03
1.435000000000000000e+02 9.638395278990026238e-01 7.102683234515932975e-03
1.435500000000000114e+02 9.607925900269137509e-01 6.316522510940522292e-03
1.435999999999999943e+02 9.576359024097982342e-01 5.717757095987734649e-03
1.436500000000000057e+02 9.543134686951162404e-01 5.379916946675497753e-03
1.437000000000000171e+02 9.507889989061147906e-01 5.300194496519096063e-03
1.437500000000000000e+02 9.470611164966215023e-01 5.433214883075302565e-03
1.438000000000000114e+02 9.431728948201004714e-01 5.752275213948266491e-03
1.438499999999999943e+02 9.392130130185556425e-01 6.268084737057404848e-03
1.439000000000000057e+02 9.353078705637252188e-01 6.993728504450771356e-03
1.439500000000000171e+02 9.316064261422430937e-01 7.902831546432141641e-03
1.440000000000000000e+02 9.282613716115878377e-01 8.921589689166063361e-03
1.440500000000000114e+02 9.254108420715033700e-01 9.950457512338108795e-03
1.440999999999999943e+02 9.231641591452544038e-01 1.089018856611012956e-02
1.441500000000000057e+02 9.215936201476222500e-01 1.165822001181191989e-02
1.442000000000000171e+02 9.207327614246340053e-01 1.219473224148223504e-02
1.442500000000000000e+02 9.205803144492790135e-01 1.246209759864668268e-02
1.443000000000000114e+02 9.211083686443106711e-01 1.244131368443401366e-02
1.443499999999999943e+02 9.222729338046407044e-01 1.212808149157605653e-02
1.444000000000000057e+02 9.240249721461868404e-01 1.153046341616550258e-02
1.444500000000000171e+02 9.263199514482196584e-01 1.066975058565582633e-02
1.445000000000000000e+02 9.291241097101287094e-01 9.586553958483604379e-03
1.445500000000000114e+02 9.324160641266676652e-01 8.355848087550488482e-03
1.445999999999999943e+02 9.361832466354172988e-01 7.118192014951549296e-03
1.446500000000000057e+02 9.404138247881351775e-01 6.130919585634350341e-03
1.447000000000000171e+02 9.450859606917582090e-01 5.773918446357428728e-03
1.447500000000000000e+02 9.501570467700430900e-01 6.304599453494847718e-03
1.448000000000000114e+02 9.555556182839729518e-01 7.562736111071528301e-03
1.448499999999999943e+02 9.611779546127714458e-01 9.180344618544130850e-03
1.449000000000000057e+02 9.668902200458131535e-01 1.085572113026526606e-02
1.449500000000000171e+02 9.725357694857720281e-01 1.238701820540032313e-02
1.450000000000000000e+02 9.779462890246365392e-01 1.364122103968550860e-02
1.450500000000000114e+02 9.829549020523273839e-01 1.453489911502890176e-02
1.450999999999999943e+02 9.874092271103006579e-01 1.502613970858799643e-02
1.451500000000000057e+02 9.911825274400177799e-01 1.511013527099694213e-02
1.452000000000000171e+02 9.941814535918356288e-01 1.481433994575188928e-02
1.452500000000000000e+02 9.963493943531944730e-01 1.419161444951246888e-02
1.453000000000000114e+02 9.976650817421252038e-01 1.331120356993845469e-02
1.453499999999999943e+02 9.981367959125141409e-01 1.224826895408290262e-02
1.454000000000000057e+02 9.977932093385305512e-01 1.107330329326391798e-02
1.454500000000000171e+02 9.966724949607871364e-01 9.843213442889367504e-03
1.455000000000000000e+02 9.948116924718032328e-01 8.596253705882371532e-03
1.455500000000000114e+02 9.922383897101193506e-01 7.353417438486924834e-03
1.455999999999999943e+02 9.889664762059834358e-01 6.129935931575911448e-03
1.456500000000000057e+02 9.849970572498097932e-01 4.964637725284114060e-03
1.457000000000000171e+02 9.803246416672662944e-01 3.986649894665184914e-03
1.457500000000000000e+02 9.749475854663520735e-01 3.521209997700664677e-03
1.458000000000000114e+02 9.688807300935049494e-01 3.954589562140533449e-03
1.458499999999999943e+02 9.621675143938723807e-01 5.213587376311991546e-03
1.459000000000000057e+02 9.548888148451448732e-01 6.946271713776684849e-03
1.459500000000000171e+02 9.471664602383081943e-01 8.902875213473991287e-03
1.460000000000000000e+02 9.391606051368540653e-01 1.093057299288496473e-02
1.460500000000000114e+02 9.310615460856601633e-01 1.291958237428632479e-02
1.460999999999999943e+02 9.230776798847939446e-01 1.478289176308649963e-02
1.461500000000000057e+02 9.154218213275933103e-01 1.645174416374561507e-02
1.462000000000000171e+02 9.082979583242957178e-01 1.787551656283577900e-02
1.462500000000000000e+02 9.018899038412525604e-01 1.902177208768830730e-02
1.463000000000000114e+02 8.963525065174068329e-01 1.987519633182588050e-02
1.463499999999999943e+02 8.918053890211324886e-01 2.043528674356614658e-02
1.464000000000000057e+02 8.883287756424180781e-01 2.071309560362965749e-02
1.464500000000000171e+02 8.859609064394674549e-01 2.072745543060832557e-02
1.465000000000000000e+02 8.846967744194608185e-01 2.050115058565993645e-02
1.465500000000000114e+02 8.844883569248662702e-01 2.005754148594129926e-02
1.465999999999999943e+02 8.852469834904326262e-01 1.941820132538716118e-02
1.466500000000000057e+02 8.868487880545194990e-01 1.860210177197460166e-02
1.467000000000000171e+02 8.891441167767074605e-01 1.762665472799416350e-02
1.467500000000000000e+02 8.919711470370029760e-01 1.651041663005652776e-02
1.468000000000000114e+02 8.951728391704120158e-01 1.527659852535404039e-02
1.468499999999999943e+02 8.986149844844710799e-01 1.395599491916742381e-02
1.469000000000000057e+02 9.022020675755483277e-01 1.258788521111619055e-02
1.469500000000000171e+02 9.058874853318207299e-01 1.121802670409938370e-02
1.470000000000000000e+02 9.096756126375605822e-01 9.893880720642324322e-03
1.470500000000000114e+02 9.136150205622056708e-01 8.658274638482925042e-03
1.470999999999999943e+02 9.177841763038080414e-01 7.543344671760450655e-03
1.471500000000000057e+02 9.222724837796629771e-01 6.566532769871779966e-03
1.472000000000000171e+02 9.271601766356769581e-01 5.729631108209983295e-03
1.472500000000000000e+02 9.325003955606077088e-01 5.020800712003840177e-03
1.473000000000000114e+02 9.383060748758792480e-01 4.418923016380259076e-03
1.473499999999999943e+02 9.445433383604449062e-01 3.900117504188333264e-03
1.474000000000000057e+02 9.511321172121972589e-01 3.447212578113664425e-03
1.474500000000000171e+02 9.579536737218830034e-01 3.062752621766834382e-03
1.475000000000000000e+02 9.648636534692286437e-01 2.782162313156236102e-03
1.475500000000000114e+02 9.717083175256812089e-01 2.671439638618173813e-03
1.475999999999999943e+02 9.783409701410079595e-01 2.784108541444278717e-03
1.476500000000000057e+02 9.846355587649890939e-01 3.101888273190886707e-03
1.477000000000000171e+02 9.904950963204530723e-01 3.539160353055339700e-03
1.477500000000000000e+02 9.958538025770705682e-01 3.996438738863706923e-03
1.478000000000000114e+02 1.000673326100149918e+00 4.394847198360290336e-03
1.478499999999999943e+02 1.004934669141426706e+00 4.685886520343242670e-03
1.479000000000000057e+02 1.008628181283721226e+00 4.852474591595217976e-03
1.479500000000000171e+02 1.011744101617145342e+00 4.907028253472309892e-03
1.480000000000000000e+02 1.014265690007071674e+00 4.886291730669353219e-03
1.480500000000000114e+02 1.016166182896801384e+00 4.841368393790019230e-03
1.480999999999999943e+02 1.017409857685081853e+00 4.822489716720898024e-03
1.481500000000000057e+02 1.017956596785577261e+00 4.861963785586573619e-03
1.482000000000000171e+02 1.017768675963368175e+00 4.963540591785474583e-03
1.482500000000000000e+02 1.016818174842842204e+00 5.104881478761284438e-03
1.483000000000000114e+02 1.015093457523412956e+00 5.250317828470919476e-03
1.483499999999999943e+02 1.012603544549480983e+00 5.364685557084644153e-03
1.484000000000000057e+02 1.009379762481183995e+00 5.422050860878252672e-03
1.484500000000000171e+02 1.005474647266183963e+00 5.408928184733826673e-03
1.485000000000000000e+02 1.000958547422371003e+00 5.324195139196409056e-03
1.485500000000000114e+02 9.959146431224115137e-01 5.177738338982219336e-03
1.485999999999999943e+02 9.904331662337796383e-01 4.988891001313381333e-03
1.486500000000000057e+02 9.846055327494683818e-01 4.784832337422859766e-03
1.487000000000000171e+02 9.785189664314916103e-01 4.598431132200681871e-03
1.487500000000000000e+02 9.722520744765082990e-01 4.464584866202113249e-03
1.488000000000000114e+02 9.658717707148336551e-01 4.414348501993018564e-03
1.488499999999999943e+02 9.594319185832108632e-01 4.467672860975937903e-03
1.489000000000000057e+02 9.529740256070453608e-01 4.627710493334136720e-03
1.489500000000000171e+02 9.465301748111899505e-01 4.879643733124974271e-03
1.490000000000000000e+02 9.401280535253206949e-01 5.193887746005611782e-03
1.490500000000000114e+02 9.337974441288908745e-01 5.531110408809548386e-03
1.490999999999999943e+02 9.275770116971512325e-01 5.847410351716307055e-03
1.491500000000000057e+02 9.215199039249072355e-01 6.099784354826778658e-03
1.492000000000000171e+02 9.156967951074583834e-01 6.252204528815826987e-03
1.492500000000000000e+02 9.101956014551885188e-01 6.281662547245010948e-03
1.493000000000000114e+02 9.051179562687737823e-01 6.182809775069077543e-03
1.493499999999999943e+02 9.005732965919387434e-01 5.969875397925999798e-03
1.494000000000000057e+02 8.966717832353993112e-01 5.675074198939380164e-03
1.494500000000000171e+02 8.935171899678481244e-01 5.343207540950832730e-03
1.495000000000000000e+02 8.912005143486577685e-01 5.022523940677241054e-03
1.495500000000000114e+02 8.897946267629306405e-01 4.752863383158990179e-03
1.495999999999999943e+02 8.893499745666553213e-01 4.554553994564711217e-03
1.496500000000000057e+02 8.898912663074662888e-01 4.423932452779995132e-03
1.497000000000000171e+02 8.914151464399989733e-01 4.339137027422636933e-03
1.497500000000000000e+02 8.938890477821989089e-01 4.272669335163711661e-03
