        k           c(k)                    s(k)
           0  0.95194789227773424        0.0000000000000000     
           1   1.7661501367965712E-003   8.4805433638832811E-012
           2  -1.8633598920499829E-003  -1.6960956930290610E-011
           3   2.0517069447665149E-003   2.5441214653752951E-011
           4  -2.3903604290357833E-003  -3.3921302676652469E-011
           5   3.0356886348851869E-003   4.2401766668228166E-011
           6  -4.5360637047295125E-003  -5.0882285244301051E-011
           7   1.0959964091426192E-002   5.9362289448446468E-011
           8   1.7066258175797031E-002  -6.7842952330928538E-011
           9  -4.3540467366148814E-003   7.6323183395537642E-011
          10   2.3634869596363263E-003  -8.4803433420343995E-011
          11  -1.5597693718777891E-003   9.3283835651571135E-011
          12   1.1250044861365360E-003  -1.0176438035268121E-010
          13  -8.4627114300049014E-004   1.1024456020070201E-010
          14   6.2782888114498118E-004  -1.1872491533350915E-010
          15  -1.2607066556384063E-004   1.2720531209766801E-010
          16   6.5929613033180305E-004  -1.3568576314361566E-010
          17  -4.9736491324618238E-004   1.4416607629831696E-010
          18   4.1599239279165880E-004  -1.5264643604088916E-010
          19  -3.5877606027816928E-004   1.6112674580745868E-010
          20   3.1470653408193915E-004  -1.6960717404852653E-010
          21  -2.7941951899580005E-004   1.7808750519187830E-010
          22   2.5098646239993803E-004  -1.8656783819044398E-010
          23  -2.1276476907516087E-004   1.9504823323163194E-010
          24   2.0241905601267433E-004  -2.0352856167591323E-010
          25  -1.8503404238779460E-004   2.1200899041207183E-010
          26   1.6963850398425581E-004  -2.2048933611930810E-010
          27  -1.5610068260400181E-004   2.2896965502176323E-010
          28   1.4415836835940615E-004  -2.3745005689998938E-010
          29  -1.3358307240655276E-004   2.4593036067231849E-010
          30   1.2425892753168647E-004  -2.5441071224102275E-010
          31  -1.1543977094658423E-004   2.6289104512523898E-010
          32   1.0796034701966340E-004  -2.7137148090151193E-010
          33  -1.0112419028910671E-004   2.7985180203907525E-010
          34   9.4919957650455616E-005  -2.8833213157412321E-010
          35  -8.9276978079824574E-005   2.9681251600029428E-010
          36   8.4130038734483553E-005  -3.0529287514422594E-010
          37  -7.9422490174874024E-005   3.1377324934332121E-010
          38   7.5110482807974512E-005  -3.2225361382567802E-010
          39  -7.1132910049190326E-005   3.3073395636056414E-010
          40   6.7474197299596553E-005  -3.3921433019416469E-010
          41  -6.4094025120609382E-005   3.4769466668885886E-010
          42   6.0964708639989660E-005  -3.5617502250183346E-010
          43  -5.8061789198013335E-005   3.6465548331640033E-010
          44   5.5363721421725830E-005  -3.7313575163595367E-010
          45  -5.2851467602390483E-005   3.8161612590662322E-010
          46   5.0508415076317404E-005  -3.9009643060370055E-010
          47  -4.8319084767478501E-005   3.9857700604257749E-010
          48   4.6270548560703632E-005  -4.0705718060913610E-010
          49  -4.4350807140575751E-005   4.1553755488192324E-010
          50   4.2549192029425959E-005  -4.2401788389646945E-010
          51  -4.0856128518398997E-005   4.3249828655121306E-010
          52   3.9263000412863327E-005  -4.4097856654076284E-010
          53  -3.7762034633569133E-005   4.4945899595158319E-010
          54   3.6346214427700186E-005  -4.5793935457120145E-010
          55  -3.5009163641476159E-005   4.6641968828762756E-010
          56   3.3745112498693042E-005  -4.7490004339375316E-010
          57  -3.2548807303652992E-005   4.8338035425680683E-010
          58   3.1415461983049089E-005  -4.9186077379588170E-010
          59  -3.0340708311595125E-005   5.0034109855747548E-010
          60   2.9320552620256993E-005  -5.0882152227199926E-010
          61  -2.8351337595322872E-005   5.1730185496478605E-010
          62   2.7429709081113837E-005  -5.2578220040626572E-010
          63  -2.6552585476584897E-005   5.3426258967746525E-010
          64   2.5717132203217731E-005  -5.4274289784187195E-010
          65  -2.4920737849728512E-005   5.5122329640671698E-010
          66   2.4160993378130905E-005  -5.5970361583835594E-010
          67  -2.3435673509951486E-005   5.6818397253182129E-010
          68   2.2742720089202439E-005  -5.7666434275494390E-010
          69  -2.2080227165568791E-005   5.8514467372740677E-010
          70   2.1446427653436912E-005  -5.9362506265386389E-010
          71  -2.0839681287146091E-005   6.0210536909201744E-010
          72   2.0258463828948416E-005  -6.1058575589326890E-010
          73  -1.9701357317253903E-005   6.1906606803873045E-010
          74   1.9167041255682845E-005  -6.2754652722572351E-010
          75  -1.8654284664706522E-005   6.3602681350872809E-010
          76   1.8161938862593007E-005  -6.4450724015949158E-010
          77  -1.7688930929888905E-005   6.5298754408788651E-010
          78   1.7234257775543130E-005  -6.6146796337200446E-010
          79  -1.6796980726572130E-005   6.6994824211556877E-010
          80   1.6376220621042560E-005  -6.7842863957588283E-010
          81  -1.5971153315409047E-005   6.8690900909003887E-010
          82   1.5581005593674367E-005  -6.9538935539633918E-010
          83  -1.5205051428891162E-005   7.0386968033284527E-010
          84   1.4842608551056408E-005  -7.1235003225582106E-010
          85  -1.4493035320359578E-005   7.2083046155102141E-010
          86   1.4155727842916284E-005  -7.2931048686825713E-010
          87  -1.3830117331547237E-005   7.3779111561345854E-010
          88   1.3515667683219933E-005  -7.4627150679979957E-010
          89  -1.3211873236527012E-005   7.5475209914630117E-010
          90   1.2918256723822906E-005  -7.6323218404129330E-010
          91  -1.2634367369647603E-005   7.7171257581632222E-010
          92   1.2359779141123318E-005  -7.8019291535906445E-010
          93  -1.2094089136109731E-005   7.8867323734027259E-010
          94   1.1836916081349653E-005  -7.9715363892563710E-010
          95  -1.1587898959533531E-005   8.0563398855484767E-010
          96   1.1346695721426198E-005  -8.1411438474461231E-010
          97  -1.1112982102805870E-005   8.2259471837252347E-010
          98   1.0886450526466181E-005  -8.3107505553764422E-010
          99  -1.0666809073115141E-005   8.3955544096077307E-010
         100   1.0453780541310720E-005  -8.4803584276297802E-010
         101  -1.0247101557133497E-005   8.5651618039396689E-010
         102   1.0046521755401706E-005  -8.6499646011754832E-010
         103  -9.8518030170709810E-006   8.7347687204857326E-010
         104   9.6627187493890024E-006  -8.8195734908509162E-010
         105  -9.4790532296229344E-006   8.9043761302590814E-010
         106   9.3006009780848654E-006  -8.9891773023266611E-010
         107  -9.1271661800189873E-006   9.0739854376996343E-010
         108   8.9585621491311909E-006  -9.1587865122144294E-010
         109  -8.7946108122910840E-006   9.2435899979779156E-010
         110   8.6351422451574672E-006  -9.3283939373529559E-010
         111  -8.4799942213729251E-006   9.4132014656235345E-010
         112   8.3290117997082046E-006  -9.4980013820494732E-010
         113  -8.1820469359217534E-006   9.5828048478145114E-010
         114   8.0389581118011532E-006  -9.6676078847945311E-010
         115  -7.8996099988677562E-006   9.7524118347913646E-010
         116   7.7638731307613226E-006  -9.8372147662988417E-010
         117  -7.6316236023270527E-006   9.9220193050682769E-010
         118   7.5027427877318183E-006  -1.0006822817225310E-009
         119  -7.3771170666510718E-006   1.0091626652169658E-009
         120   7.2546375794391908E-006  -1.0176429918983598E-009
         121  -7.1351999841152514E-006   1.0261233138973556E-009
         122   7.0187042344923965E-006  -1.0346036867242575E-009
         123  -6.9050543716584368E-006   1.0430840896835094E-009
         124   6.7941583196855573E-006  -1.0515643652015723E-009
         125  -6.6859277042531472E-006   1.0600447822520643E-009
