# Frequency Ratio Error
1.400000000000000000e+02 9.479802338092603309e-01 8.664402346542888003e-03
1.400500000000000114e+02 9.490629281004849815e-01 8.304096594137069798e-03
1.400999999999999943e+02 9.506401945283293742e-01 7.956150478589340408e-03
1.401500000000000057e+02 9.526687960952195944e-01 7.614793259716964857e-03
1.402000000000000171e+02 9.550831559297944251e-01 7.275604291014843919e-03
1.402500000000000000e+02 9.577960664375344546e-01 6.937461590786209685e-03
1.403000000000000114e+02 9.607002721317423610e-01 6.603788254331134470e-03
1.403499999999999943e+02 9.636713770147485869e-01 6.282771404226587461e-03
1.404000000000000057e+02 9.665726459446815078e-01 5.986433153123661526e-03
1.404500000000000171e+02 9.692621837535484453e-01 5.728644427238827400e-03
1.405000000000000000e+02 9.716025972670260247e-01 5.522457719851547875e-03
1.405500000000000114e+02 9.734725665522584448e-01 5.377472454290366070e-03
1.405999999999999943e+02 9.747789104607598176e-01 5.298107358777330578e-03
1.406500000000000057e+02 9.754670271550537342e-01 5.283333191861905136e-03
1.407000000000000171e+02 9.755273951787114539e-01 5.327663199532249941e-03
1.407500000000000000e+02 9.749963854772094596e-01 5.422581142835842215e-03
1.408000000000000114e+02 9.739508907300032936e-01 5.557640329363947550e-03
1.408499999999999943e+02 9.724977970254653492e-01 5.721045247215637841e-03
1.409000000000000057e+02 9.707605123925789892e-01 5.900025334402976378e-03
1.409500000000000171e+02 9.688651928072959940e-01 6.081367054957919141e-03
1.410000000000000000e+02 9.669289120102400048e-01 6.252214450535864554e-03
1.410500000000000114e+02 9.650511009955924369e-01 6.400995308569381453e-03
1.410999999999999943e+02 9.633085665804472786e-01 6.518252598179861967e-03
1.411500000000000057e+02 9.617536247791980131e-01 6.597231903115436877e-03
1.412000000000000171e+02 9.604144944992749622e-01 6.634189648540924494e-03
1.412500000000000000e+02 9.592970583376309035e-01 6.628467313638258460e-03
1.413000000000000114e+02 9.583872927749832460e-01 6.582401882120708821e-03
1.413499999999999943e+02 9.576539758543185510e-01 6.501124756530115949e-03
1.414000000000000057e+02 9.570516033235370035e-01 6.392262367685539251e-03
1.414500000000000171e+02 9.565237219199186347e-01 6.265512953307478088e-03
1.415000000000000000e+02 9.560070703158706218e-01 6.132054674657331367e-03
1.415500000000000114e+02 9.554369463948999552e-01 6.003756908820158736e-03
1.415999999999999943e+02 9.547540284192781446e-01 5.892224777543985520e-03
1.416500000000000057e+02 9.539124258789366539e-01 5.807785905841115863e-03
1.417000000000000171e+02 9.528880705847185828e-01 5.758575596583348846e-03
1.417500000000000000e+02 9.516858797675572523e-01 5.749841247364599617e-03
1.418000000000000114e+02 9.503437746528212715e-01 5.783485270037477290e-03
1.418499999999999943e+02 9.489319605760269116e-01 5.857799949437297350e-03
1.419000000000000057e+02 9.475469512231674551e-01 5.967403865702774687e-03
1.419500000000000171e+02 9.463013009589903435e-01 6.103508609590481068e-03
1.420000000000000000e+02 9.453112297608621262e-01 6.254660852177477449e-03
1.420500000000000114e+02 9.446847008742956797e-01 6.407946376477449343e-03
1.420999999999999943e+02 9.445119214841045663e-01 6.550428907667283848e-03
1.421500000000000057e+02 9.448590709756121697e-01 6.670501238609113058e-03
1.422000000000000171e+02 9.457649191058432603e-01 6.758900315551943060e-03
1.422500000000000000e+02 9.472393236210990830e-01 6.809298241891442727e-03
1.423000000000000114e+02 9.492625233724211187e-01 6.818518273339117808e-03
1.423499999999999943e+02 9.517845466917538300e-01 6.786485068455105386e-03
1.424000000000000057e+02 9.547247099584528218e-01 6.716008090642366750e-03
1.424500000000000171e+02 9.579718588779697619e-01 6.612450599431035810e-03
1.425000000000000000e+02 9.613864953747792708e-01 6.483289986366824742e-03
