# Frequency Ratio Error
9.000000000000000000e+01 1.021197220064412603e+00 5.256352173947564412e-03
9.005000000000001137e+01 1.021407273506986346e+00 5.036536066580552147e-03
9.010000000000000853e+01 1.021797306040007403e+00 4.799665668152458542e-03
9.015000000000000568e+01 1.022367691467612971e+00 4.556609503586606102e-03
9.020000000000000284e+01 1.023113807570924960e+00 4.321132069480787541e-03
9.025000000000000000e+01 1.024025340542411788e+00 4.108132155503812534e-03
9.030000000000001137e+01 1.025085355227139949e+00 3.930938414179247463e-03
9.035000000000000853e+01 1.026269237796205491e+00 3.798229089101773891e-03
9.040000000000000568e+01 1.027543669513343527e+00 3.711899936320088144e-03
9.045000000000000284e+01 1.028865848319130416e+00 3.667355020161165019e-03
9.050000000000000000e+01 1.030183225948698933e+00 3.656581291623983536e-03
9.055000000000001137e+01 1.031434051939085217e+00 3.672583586596642885e-03
9.060000000000000853e+01 1.032548988237320442e+00 3.712735897410489230e-03
9.065000000000000568e+01 1.033453959542013134e+00 3.779006452166307119e-03
9.070000000000000284e+01 1.034074230801674821e+00 3.874530492075356318e-03
9.075000000000000000e+01 1.034339475593177404e+00 3.998132059376107057e-03
9.080000000000001137e+01 1.034189365721175369e+00 4.140105937003326318e-03
9.085000000000000853e+01 1.033579037421347158e+00 4.282250390416159069e-03
9.090000000000000568e+01 1.032483729933264982e+00 4.402610953085271672e-03
9.095000000000000284e+01 1.030901973142290817e+00 4.482822821635431589e-03
9.100000000000000000e+01 1.028856903696093505e+00 4.515154358313862477e-03
9.105000000000001137e+01 1.026395558638987904e+00 4.506906773449472631e-03
9.110000000000000853e+01 1.023586265076562807e+00 4.480449741549981206e-03
9.115000000000000568e+01 1.020514460078303154e+00 4.467641024039730770e-03
9.120000000000000284e+01 1.017277411035969470e+00 4.498846293908091362e-03
9.125000000000000000e+01 1.013978363218399847e+00 4.590352342449473093e-03
9.130000000000001137e+01 1.010720633070446572e+00 4.737285564222395301e-03
9.135000000000000853e+01 1.007602110363396530e+00 4.916768134670541392e-03
9.140000000000000568e+01 1.004710543874427708e+00 5.098621803964553147e-03
9.145000000000000284e+01 1.002119875263220994e+00 5.256792018525383199e-03
9.150000000000000000e+01 9.998877657340284886e-01 5.376834090258022017e-03
9.155000000000001137e+01 9.980543431621592410e-01 5.458424538431500689e-03
9.160000000000000853e+01 9.966420973201051137e-01 5.513511983596553617e-03
9.165000000000000568e+01 9.956567785433866336e-01 5.560980398001289134e-03
9.170000000000000284e+01 9.950891155277469258e-01 5.619049483858070022e-03
9.175000000000000000e+01 9.949171584773836008e-01 5.697598664087587771e-03
9.180000000000001137e+01 9.951090656213573693e-01 5.793344776176789258e-03
9.185000000000000853e+01 9.956261715588192729e-01 5.889968049181831984e-03
9.190000000000000568e+01 9.964261921785372289e-01 5.962909938191549367e-03
9.195000000000000284e+01 9.974664234960028963e-01 5.986558773419899636e-03
9.200000000000000000e+01 9.987067771764378543e-01 5.941319053852094252e-03
9.205000000000001137e+01 1.000112467920903248e+00 5.819063578426560308e-03
9.210000000000000853e+01 1.001656138999876822e+00 5.626405364633238655e-03
9.215000000000000568e+01 1.003319198992810524e+00 5.385489799825671220e-03
9.220000000000000284e+01 1.005092162774589237e+00 5.131679287781328383e-03
9.225000000000000000e+01 1.006973854819263270e+00 4.907071764416482199e-03
9.230000000000001137e+01 1.008969443258945553e+00 4.749430297946380906e-03
9.235000000000000853e+01 1.011087414926071792e+00 4.679325350129072240e-03
9.240000000000000568e+01 1.013335749322485713e+00 4.692637354575653064e-03
9.245000000000000284e+01 1.015717673775463181e+00 4.764477752555847968e-03
9.250000000000000000e+01 1.018227459708520799e+00 4.862090214911267069e-03
9.255000000000001137e+01 1.020846741230488464e+00 4.958184954914181611e-03
9.260000000000000853e+01 1.023541807147618110e+00 5.038588326876723700e-03
9.265000000000000568e+01 1.026262250282619748e+00 5.103203402112976329e-03
9.270000000000000284e+01 1.028941267728482600e+00 5.161783428056357370e-03
9.275000000000000000e+01 1.031497797863012877e+00 5.226636905202811795e-03
9.280000000000001137e+01 1.033840548422052974e+00 5.304943441962324709e-03
9.285000000000000853e+01 1.035873801258843541e+00 5.393778569338585939e-03
9.290000000000000568e+01 1.037504664064508919e+00 5.480003544646055470e-03
9.295000000000000284e+01 1.038651185661739085e+00 5.544784779065353546e-03
9.300000000000000000e+01 1.039250496543277391e+00 5.570386102202768037e-03
9.305000000000001137e+01 1.039265946030931476e+00 5.546453051609582727e-03
9.310000000000000853e+01 1.038692161102062750e+00 5.473880192393077576e-03
9.315000000000000568e+01 1.037557112311023433e+00 5.365371268439189135e-03
9.320000000000000284e+01 1.035920651585312546e+00 5.242492807193277135e-03
9.325000000000000000e+01 1.033869526459243238e+00 5.129694823764367230e-03
9.330000000000001137e+01 1.031509454649280233e+00 5.046884043768438272e-03
9.335000000000000853e+01 1.028955317508288170e+00 5.003435152718308139e-03
9.340000000000000568e+01 1.026320786253320572e+00 4.996628250235322401e-03
9.345000000000000284e+01 1.023708687132224959e+00 5.015302771720036960e-03
9.350000000000000000e+01 1.021203176913857424e+00 5.046411544694114244e-03
9.355000000000001137e+01 1.018864429772599278e+00 5.080869410797503663e-03
9.360000000000000853e+01 1.016726136085329912e+00 5.116207916298738494e-03
9.365000000000000568e+01 1.014795764704800929e+00 5.155471136214042661e-03
9.370000000000000284e+01 1.013057283087387406e+00 5.203289292759525654e-03
9.375000000000000000e+01 1.011475865465481849e+00 5.261008128630080723e-03
9.380000000000001137e+01 1.010004026353677364e+00 5.323090181119108366e-03
9.385000000000000853e+01 1.008588569177416572e+00 5.376421509914106750e-03
9.390000000000000568e+01 1.007177721173844631e+00 5.402757999658914026e-03
9.395000000000000284e+01 1.005727833500400958e+00 5.383203661698045782e-03
9.400000000000000000e+01 1.004209067889683116e+00 5.303147079710756467e-03
9.405000000000001137e+01 1.002609578550138325e+00 5.156448964630210886e-03
9.410000000000000853e+01 1.000937833762410634e+00 4.948268124119548431e-03
9.415000000000000568e+01 9.992228967944513096e-01 4.696245067759667602e-03
9.420000000000000284e+01 9.975126794829228816e-01 4.429656346238727491e-03
9.425000000000000000e+01 9.958703674817840357e-01 4.185682816142403256e-03
9.430000000000001137e+01 9.943693702654533562e-01 4.001708071055088550e-03
9.435000000000000853e+01 9.930872584985024343e-01 3.904173852487106446e-03
9.440000000000000568e+01 9.920992162316136787e-01 3.898829363857700403e-03
9.445000000000000284e+01 9.914715645761795759e-01 3.969706132378285346e-03
9.450000000000000000e+01 9.912559170614613224e-01 4.088461101305429155e-03
9.455000000000001137e+01 9.914845071010378597e-01 4.227224675903134589e-03
9.460000000000000853e+01 9.921671747604315916e-01 4.367432362546784345e-03
9.465000000000000568e+01 9.932903933988417311e-01 4.502268864786460566e-03
9.470000000000000284e+01 9.948185377119862505e-01 4.633943593917969235e-03
9.475000000000000000e+01 9.966973404256470603e-01 4.767972437188651262e-03
9.480000000000001137e+01 9.988591816112386557e-01 4.906920828753246096e-03
9.485000000000000853e+01 1.001229559349109621e+00 5.046135646181744601e-03
9.490000000000000568e+01 1.003733877030214661e+00 5.173151510925338460e-03
9.495000000000000284e+01 1.006303615049367162e+00 5.270700585824333179e-03
9.500000000000000000e+01 1.008881060486845671e+00 5.321739752936468192e-03
9.505000000000001137e+01 1.011422025385583012e+00 5.314569653385072499e-03
9.510000000000000853e+01 1.013896328842406325e+00 5.246707594605631853e-03
9.515000000000000568e+01 1.016286170781255604e+00 5.126878820738689328e-03
9.520000000000000284e+01 1.018582819078063695e+00 4.974813839619487456e-03
