# frequency transmission sigma
1.41650000e+02 9.35823435e-01 7.66906625e-03
1.41700000e+02 9.38155395e-01 7.68395856e-03
1.41750000e+02 9.40971230e-01 7.63821784e-03
1.41800000e+02 9.44156658e-01 7.53819522e-03
1.41850000e+02 9.47593135e-01 7.39741701e-03
1.41900000e+02 9.51169531e-01 7.23473872e-03
1.41950000e+02 9.54792977e-01 7.07142275e-03
1.42000000e+02 9.58396394e-01 6.92781041e-03
1.42050000e+02 9.61941014e-01 6.82039031e-03
1.42100000e+02 9.65413548e-01 6.75987477e-03
1.42150000e+02 9.68818952e-01 6.75047405e-03
1.42200000e+02 9.72170505e-01 6.79015257e-03
1.42250000e+02 9.75479108e-01 6.87147979e-03
1.42300000e+02 9.78743444e-01 6.98277036e-03
1.42350000e+02 9.81942142e-01 7.10938090e-03
1.42400000e+02 9.85028801e-01 7.23513718e-03
1.42450000e+02 9.87930446e-01 7.34386907e-03
1.42500000e+02 9.90549996e-01 7.42098209e-03
1.42550000e+02 9.92773097e-01 7.45494535e-03
1.42600000e+02 9.94479346e-01 7.43854445e-03
1.42650000e+02 9.95557046e-01 7.36973757e-03
1.42700000e+02 9.95919585e-01 7.25197243e-03
1.42750000e+02 9.95520427e-01 7.09388109e-03
1.42800000e+02 9.94363303e-01 6.90836547e-03
1.42850000e+02 9.92504829e-01 6.71118805e-03
1.42900000e+02 9.90048588e-01 6.51924888e-03
1.42950000e+02 9.87131983e-01 6.34873821e-03
1.43000000e+02 9.83909050e-01 6.21332851e-03
1.43050000e+02 9.80533109e-01 6.12256523e-03
1.43100000e+02 9.77142520e-01 6.08065941e-03
1.43150000e+02 9.73851403e-01 6.08592427e-03
1.43200000e+02 9.70745663e-01 6.13103680e-03
1.43250000e+02 9.67883581e-01 6.20412598e-03
1.43300000e+02 9.65299730e-01 6.29049688e-03
1.43350000e+02 9.63010996e-01 6.37472132e-03
1.43400000e+02 9.61023696e-01 6.44286804e-03
1.43450000e+02 9.59340990e-01 6.48470275e-03
1.43500000e+02 9.57969827e-01 6.49564680e-03
1.43550000e+02 9.56926491e-01 6.47811857e-03
1.43600000e+02 9.56239568e-01 6.44168989e-03
1.43650000e+02 9.55949169e-01 6.40149117e-03
1.43700000e+02 9.56101784e-01 6.37473150e-03
1.43750000e+02 9.56741426e-01 6.37607781e-03
1.43800000e+02 9.57899158e-01 6.41347265e-03
1.43850000e+02 9.59583946e-01 6.48598807e-03
1.43900000e+02 9.61777345e-01 6.58428975e-03
1.43950000e+02 9.64432864e-01 6.69302539e-03
1.44000000e+02 9.67479108e-01 6.79393561e-03
1.44050000e+02 9.70824696e-01 6.86879551e-03
