# Frequency Ratio Error
1.400000000000000000e+02 9.470000732986624259e-01 8.683853476902234775e-03
1.400500000000000114e+02 9.480926512740738277e-01 8.323475555541880178e-03
1.400999999999999943e+02 9.497359230055663071e-01 7.973991776544779586e-03
1.401500000000000057e+02 9.518753867955314085e-01 7.630702454448132395e-03
1.402000000000000171e+02 9.544303844772592527e-01 7.289736293060305843e-03
1.402500000000000000e+02 9.572970316138028624e-01 6.950083431208462295e-03
1.403000000000000114e+02 9.603517834692869570e-01 6.615035678332677367e-03
1.403499999999999943e+02 9.634560122182463937e-01 6.292610005032304131e-03
1.404000000000000057e+02 9.664621239888957493e-01 5.994763242476541625e-03
1.404500000000000171e+02 9.692216557815426237e-01 5.735451078122361795e-03
1.405000000000000000e+02 9.715953948180556798e-01 5.527904447368132274e-03
1.405500000000000114e+02 9.734648769561139448e-01 5.381875142246727792e-03
1.405999999999999943e+02 9.747438098074406865e-01 5.301801389847890164e-03
1.406500000000000057e+02 9.753873404035230399e-01 5.286523140189883577e-03
1.407000000000000171e+02 9.753970040935536767e-01 5.330360261091095925e-03
1.407500000000000000e+02 9.748198605438264108e-01 5.424669154238926337e-03
1.408000000000000114e+02 9.737416256097723988e-01 5.559020491355765557e-03
1.408499999999999943e+02 9.722750860647926263e-01 5.721765404300252315e-03
1.409000000000000057e+02 9.705461560306801738e-01 5.900324579492449012e-03
1.409500000000000171e+02 9.686802117052064620e-01 6.081626812456823739e-03
1.410000000000000000e+02 9.667908235977165088e-01 6.252855520689629305e-03
1.410500000000000114e+02 9.649720232734319003e-01 6.402373384191380364e-03
1.410999999999999943e+02 9.632942283393917116e-01 6.520589280621620805e-03
1.411500000000000057e+02 9.618032224149345444e-01 6.600593523067964027e-03
1.412000000000000171e+02 9.605212576630893784e-01 6.638506696866774970e-03
1.412500000000000000e+02 9.594493611901578900e-01 6.633577570014495550e-03
1.413000000000000114e+02 9.585701546200394718e-01 6.588098615089710633e-03
1.413499999999999943e+02 9.578508128576874725e-01 6.507194350998449922e-03
1.414000000000000057e+02 9.572461044469774416e-01 6.398501212615010682e-03
1.414500000000000171e+02 9.567017163953778214e-01 6.271720747603000065e-03
1.415000000000000000e+02 9.561582283760174938e-01 6.138010499856886085e-03
1.415500000000000114e+02 9.555561169289449319e-01 6.009194441369580461e-03
1.415999999999999943e+02 9.548419857247362197e-01 5.896829964551441455e-03
1.416500000000000057e+02 9.539758021904853891e-01 5.811237462035241143e-03
1.417000000000000171e+02 9.529383233837817047e-01 5.760630335679962216e-03
1.417500000000000000e+02 9.517372999561227731e-01 5.750436670842439153e-03
1.418000000000000114e+02 9.504107647211972321e-01 5.782808957553946250e-03
1.418499999999999943e+02 9.490260369637764093e-01 5.856280912272338567e-03
1.419000000000000057e+02 9.476740615791575673e-01 5.965619501347776792e-03
1.419500000000000171e+02 9.464600237426359364e-01 6.102048324882248381e-03
1.420000000000000000e+02 9.454922348828919132e-01 6.254008981266529973e-03
1.420500000000000114e+02 9.448715649616750145e-01 6.408428620421529123e-03
1.420999999999999943e+02 9.446831151139891691e-01 6.552225959105121775e-03
1.421500000000000057e+02 9.449907510461722504e-01 6.673699949314207923e-03
1.422000000000000171e+02 9.458340927197363968e-01 6.763542549284083487e-03
1.422500000000000000e+02 9.472269725710688038e-01 6.815397443366581244e-03
1.423000000000000114e+02 9.491563404052232311e-01 6.826032712395613961e-03
1.423499999999999943e+02 9.515809954315916919e-01 6.795255808243856437e-03
1.424000000000000057e+02 9.544301651728034352e-01 6.725684899133104779e-03
1.424500000000000171e+02 9.576026252227290980e-01 6.622438644746049541e-03
1.425000000000000000e+02 9.609675704087629056e-01 6.492752185793413712e-03
1.425500000000000114e+02 9.643686114434162349e-01 6.345495067258265405e-03
1.425999999999999943e+02 9.676319116672781329e-01 6.190569157558235489e-03
1.426500000000000057e+02 9.705785474076742414e-01 6.038199952446327706e-03
1.427000000000000171e+02 9.730398645207826158e-01 5.898186198430209470e-03
1.427500000000000000e+02 9.748733742266951774e-01 5.779212144785950307e-03
1.428000000000000114e+02 9.759761538903931610e-01 5.688327477919157341e-03
1.428499999999999943e+02 9.762931574749771357e-01 5.630655520275799041e-03
1.429000000000000057e+02 9.758191918303269485e-01 5.609321234315924748e-03
1.429500000000000171e+02 9.745950218938358445e-01 5.625531650750349028e-03
1.430000000000000000e+02 9.726994345333156433e-01 5.678717023053052315e-03
1.430500000000000114e+02 9.702396630516312293e-01 5.766652067743414760e-03
1.430999999999999943e+02 9.673423178386411081e-01 5.885507476550298246e-03
1.431500000000000057e+02 9.641461719110093753e-01 6.029817218036930340e-03
1.432000000000000171e+02 9.607971932928190961e-01 6.192381274947326465e-03
1.432500000000000000e+02 9.574453875568817995e-01 6.364157549224629812e-03
1.433000000000000114e+02 9.542424561502290681e-01 6.534231154998951761e-03
1.433499999999999943e+02 9.513390329833227854e-01 6.689978537726643665e-03
1.434000000000000057e+02 9.488803481619555447e-01 6.817554756195774376e-03
1.434500000000000171e+02 9.469996029710513463e-01 6.902807051209275055e-03
1.435000000000000000e+02 9.458091168051354636e-01 6.932641149492625547e-03
1.435500000000000114e+02 9.453903107307134457e-01 6.896737752969929469e-03
1.435999999999999943e+02 9.457845365067142351e-01 6.789361578636858748e-03
1.436500000000000057e+02 9.469872204674235627e-01 6.610879719677487804e-03
1.437000000000000171e+02 9.489474013422442011e-01 6.368575477838639767e-03
1.437500000000000000e+02 9.515734604571470800e-01 6.076445024018120589e-03
1.438000000000000114e+02 9.547441008241051019e-01 5.753873379131821918e-03
1.438499999999999943e+02 9.583221574489855232e-01 5.423327013084646570e-03
1.439000000000000057e+02 9.621682319639265346e-01 5.107400130003470450e-03
1.439500000000000171e+02 9.661515924851620252e-01 4.825699399596260729e-03
1.440000000000000000e+02 9.701569225273000141e-01 4.592181298045219448e-03
1.440500000000000114e+02 9.740867810246012226e-01 4.413629076393007881e-03
1.440999999999999943e+02 9.778606016738150553e-01 4.289785866375232792e-03
1.441500000000000057e+02 9.814115415198197967e-01 4.215104864347399109e-03
1.442000000000000171e+02 9.846825494104086696e-01 4.181374947470101362e-03
1.442500000000000000e+02 9.876228290134085874e-01 4.180148738578799532e-03
1.443000000000000114e+02 9.901855658056032405e-01 4.204170034092764331e-03
1.443499999999999943e+02 9.923274504632667581e-01 4.247589593402032772e-03
1.444000000000000057e+02 9.940101763009197011e-01 4.305274130762285108e-03
1.444500000000000171e+02 9.952037037697769595e-01 4.371776020934931700e-03
1.445000000000000000e+02 9.958906779002001386e-01 4.440545372968657430e-03
1.445500000000000114e+02 9.960710143765160174e-01 4.503783014405639794e-03
1.445999999999999943e+02 9.957654493235817972e-01 4.553030740407273264e-03
1.446500000000000057e+02 9.950169009868673475e-01 4.580295653808396164e-03
1.447000000000000171e+02 9.938888800612355467e-01 4.579329182763279375e-03
1.447500000000000000e+02 9.924608440144366828e-01 4.546678787902858586e-03
1.448000000000000114e+02 9.908211230490855392e-01 4.482264530307465168e-03
1.448499999999999943e+02 9.890586025128890180e-01 4.389419144617578636e-03
1.449000000000000057e+02 9.872545480053388500e-01 4.274487506595051056e-03
1.449500000000000171e+02 9.854757785727614738e-01 4.146160524633560850e-03
1.450000000000000000e+02 9.837699545660228972e-01 4.014710407465032528e-03
1.450500000000000114e+02 9.821632447852708392e-01 3.891222699159555508e-03
1.450999999999999943e+02 9.806602404023279096e-01 3.786830049662081882e-03
1.451500000000000057e+02 9.792457735869053437e-01 3.711897152279463371e-03
1.452000000000000171e+02 9.778882707328550028e-01 3.675132055640516725e-03
1.452500000000000000e+02 9.765443597579963608e-01 3.682712025041533829e-03
1.453000000000000114e+02 9.751645724590956021e-01 3.737639433924262039e-03
1.453499999999999943e+02 9.737000532466063563e-01 3.839554707058846598e-03
1.454000000000000057e+02 9.721101364839854764e-01 3.985064979023724037e-03
1.454500000000000171e+02 9.703704427878959704e-01 4.168405857001660636e-03
1.455000000000000000e+02 9.684807703821740610e-01 4.382131461103584182e-03
1.455500000000000114e+02 9.664715943373844986e-01 4.617607230305633206e-03
1.455999999999999943e+02 9.644076051444014919e-01 4.865278931663403333e-03
1.456500000000000057e+02 9.623866714932245436e-01 5.114871432960855537e-03
1.457000000000000171e+02 9.605331426517328408e-01 5.355737925794081325e-03
1.457500000000000000e+02 9.589855788057487507e-01 5.577509346369340787e-03
1.458000000000000114e+02 9.578805492651841780e-01 5.771023031524081214e-03
1.458499999999999943e+02 9.573354863215407518e-01 5.929326493244398838e-03
1.459000000000000057e+02 9.574340845438285008e-01 6.048454348627838387e-03
1.459500000000000171e+02 9.582170773917052520e-01 6.127717060869165150e-03
1.460000000000000000e+02 9.596796516994102744e-01 6.169396586214292988e-03
1.460500000000000114e+02 9.617749529126279340e-01 6.177937005425389837e-03
1.460999999999999943e+02 9.644217948859580281e-01 6.158863617208036947e-03
1.461500000000000057e+02 9.675141840956474892e-01 6.117715767236905217e-03
1.462000000000000171e+02 9.709305345553272959e-01 6.059238675848524491e-03
1.462500000000000000e+02 9.745411556816977461e-01 5.986980579945670733e-03
1.463000000000000114e+02 9.782133832730917078e-01 5.903324695351709964e-03
1.463499999999999943e+02 9.818143635329928953e-01 5.809883929819987559e-03
1.464000000000000057e+02 9.852119184894890802e-01 5.708117301908356353e-03
1.464500000000000171e+02 9.882741536817121197e-01 5.599991634713779275e-03
1.465000000000000000e+02 9.908685942639990918e-01 5.488501546155220671e-03
1.465500000000000114e+02 9.928617259442210630e-01 5.377869994779539524e-03
1.465999999999999943e+02 9.941199087534523526e-01 5.273294712646746721e-03
1.466500000000000057e+02 9.945127070137493863e-01 5.180221486669568838e-03
1.467000000000000171e+02 9.939196535031935564e-01 5.103352673850335142e-03
1.467500000000000000e+02 9.922411852186650005e-01 5.045910383349981772e-03
1.468000000000000114e+02 9.894137576716651727e-01 5.009895756796797425e-03
1.468499999999999943e+02 9.854278266347179516e-01 4.997920247834091237e-03
1.469000000000000057e+02 9.803455804671838969e-01 5.016393803253382279e-03
1.469500000000000171e+02 9.743135500756998635e-01 5.078525536037404968e-03
1.470000000000000000e+02 9.675645181508725212e-01 5.204382957459969400e-03
1.470500000000000114e+02 9.604045632026987356e-01 5.415572913593761847e-03
1.470999999999999943e+02 9.531849190099461744e-01 5.725330485537338462e-03
1.471500000000000057e+02 9.462634429363917521e-01 6.129427550969699344e-03
1.472000000000000171e+02 9.399644655206209620e-01 6.604066793046707746e-03
1.472500000000000000e+02 9.345464353905296173e-01 7.111742319767945519e-03
1.473000000000000114e+02 9.301836878306929401e-01 7.610706471130688350e-03
1.473499999999999943e+02 9.269635873716283170e-01 8.063250755053286492e-03
1.474000000000000057e+02 9.248957831376450889e-01 8.440681426083656430e-03
1.474500000000000171e+02 9.239280695646273633e-01 8.725141617362553934e-03
1.475000000000000000e+02 9.239635077864863932e-01 8.909301391995654365e-03
1.475500000000000114e+02 9.248751046481898941e-01 8.994937039359229142e-03
1.475999999999999943e+02 9.265163558234443819e-01 8.991124694247841151e-03
1.476500000000000057e+02 9.287276184672823565e-01 8.912458412469886210e-03
1.477000000000000171e+02 9.313393504531418676e-01 8.777462721930940140e-03
1.477500000000000000e+02 9.341737979297378702e-01 8.607218942040079437e-03
1.478000000000000114e+02 9.370468717247318891e-01 8.424146015140193330e-03
1.478499999999999943e+02 9.397718159557530981e-01 8.250840756253294966e-03
1.479000000000000057e+02 9.421658461557201880e-01 8.108861074925432372e-03
1.479500000000000171e+02 9.440601892486458757e-01 8.017322537103969277e-03
1.480000000000000000e+02 9.453129192553075821e-01 7.991213406428672450e-03
1.480500000000000114e+02 9.458228256830371050e-01 8.039490700635424508e-03
1.480999999999999943e+02 9.455416287502197425e-01 8.163315705941375650e-03
1.481500000000000057e+02 9.444815955397358742e-01 8.355060577066551752e-03
1.482000000000000171e+02 9.427162936973360052e-01 8.598687214009729032e-03
1.482500000000000000e+02 9.403737496239208404e-01 8.871658647458436839e-03
1.483000000000000114e+02 9.376231427844249344e-01 9.147947164471379247e-03
1.483499999999999943e+02 9.346576587765785815e-01 9.401344562494532570e-03
1.484000000000000057e+02 9.316767082812145162e-01 9.608321661967598321e-03
1.484500000000000171e+02 9.288703002878139214e-01 9.749995525799762253e-03
1.485000000000000000e+02 9.264072607518675229e-01 9.813119090382767598e-03
1.485500000000000114e+02 9.244277197866276330e-01 9.790262615682287367e-03
1.485999999999999943e+02 9.230392752106736376e-01 9.679471495094477823e-03
1.486500000000000057e+02 9.223156794427673777e-01 9.483687490805619430e-03
1.487000000000000171e+02 9.222967862083647494e-01 9.210156325239296157e-03
1.487500000000000000e+02 9.229887205356445135e-01 8.869952318290262594e-03
1.488000000000000114e+02 9.243636728548644266e-01 8.477652578031038416e-03
1.488499999999999943e+02 9.263592704696990143e-01 8.051096948708463125e-03
1.489000000000000057e+02 9.288780788114214815e-01 7.611077428691210948e-03
1.489500000000000171e+02 9.317883497351180377e-01 7.180721137323461782e-03
1.490000000000000000e+02 9.349275252358409949e-01 6.784296996318674687e-03
1.490500000000000114e+02 9.381100091729723811e-01 6.445257289301697425e-03
1.490999999999999943e+02 9.411401086208174283e-01 6.183603614646775506e-03
1.491500000000000057e+02 9.438297307502474531e-01 6.013129237675212714e-03
1.492000000000000171e+02 9.460186440087137161e-01 5.939471624124821256e-03
1.492500000000000000e+02 9.475935258958312346e-01 5.959769869436442290e-03
1.493000000000000114e+02 9.485014665693689562e-01 6.063965315255095620e-03
1.493499999999999943e+02 9.487546118857042021e-01 6.237007975091250073e-03
1.494000000000000057e+02 9.484249806676849914e-01 6.461103701447557315e-03
1.494500000000000171e+02 9.476311965826459405e-01 6.717567149004370283e-03
1.495000000000000000e+02 9.465207662639746333e-01 6.988255104911202630e-03
1.495500000000000114e+02 9.452519537794080717e-01 7.256662314348969259e-03
1.495999999999999943e+02 9.439783883461636549e-01 7.508705467292838172e-03
1.496500000000000057e+02 9.428379793341531423e-01 7.733187663242686340e-03
1.497000000000000171e+02 9.419462289462274818e-01 7.921963351951090415e-03
1.497500000000000000e+02 9.413930609853051745e-01 8.069862672299928097e-03
1.498000000000000114e+02 9.412419061795810338e-01 8.174444464698856980e-03
1.498499999999999943e+02 9.415298657605996047e-01 8.235627433690910146e-03
1.499000000000000057e+02 9.422681214561675622e-01 8.255219984985915152e-03
1.499500000000000171e+02 9.434422119088566872e-01 8.236355327046035110e-03
1.500000000000000000e+02 9.450122469950155146e-01 8.182855640249616508e-03
1.500500000000000114e+02 9.469135095881660025e-01 8.098598277600087270e-03
1.500999999999999943e+02 9.490581314103394561e-01 7.987017313796964876e-03
1.501500000000000057e+02 9.513385554652413756e-01 7.850903588995193985e-03
1.502000000000000171e+02 9.536332612769415906e-01 7.692620400103790217e-03
1.502500000000000000e+02 9.558147440047919385e-01 7.514715073981023501e-03
1.503000000000000114e+02 9.577591196307334576e-01 7.320722015289738219e-03
1.503499999999999943e+02 9.593561836404693732e-01 7.115813400850519790e-03
1.504000000000000057e+02 9.605185036836820789e-01 6.906951186029713051e-03
1.504500000000000171e+02 9.611883025124613456e-01 6.702359548048321750e-03
1.505000000000000000e+02 9.613414320869226870e-01 6.510415262870033332e-03
1.505500000000000114e+02 9.609884370223129579e-01 6.338323355587868919e-03
1.505999999999999943e+02 9.601732859780426343e-01 6.191068402791669902e-03
1.506500000000000057e+02 9.589706187429923867e-01 6.071019868666941745e-03
1.507000000000000171e+02 9.574822658086077354e-01 5.978251531698512873e-03
1.507500000000000000e+02 9.558334304758208111e-01 5.911270693455879244e-03
