# Frequency Ratio Error
1.400000000000000000e+02 9.627310951123404514e-01 8.796287292874226463e-03
1.400500000000000114e+02 9.638006463892014875e-01 8.354038154497749058e-03
1.400999999999999943e+02 9.653832444379111255e-01 7.949153670079494097e-03
1.401500000000000057e+02 9.674327017721938704e-01 7.577368189916952081e-03
1.402000000000000171e+02 9.698792007787633285e-01 7.225490314162670048e-03
1.402500000000000000e+02 9.726310474202907175e-01 6.879333822365150432e-03
1.403000000000000114e+02 9.755771260956496160e-01 6.531235123299263846e-03
1.403499999999999943e+02 9.785903214713047582e-01 6.184647329798658583e-03
1.404000000000000057e+02 9.815323965947411189e-01 5.854785920162564571e-03
1.404500000000000171e+02 9.842608461919762908e-01 5.565223723478195106e-03
1.405000000000000000e+02 9.866379760873539295e-01 5.340986947914761265e-03
1.405500000000000114e+02 9.885418620154249325e-01 5.200017377391778772e-03
1.405999999999999943e+02 9.898780163130675991e-01 5.146712466310383004e-03
1.406500000000000057e+02 9.905898110645215970e-01 5.171310091666030812e-03
1.407000000000000171e+02 9.906653538365559619e-01 5.255341575604813992e-03
1.407500000000000000e+02 9.901389012501481401e-01 5.379138848152866838e-03
1.408000000000000114e+02 9.890860488319273003e-01 5.526900400753748284e-03
1.408499999999999943e+02 9.876134844564873339e-01 5.687733675069316791e-03
1.409000000000000057e+02 9.858454265182235998e-01 5.853901336422725511e-03
1.409500000000000171e+02 9.839094658731228904e-01 6.018422194426248373e-03
1.410000000000000000e+02 9.819242435693155135e-01 6.173602949555343465e-03
1.410500000000000114e+02 9.799904804636337952e-01 6.310980007692432517e-03
1.410999999999999943e+02 9.781857858516842530e-01 6.422287726507034701e-03
1.411500000000000057e+02 9.765628042742793280e-01 6.500757334102944332e-03
1.412000000000000171e+02 9.751497981831562800e-01 6.542186482698678085e-03
1.412500000000000000e+02 9.739526934364459709e-01 6.545517058583912723e-03
1.413000000000000114e+02 9.729578106065551735e-01 6.512900616187151069e-03
1.413499999999999943e+02 9.721348282807363850e-01 6.449349789131710552e-03
1.414000000000000057e+02 9.714398686277891937e-01 6.362102491612388507e-03
1.414500000000000171e+02 9.708188916461890638e-01 6.259820895642379847e-03
1.415000000000000000e+02 9.702117809549267724e-01 6.151748053018690418e-03
1.415500000000000114e+02 9.695575439604443568e-01 6.046956062928129753e-03
