# NO SAMPLE 
FTS 150 GHz source and diode detector

SAMPLE -- 15-02 etalon. 1.5" spacing. Polarisation along x
another test, after motor not responding; just pushed red reset button on stepper driver
again, this time wiggled/tightened RS-232 cables

Testing for polarization, aligning y-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2927857320.000000 172.916500 0.000175239
1 2927857400.000000 173.030000 0.000175149
2 2927857480.000000 173.144500 0.00017503
3 2927857560.000000 173.259500 0.000174941
4 2927857640.000000 173.374500 0.000174821
5 2927857720.000000 173.488500 0.000174821
6 2927857800.000000 173.602500 0.000174941
7 2927857880.000000 173.717000 0.00017506
8 2927857960.000000 173.834000 0.000175
9 2927858040.000000 173.947500 0.00017503
10 2927858120.000000 174.062500 0.000174911
11 2927858200.000000 174.177000 0.000174881
12 2927858280.000000 174.292500 0.000174762
13 2927858360.000000 174.409000 0.000174851
14 2927858440.000000 174.523500 0.000174762
15 2927858520.000000 174.640000 0.000174762
16 2927858600.000000 174.753500 0.000174851
17 2927858680.000000 174.869500 0.00017497
18 2927858760.000000 174.983500 0.000175
19 2927858840.000000 175.099000 0.00017497
20 2927858920.000000 175.215000 0.000174881
21 2927859000.000000 175.330500 0.000174881
22 2927859080.000000 175.445000 0.000174732
23 2927859160.000000 175.560500 0.000174792
24 2927859240.000000 175.677500 0.000174851
25 2927859320.000000 175.788500 0.000174762
26 2927859400.000000 175.906500 0.000174851
27 2927859480.000000 176.020500 0.000174881
28 2927859560.000000 176.137000 0.000174851
29 2927859640.000000 176.253500 0.000174762
30 2927859720.000000 176.372000 0.000174821
31 2927859800.000000 176.484500 0.000174732
32 2927859880.000000 176.601500 0.000174762
33 2927859960.000000 176.718500 0.000174821
34 2927860040.000000 176.832500 0.000174851
35 2927860120.000000 176.950500 0.000174762
36 2927860200.000000 177.064500 0.000174702
37 2927860280.000000 177.182000 0.000174762
38 2927860360.000000 177.295000 0.000174851
39 2927860440.000000 177.413500 0.000174821
40 2927860520.000000 177.528500 0.000174821
41 2927860600.000000 177.643500 0.000174732
42 2927860680.000000 177.761500 0.000174702
43 2927860760.000000 177.876000 0.000174672
44 2927860840.000000 177.991500 0.000174762
45 2927860920.000000 178.104000 0.000174941
46 2927861000.000000 178.220000 0.000175
47 2927861080.000000 178.335000 0.00017503
48 2927861160.000000 178.453500 0.00017497
49 2927861240.000000 178.563500 0.000174762
50 2927861320.000000 178.681000 0.000174672
51 2927861400.000000 178.796000 0.000174583
52 2927861480.000000 178.912000 0.000174643
53 2927861560.000000 179.027000 0.000174553
54 2927861640.000000 179.140500 0.000174583
55 2927861720.000000 179.256500 0.000174702
56 2927861800.000000 179.371500 0.000174792
57 2927861880.000000 179.486500 0.000174851
58 2927861960.000000 179.599500 0.000174821
59 2927862040.000000 179.715500 0.000174613
60 2927862120.000000 179.831500 0.000174643
61 2927862200.000000 179.945500 0.000174553
62 2927862280.000000 180.059000 0.000174583
63 2927862360.000000 180.174500 0.000174583
64 2927862441.000000 180.290000 0.000174672
65 2927862520.000000 180.405000 0.000174762
66 2927862600.000000 180.521500 0.000174732
67 2927862680.000000 180.634500 0.000174762
68 2927862760.000000 180.752500 0.000174583
69 2927862840.000000 180.865500 0.000174613
70 2927862920.000000 180.980500 0.000174613
71 2927863000.000000 181.095500 0.000174553
72 2927863080.000000 181.214500 0.000174702
73 2927863160.000000 181.330000 0.000174792
74 2927863240.000000 181.445500 0.000174851
75 2927863320.000000 181.562000 0.000174881
76 2927863400.000000 181.679500 0.000174732
77 2927863480.000000 181.794500 0.000174732
78 2927863560.000000 181.910500 0.000174553
79 2927863640.000000 182.029000 0.000174672
80 2927863720.000000 182.141000 0.000174583
81 2927863800.000000 182.259500 0.000174494
82 2927863880.000000 182.374000 0.000174553
83 2927863960.000000 182.488500 0.000174583
84 2927864040.000000 182.607000 0.000174643
85 2927864120.000000 182.720500 0.000174523
86 2927864200.000000 182.838500 0.000174494
87 2927864280.000000 182.954500 0.000174464
88 2927864360.000000 183.072000 0.000174315
89 2927864440.000000 183.184000 0.000174315
90 2927864520.000000 183.303000 0.000174345
91 2927864600.000000 183.415000 0.000174464
92 2927864680.000000 183.531500 0.000174464
93 2927864760.000000 183.645500 0.000174494
94 2927864840.000000 183.759500 0.000174553
95 2927864920.000000 183.874500 0.000174464
96 2927865000.000000 183.991000 0.000174553
97 2927865080.000000 184.105000 0.000174464
98 2927865160.000000 184.221000 0.000174345
99 2927865240.000000 184.338500 0.000174404
100 2927865320.000000 184.451500 0.000174345
101 2927865400.000000 184.567000 0.000174494
102 2927865480.000000 184.683000 0.000174523
103 2927865560.000000 184.799000 0.000174672
104 2927865640.000000 184.911500 0.000174732
105 2927865720.000000 185.026000 0.000174613
106 2927865800.000000 185.141000 0.000174583
107 2927865880.000000 185.257000 0.000174613
108 2927865960.000000 185.372000 0.000174613
109 2927866040.000000 185.485000 0.000174494
110 2927866120.000000 185.602000 0.000174553
111 2927866200.000000 185.718000 0.000174613
112 2927866280.000000 185.835000 0.000174583
113 2927866360.000000 185.946500 0.000174702
114 2927866440.000000 186.064000 0.000174821
115 2927866520.000000 186.179000 0.000174702
116 2927866600.000000 186.295000 0.000174613
117 2927866680.000000 186.410000 0.000174583
118 2927866760.000000 186.528000 0.000174553
119 2927866840.000000 186.644000 0.000174553
120 2927866920.000000 186.759000 0.000174643
121 2927867000.000000 186.876500 0.000174821
122 2927867080.000000 186.992000 0.00017497
123 2927867160.000000 187.108000 0.000175119
124 2927867240.000000 187.223000 0.000175119
125 2927867320.000000 187.339500 0.000175149
126 2927867400.000000 187.453500 0.000175
127 2927867480.000000 187.571500 0.000174851
128 2927867560.000000 187.685500 0.000174762
129 2927867640.000000 187.801000 0.000174762
130 2927867720.000000 187.918500 0.000174762
131 2927867800.000000 188.033500 0.000174851
132 2927867880.000000 188.149500 0.000174911
133 2927867960.000000 188.263500 0.000175
134 2927868040.000000 188.379500 0.000174851
135 2927868120.000000 188.493000 0.00017503
136 2927868200.000000 188.611500 0.000174911
137 2927868280.000000 188.724500 0.000174702
138 2927868360.000000 188.839000 0.000174762
139 2927868440.000000 188.954000 0.000174821
140 2927868520.000000 189.069500 0.00017503
141 2927868600.000000 189.184500 0.000175179
142 2927868680.000000 189.299500 0.000175239
143 2927868760.000000 189.415500 0.00017506
144 2927868840.000000 189.530000 0.000174821
145 2927868920.000000 189.647000 0.000174851
146 2927869000.000000 189.761500 0.000174762
147 2927869080.000000 189.884500 0.000174821
148 2927869160.000000 189.997500 0.000174881
149 2927869240.000000 190.113500 0.000175119
150 2927869320.000000 190.225000 0.000175268
151 2927869400.000000 190.341000 0.000175179
152 2927869480.000000 190.454000 0.000175268
153 2927869560.000000 190.568500 0.000175179
154 2927869640.000000 190.683000 0.00017497
155 2927869720.000000 190.796500 0.000174941
156 2927869800.000000 190.911500 0.000174941
157 2927869880.000000 191.025000 0.000175
158 2927869960.000000 191.141500 0.000175209
159 2927870040.000000 191.255500 0.000175268
160 2927870120.000000 191.369500 0.000175537
161 2927870200.000000 191.486500 0.000175417
162 2927870280.000000 191.604500 0.000175417
163 2927870360.000000 191.720000 0.000175239
164 2927870440.000000 191.835500 0.000175
165 2927870520.000000 191.953000 0.00017506
166 2927870600.000000 192.067000 0.000175179
167 2927870680.000000 192.186000 0.000175268
168 2927870760.000000 192.301000 0.000175417
169 2927870840.000000 192.420000 0.000175447
170 2927870920.000000 192.532000 0.000175507
171 2927871000.000000 192.649500 0.000175417
172 2927871080.000000 192.766000 0.000175298
173 2927871160.000000 192.879500 0.000175239
174 2927871240.000000 192.996500 0.000175149
175 2927871320.000000 193.110000 0.000175179
176 2927871400.000000 193.227000 0.000175328
177 2927871480.000000 193.342500 0.000175537
178 2927871560.000000 193.459500 0.000175596
179 2927871640.000000 193.573000 0.000175715
180 2927871720.000000 193.690500 0.000175715
181 2927871800.000000 193.804500 0.000175447
182 2927871880.000000 193.919000 0.000175388
183 2927871960.000000 194.036000 0.000175298
184 2927872040.000000 194.148000 0.000175328
185 2927872120.000000 194.265000 0.000175507
186 2927872200.000000 194.381000 0.000175686
187 2927872280.000000 194.496000 0.000175864
