#  SAMPLE 
FTS 150 GHz source and diode detector

SAMPLE -- 15-02 etalon. 1.5" spacing. Polarisation along x
another test, after motor not responding; just pushed red reset button on stepper driver
again, this time wiggled/tightened RS-232 cables

Testing for polarization, aligning y-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2930963500.000000 172.923500 0.000163407
1 2930963580.000000 173.037500 0.000163407
2 2930963660.000000 173.151500 0.000163377
3 2930963740.000000 173.265000 0.000163288
4 2930963820.000000 173.380500 0.000163318
5 2930963900.000000 173.494000 0.000163318
6 2930963980.000000 173.610000 0.000163228
7 2930964060.000000 173.723500 0.000163318
8 2930964140.000000 173.840500 0.000163318
9 2930964220.000000 173.957000 0.000163318
10 2930964300.000000 174.070000 0.000163288
11 2930964380.000000 174.185500 0.000163139
12 2930964460.000000 174.302000 0.000163169
13 2930964540.000000 174.416000 0.000163139
14 2930964620.000000 174.529500 0.000163049
15 2930964700.000000 174.647000 0.000163169
16 2930964780.000000 174.760500 0.000163169
17 2930964860.000000 174.876000 0.000163198
18 2930964940.000000 174.990500 0.000163198
19 2930965020.000000 175.108500 0.000163198
20 2930965100.000000 175.221500 0.000163228
21 2930965180.000000 175.339500 0.000163169
22 2930965260.000000 175.454000 0.000163258
23 2930965340.000000 175.568000 0.000163198
24 2930965420.000000 175.684500 0.000163228
25 2930965500.000000 175.799000 0.000163169
26 2930965580.000000 175.914000 0.000163139
27 2930965660.000000 176.029500 0.000163169
28 2930965740.000000 176.144500 0.000163079
29 2930965820.000000 176.259500 0.000163288
30 2930965900.000000 176.379000 0.000163198
31 2930965980.000000 176.494000 0.000163109
32 2930966060.000000 176.608500 0.000163139
33 2930966140.000000 176.725000 0.00016302
34 2930966220.000000 176.842000 0.000163169
35 2930966300.000000 176.957500 0.000163079
36 2930966380.000000 177.070500 0.000163198
37 2930966460.000000 177.189500 0.000163288
38 2930966540.000000 177.301500 0.000163139
39 2930966620.000000 177.421000 0.000163198
40 2930966700.000000 177.535500 0.000163139
41 2930966780.000000 177.651000 0.000163198
42 2930966860.000000 177.767000 0.000163079
43 2930966940.000000 177.883500 0.000163049
44 2930967020.000000 178.000500 0.00016302
45 2930967100.000000 178.111500 0.00016296
46 2930967180.000000 178.226500 0.000163079
47 2930967260.000000 178.341000 0.000163049
48 2930967340.000000 178.458000 0.00016302
49 2930967420.000000 178.570000 0.000163049
50 2930967500.000000 178.685500 0.00016293
51 2930967580.000000 178.801500 0.00016293
52 2930967660.000000 178.918500 0.000162841
53 2930967740.000000 179.032000 0.0001629
54 2930967820.000000 179.147500 0.000163049
55 2930967900.000000 179.263500 0.000163169
56 2930967980.000000 179.376500 0.000163288
57 2930968060.000000 179.493500 0.000163318
58 2930968140.000000 179.607000 0.000163318
59 2930968220.000000 179.723500 0.000163318
60 2930968300.000000 179.834000 0.000163139
61 2930968380.000000 179.951000 0.000163079
62 2930968460.000000 180.065000 0.000163049
63 2930968540.000000 180.182500 0.00016293
64 2930968620.000000 180.298000 0.00016299
65 2930968700.000000 180.413000 0.0001629
66 2930968780.000000 180.526500 0.00016299
67 2930968860.000000 180.642500 0.00016302
68 2930968940.000000 180.759500 0.00016302
69 2930969020.000000 180.873500 0.0001629
70 2930969100.000000 180.989000 0.000162811
71 2930969180.000000 181.104500 0.000162781
72 2930969260.000000 181.220500 0.000162871
73 2930969340.000000 181.337500 0.000163049
74 2930969420.000000 181.455000 0.00016302
75 2930969500.000000 181.568500 0.000163049
76 2930969580.000000 181.686000 0.00016302
77 2930969660.000000 181.803500 0.00016293
78 2930969740.000000 181.917500 0.0001629
79 2930969820.000000 182.036000 0.00016299
80 2930969900.000000 182.150000 0.0001629
81 2930969980.000000 182.265500 0.000162841
82 2930970060.000000 182.380500 0.000162811
83 2930970140.000000 182.498000 0.000162811
84 2930970220.000000 182.613500 0.000162662
85 2930970300.000000 182.728500 0.0001629
86 2930970380.000000 182.846500 0.00016293
87 2930970460.000000 182.962000 0.000162871
88 2930970540.000000 183.077000 0.000162841
89 2930970620.000000 183.189000 0.000162781
90 2930970700.000000 183.307500 0.000162722
91 2930970780.000000 183.422500 0.000162632
92 2930970860.000000 183.538000 0.000162751
93 2930970940.000000 183.650500 0.000162871
94 2930971020.000000 183.766000 0.000162781
95 2930971100.000000 183.881500 0.000162871
96 2930971180.000000 183.996500 0.00016293
97 2930971260.000000 184.111000 0.000162811
98 2930971340.000000 184.227500 0.000162811
99 2930971420.000000 184.345000 0.000162722
100 2930971500.000000 184.460000 0.000162722
101 2930971580.000000 184.573500 0.000162751
102 2930971660.000000 184.688500 0.000162692
103 2930971740.000000 184.802000 0.000162871
104 2930971820.000000 184.917000 0.000162841
105 2930971900.000000 185.034500 0.00016293
106 2930971980.000000 185.146000 0.00016293
107 2930972060.000000 185.263500 0.000162871
108 2930972140.000000 185.379000 0.000162841
109 2930972220.000000 185.493500 0.000162692
110 2930972300.000000 185.610000 0.000162781
111 2930972380.000000 185.726000 0.000162871
