#  NO SAMPLE 
FTS 150 GHz source and diode detector

SAMPLE -- 15-02 etalon. 1.5" spacing. Polarisation along x
another test, after motor not responding; just pushed red reset button on stepper driver
again, this time wiggled/tightened RS-232 cables

Testing for polarization, aligning y-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2931539720.000000 172.911000 0.000175119
1 2931539800.000000 173.026000 0.00017503
2 2931539880.000000 173.140500 0.000174911
3 2931539960.000000 173.255500 0.000174792
4 2931540040.000000 173.372500 0.000174702
5 2931540120.000000 173.485000 0.000174732
6 2931540200.000000 173.600500 0.000174702
7 2931540280.000000 173.715000 0.000174821
8 2931540360.000000 173.832500 0.000174851
9 2931540440.000000 173.946500 0.000174762
10 2931540520.000000 174.062000 0.000174821
11 2931540600.000000 174.178500 0.000174732
12 2931540680.000000 174.291000 0.000174702
13 2931540760.000000 174.407000 0.000174643
14 2931540840.000000 174.522000 0.000174553
15 2931540920.000000 174.638500 0.000174613
16 2931541000.000000 174.751000 0.000174672
17 2931541080.000000 174.868500 0.000174702
18 2931541160.000000 174.980500 0.000174762
19 2931541240.000000 175.097500 0.000174821
20 2931541320.000000 175.214000 0.000174792
21 2931541400.000000 175.330000 0.000174762
22 2931541480.000000 175.444500 0.000174732
23 2931541560.000000 175.560000 0.000174613
24 2931541640.000000 175.676500 0.000174553
25 2931541720.000000 175.788000 0.000174762
26 2931541800.000000 175.905500 0.000174672
27 2931541880.000000 176.018500 0.000174851
28 2931541960.000000 176.136500 0.000174702
29 2931542040.000000 176.250500 0.000174762
30 2931542120.000000 176.367500 0.000174672
31 2931542200.000000 176.483000 0.000174702
32 2931542280.000000 176.600000 0.000174732
33 2931542360.000000 176.715000 0.000174672
34 2931542440.000000 176.830000 0.000174732
