# SAMPLE 
FTS 150 GHz source and diode detector

SAMPLE -- 15-02 etalon. 1.5" spacing
another test, after motor not responding; just pushed red reset button on stepper driver
again, this time wiggled/tightened RS-232 cables

Testing for polarization, aligning y-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2922836260.000000 172.926000 0.000170887
1 2922836340.000000 173.038000 0.000170828
2 2922836420.000000 173.152000 0.000170768
3 2922836500.000000 173.263500 0.000170828
4 2922836580.000000 173.377500 0.000170679
5 2922836660.000000 173.490000 0.000170768
6 2922836740.000000 173.605000 0.000170947
7 2922836820.000000 173.720500 0.000170917
8 2922836900.000000 173.834500 0.000171036
9 2922836980.000000 173.950500 0.000170977
10 2922837060.000000 174.065500 0.000170947
11 2922837140.000000 174.180000 0.000170828
12 2922837220.000000 174.295500 0.000170798
13 2922837300.000000 174.412000 0.000170738
14 2922837380.000000 174.524000 0.000170679
15 2922837460.000000 174.641000 0.000170709
16 2922837540.000000 174.756000 0.000170768
17 2922837620.000000 174.874500 0.000170738
18 2922837700.000000 174.985000 0.000170798
19 2922837780.000000 175.100500 0.000170828
20 2922837860.000000 175.216000 0.000170768
21 2922837940.000000 175.332000 0.000170768
22 2922838020.000000 175.447000 0.000170649
23 2922838100.000000 175.560500 0.000170738
24 2922838180.000000 175.678000 0.000170589
25 2922838260.000000 175.793000 0.000170649
26 2922838340.000000 175.908000 0.000170679
27 2922838420.000000 176.021500 0.000170679
28 2922838500.000000 176.137500 0.000170709
29 2922838580.000000 176.253000 0.000170649
30 2922838660.000000 176.371000 0.000170738
31 2922838740.000000 176.486500 0.000170649
32 2922838820.000000 176.601500 0.000170619
33 2922838900.000000 176.718000 0.000170589
34 2922838980.000000 176.833500 0.00017056
35 2922839060.000000 176.952500 0.00017056
36 2922839140.000000 177.063000 0.000170589
37 2922839220.000000 177.182000 0.000170619
38 2922839300.000000 177.297000 0.000170619
39 2922839380.000000 177.416000 0.0001705
40 2922839460.000000 177.528500 0.000170619
41 2922839540.000000 177.646000 0.00017053
42 2922839620.000000 177.760500 0.000170411
43 2922839700.000000 177.875000 0.000170351
44 2922839780.000000 177.993500 0.000170321
45 2922839860.000000 178.106000 0.000170411
46 2922839940.000000 178.222000 0.000170351
47 2922840020.000000 178.335500 0.00017053
48 2922840100.000000 178.453000 0.000170589
49 2922840180.000000 178.564000 0.00017044
50 2922840260.000000 178.681500 0.000170411
51 2922840340.000000 178.797500 0.000170202
52 2922840420.000000 178.912500 0.000170262
53 2922840500.000000 179.029000 0.000170262
54 2922840580.000000 179.143500 0.000170411
55 2922840660.000000 179.257000 0.0001705
56 2922840740.000000 179.373000 0.000170381
57 2922840820.000000 179.488500 0.000170381
58 2922840900.000000 179.601500 0.000170351
59 2922840980.000000 179.718000 0.000170321
60 2922841060.000000 179.833000 0.000170321
61 2922841140.000000 179.946500 0.000170262
62 2922841220.000000 180.058500 0.000170262
63 2922841300.000000 180.175500 0.000170262
64 2922841380.000000 180.291000 0.000170351
65 2922841460.000000 180.405000 0.000170411
66 2922841540.000000 180.520000 0.0001705
67 2922841620.000000 180.634500 0.00017056
68 2922841700.000000 180.751500 0.000170321
69 2922841780.000000 180.865500 0.000170262
70 2922841860.000000 180.982500 0.000170172
71 2922841940.000000 181.099000 0.000170262
72 2922842020.000000 181.215000 0.000170291
73 2922842100.000000 181.329500 0.000170321
74 2922842180.000000 181.447000 0.00017047
75 2922842260.000000 181.561500 0.000170381
76 2922842340.000000 181.680000 0.000170381
77 2922842420.000000 181.797000 0.000170381
78 2922842500.000000 181.911000 0.000170172
