# NO SAMPLE 
FTS 150 GHz source and diode detector

SAMPLE -- 15-02 etalon. 1.5" spacing
another test, after motor not responding; just pushed red reset button on stepper driver
again, this time wiggled/tightened RS-232 cables

Testing for polarization, aligning y-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2923421941.000000 172.921500 0.000175179
1 2923422020.000000 173.039000 0.000175119
2 2923422120.000000 173.156500 0.00017497
3 2923422200.000000 173.270000 0.00017497
4 2923422280.000000 173.388000 0.00017497
5 2923422360.000000 173.498500 0.00017506
6 2923422440.000000 173.615500 0.000175119
7 2923422520.000000 173.728000 0.000175298
8 2923422600.000000 173.845000 0.000175328
9 2923422680.000000 173.961000 0.000175239
10 2923422760.000000 174.076000 0.000175239
11 2923422840.000000 174.189500 0.000175
12 2923422920.000000 174.306000 0.000174941
13 2923423000.000000 174.422000 0.000174911
14 2923423080.000000 174.534000 0.000174881
15 2923423160.000000 174.651500 0.000174911
16 2923423240.000000 174.766500 0.000174911
17 2923423320.000000 174.883000 0.000175
18 2923423400.000000 174.995500 0.00017503
19 2923423480.000000 175.114000 0.00017509
20 2923423560.000000 175.226000 0.000174941
21 2923423640.000000 175.343500 0.000174851
22 2923423720.000000 175.458500 0.000174911
23 2923423800.000000 175.574500 0.000174821
24 2923423880.000000 175.688000 0.00017497
25 2923423960.000000 175.803500 0.00017497
26 2923424040.000000 175.917500 0.000174792
27 2923424120.000000 176.032500 0.000174881
28 2923424200.000000 176.151000 0.000174851
29 2923424280.000000 176.266000 0.000174911
30 2923424360.000000 176.382500 0.00017497
31 2923424440.000000 176.497000 0.00017497
32 2923424520.000000 176.615000 0.000174851
33 2923424600.000000 176.730500 0.000174613
34 2923424680.000000 176.845500 0.000174792
35 2923424760.000000 176.964000 0.000174732
36 2923424840.000000 177.077500 0.000174911
37 2923424920.000000 177.194000 0.00017497
38 2923425000.000000 177.307500 0.00017497
39 2923425080.000000 177.427000 0.000174851
40 2923425160.000000 177.539500 0.000174702
41 2923425240.000000 177.657500 0.000174732
42 2923425320.000000 177.774500 0.000174613
43 2923425400.000000 177.887500 0.000174613
44 2923425480.000000 178.004000 0.000174672
45 2923425560.000000 178.117500 0.000174613
46 2923425640.000000 178.232500 0.000174732
47 2923425720.000000 178.346500 0.000174702
48 2923425800.000000 178.462500 0.000174732
49 2923425880.000000 178.575500 0.000174643
50 2923425960.000000 178.693000 0.000174553
51 2923426040.000000 178.808500 0.000174523
52 2923426120.000000 178.923500 0.000174523
53 2923426200.000000 179.038000 0.000174553
54 2923426280.000000 179.152000 0.000174583
55 2923426360.000000 179.267500 0.000174643
56 2923426440.000000 179.383000 0.000174702
57 2923426520.000000 179.499000 0.000174762
58 2923426600.000000 179.611000 0.000174732
59 2923426680.000000 179.728000 0.000174583
60 2923426760.000000 179.842000 0.000174494
61 2923426840.000000 179.957500 0.000174464
62 2923426920.000000 180.070500 0.000174434
63 2923427000.000000 180.188000 0.000174583
64 2923427080.000000 180.302500 0.000174613
65 2923427160.000000 180.417000 0.000174732
66 2923427240.000000 180.531000 0.000174762
67 2923427320.000000 180.648000 0.000174613
68 2923427400.000000 180.764000 0.000174553
69 2923427480.000000 180.876500 0.000174494
70 2923427560.000000 180.993500 0.000174494
71 2923427640.000000 181.109500 0.000174583
72 2923427720.000000 181.225000 0.000174523
73 2923427800.000000 181.341000 0.000174702
74 2923427880.000000 181.459500 0.000174583
75 2923427960.000000 181.573000 0.000174613
76 2923428040.000000 181.691500 0.000174643
77 2923428120.000000 181.809000 0.000174523
78 2923428200.000000 181.923000 0.000174553
79 2923428280.000000 182.041500 0.000174464
80 2923428360.000000 182.154500 0.000174404
81 2923428440.000000 182.270500 0.000174523
82 2923428520.000000 182.385000 0.000174553
83 2923428600.000000 182.502500 0.000174613
84 2923428680.000000 182.617000 0.000174672
85 2923428760.000000 182.734500 0.000174762
86 2923428840.000000 182.851500 0.000174821
87 2923428920.000000 182.965500 0.000174762
88 2923429000.000000 183.083000 0.000174732
89 2923429080.000000 183.198500 0.000174583
90 2923429160.000000 183.314000 0.000174583
91 2923429240.000000 183.426500 0.000174583
92 2923429320.000000 183.542000 0.000174583
93 2923429400.000000 183.657000 0.000174702
94 2923429480.000000 183.773500 0.000174583
95 2923429560.000000 183.886000 0.000174613
96 2923429640.000000 184.002500 0.000174553
97 2923429720.000000 184.118500 0.000174553
98 2923429800.000000 184.235500 0.000174523
99 2923429880.000000 184.350500 0.000174374
100 2923429960.000000 184.463500 0.000174434
101 2923430040.000000 184.578000 0.000174434
102 2923430120.000000 184.692500 0.000174583
103 2923430200.000000 184.809000 0.000174702
