#  SAMPLE 
FTS 150 GHz source and diode detector

SAMPLE -- 15-02 etalon. 1.5" spacing
another test, after motor not responding; just pushed red reset button on stepper driver
again, this time wiggled/tightened RS-232 cables

Testing for polarization, aligning y-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2925237540.000000 172.914500 0.000170023
1 2925237620.000000 173.027500 0.000170053
2 2925237740.000000 173.198000 0.000169964
3 2925237820.000000 173.312000 0.000169964
4 2925237900.000000 173.427500 0.000169815
5 2925237980.000000 173.542000 0.000169844
6 2925238060.000000 173.659000 0.000169844
7 2925238140.000000 173.774500 0.000169874
8 2925238220.000000 173.888500 0.000169874
9 2925238300.000000 174.004000 0.000169815
10 2925238380.000000 174.121000 0.000169815
11 2925238460.000000 174.236000 0.000169785
12 2925238540.000000 174.350500 0.000169725
13 2925238620.000000 174.466000 0.000169785
14 2925238700.000000 174.580000 0.000169666
15 2925238780.000000 174.696000 0.000169785
16 2925238860.000000 174.813000 0.000169785
17 2925238940.000000 174.926000 0.000169815
18 2925239020.000000 175.040000 0.000169964
19 2925239100.000000 175.159000 0.000169964
20 2925239180.000000 175.273000 0.000169993
21 2925239260.000000 175.388500 0.000169934
22 2925239340.000000 175.503500 0.000169934
23 2925239420.000000 175.617500 0.000169904
24 2925239500.000000 175.731500 0.000169904
25 2925239580.000000 175.849000 0.000169904
26 2925239660.000000 175.962000 0.000169666
27 2925239740.000000 176.078500 0.000169666
28 2925239820.000000 176.195500 0.000169755
29 2925239900.000000 176.309000 0.000169666
30 2925239980.000000 176.426500 0.000169755
31 2925240060.000000 176.542500 0.000169606
32 2925240140.000000 176.661000 0.000169695
33 2925240220.000000 176.774000 0.000169517
34 2925240300.000000 176.893000 0.000169546
35 2925240380.000000 177.008500 0.000169606
36 2925240460.000000 177.122000 0.000169606
37 2925240540.000000 177.240500 0.000169725
38 2925240620.000000 177.355500 0.000169636
39 2925240700.000000 177.471000 0.000169606
40 2925240780.000000 177.584500 0.000169606
41 2925240860.000000 177.701500 0.000169338
42 2925240940.000000 177.815000 0.000169368
43 2925241020.000000 177.934500 0.000169427
44 2925241100.000000 178.045500 0.000169427
45 2925241180.000000 178.163500 0.000169427
46 2925241260.000000 178.279000 0.000169546
47 2925241340.000000 178.392000 0.000169546
48 2925241420.000000 178.506000 0.000169427
49 2925241500.000000 178.620500 0.000169487
50 2925241581.000000 178.737000 0.000169487
51 2925241660.000000 178.852500 0.000169427
52 2925241740.000000 178.970000 0.000169397
53 2925241820.000000 179.083000 0.000169308
54 2925241900.000000 179.199500 0.000169457
55 2925241980.000000 179.313000 0.000169546
56 2925242060.000000 179.427500 0.000169517
57 2925242140.000000 179.542000 0.000169517
58 2925242220.000000 179.657000 0.000169397
59 2925242300.000000 179.772500 0.000169278
60 2925242380.000000 179.885500 0.000169189
61 2925242460.000000 180.003500 0.000169219
62 2925242540.000000 180.114500 0.000169278
63 2925242620.000000 180.232500 0.000169368
64 2925242700.000000 180.347500 0.000169368
65 2925242780.000000 180.464000 0.000169427
66 2925242860.000000 180.577000 0.000169427
67 2925242940.000000 180.694500 0.000169397
68 2925243020.000000 180.809000 0.000169278
69 2925243100.000000 180.923000 0.000169278
70 2925243180.000000 181.039500 0.000169219
71 2925243260.000000 181.155500 0.000169338
