#  SAMPLE
FTS 95 GHz source w/rectangular feedhorn and 95 GHz diode detector w/ 
higher gain round feedhorn w/circ-rect waveguide converter

 Y pol measurements of 15-02-01 15/40 double sided BOPP


another test, after motor not responding; just pushed red reset button on stepper driver
again, this time wiggled/tightened RS-232 cables

Testing for polarization, aligning y-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 3426861920.000000 168.018500 0.000190915
1 3426862000.000000 168.161500 0.000190944
2 3426862080.000000 168.312000 0.000190855
3 3426862160.000000 168.458000 0.000190855
4 3426862240.000000 168.614000 0.000190915
5 3426862320.000000 168.769000 0.000190915
6 3426862400.000000 168.923000 0.000191064
7 3426862480.000000 169.075500 0.000191093
8 3426862560.000000 169.230000 0.000191004
9 3426862640.000000 169.386000 0.000191034
10 3426862720.000000 169.543000 0.000190944
11 3426862800.000000 169.693500 0.000190915
12 3426862880.000000 169.850500 0.000190825
13 3426862960.000000 170.005000 0.000190795
14 3426863040.000000 170.158000 0.000190825
15 3426863120.000000 170.314500 0.000190825
16 3426863200.000000 170.469000 0.000190944
17 3426863280.000000 170.623000 0.000190944
18 3426863360.000000 170.779500 0.000190885
19 3426863440.000000 170.932000 0.000190915
20 3426863520.000000 171.090000 0.000190915
21 3426863600.000000 171.245500 0.000190855
22 3426863680.000000 171.400500 0.000190795
23 3426863760.000000 171.558500 0.000190795
24 3426863840.000000 171.712500 0.000190676
25 3426863920.000000 171.867500 0.000190706
26 3426864000.000000 172.023500 0.000190825
27 3426864080.000000 172.182500 0.000190825
28 3426864160.000000 172.335000 0.000190855
29 3426864240.000000 172.487000 0.000190795
30 3426864320.000000 172.645000 0.000190646
31 3426864400.000000 172.801500 0.000190706
32 3426864480.000000 172.958500 0.000190646
33 3426864560.000000 173.113500 0.000190676
34 3426864640.000000 173.266000 0.000190646
