# # SAMPLE
FTS 95 GHz source w/rect feedhorn and 95 GHz diode detector w/ 
circular feedhorn and circ - rect transition; 
95 GHz source does NOT have bandpass filter

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with x-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 4052761900.000000 168.006500 0.000205548
1 4052761980.000000 168.158000 0.000205548
2 4052762060.000000 168.313000 0.000205548
3 4052762140.000000 168.465000 0.000205548
4 4052762220.000000 168.621500 0.000205637
5 4052762300.000000 168.778000 0.000205697
6 4052762380.000000 168.930000 0.000205726
7 4052762460.000000 169.086500 0.000205667
8 4052762540.000000 169.242500 0.000205577
9 4052762620.000000 169.395000 0.000205637
10 4052762700.000000 169.550500 0.000205548
11 4052762780.000000 169.704500 0.000205548
12 4052762860.000000 169.859000 0.000205488
13 4052762940.000000 170.013000 0.000205518
14 4052763020.000000 170.169000 0.000205518
15 4052763100.000000 170.323000 0.000205577
16 4052763180.000000 170.478000 0.000205667
17 4052763260.000000 170.635000 0.000205667
18 4052763340.000000 170.789500 0.000205518
19 4052763420.000000 170.941000 0.000205548
20 4052763500.000000 171.099500 0.000205458
21 4052763580.000000 171.253500 0.000205518
22 4052763660.000000 171.412000 0.000205458
23 4052763740.000000 171.569000 0.000205518
24 4052763820.000000 171.721500 0.000205458
25 4052763900.000000 171.881000 0.000205548
26 4052763980.000000 172.034500 0.000205577
27 4052764060.000000 172.184500 0.000205607
28 4052764140.000000 172.340500 0.000205518
29 4052764220.000000 172.496000 0.000205399
30 4052764300.000000 172.655000 0.000205399
31 4052764380.000000 172.809000 0.000205488
32 4052764460.000000 172.963500 0.000205518
33 4052764540.000000 173.120500 0.000205548
34 4052764620.000000 173.274500 0.000205518
35 4052764700.000000 173.430500 0.000205548
36 4052764780.000000 173.582000 0.000205548
37 4052764860.000000 173.737500 0.000205548
38 4052764940.000000 173.894500 0.000205428
39 4052765020.000000 174.049000 0.000205399
40 4052765100.000000 174.203500 0.000205369
41 4052765180.000000 174.358500 0.000205458
42 4052765260.000000 174.515000 0.000205428
43 4052765340.000000 174.671000 0.000205577
44 4052765420.000000 174.823500 0.000205488
45 4052765500.000000 174.980000 0.000205518
46 4052765580.000000 175.134000 0.000205488
47 4052765660.000000 175.288000 0.000205458
48 4052765740.000000 175.444500 0.000205399
49 4052765820.000000 175.597500 0.000205399
50 4052765900.000000 175.752500 0.000205399
51 4052765980.000000 175.909000 0.000205428
52 4052766060.000000 176.061500 0.000205428
53 4052766140.000000 176.219500 0.000205548
54 4052766220.000000 176.374000 0.000205488
55 4052766300.000000 176.528500 0.000205458
56 4052766380.000000 176.686000 0.000205399
57 4052766460.000000 176.842000 0.000205309
58 4052766540.000000 176.996500 0.000205279
59 4052766620.000000 177.154000 0.000205279
60 4052766700.000000 177.305000 0.000205339
