# #  SAMPLE
FTS 95 GHz source w/rect feedhorn and 95 GHz diode detector w/ 
circular feedhorn and circ - rect transition; 
95 GHz source does NOT have bandpass filter

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with x-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 4055239903.000000 168.007500 0.000200362
1 4055239980.000000 168.159500 0.000200362
2 4055240060.000000 168.312000 0.000200362
3 4055240140.000000 168.460000 0.000200332
4 4055240220.000000 168.611500 0.000200392
5 4055240300.000000 168.759500 0.000200511
6 4055240380.000000 168.910000 0.0002006
7 4055240460.000000 169.069000 0.000200541
8 4055240540.000000 169.222500 0.000200511
9 4055240620.000000 169.376500 0.000200422
10 4055240700.000000 169.530500 0.000200332
11 4055240780.000000 169.684000 0.000200302
12 4055240860.000000 169.837000 0.000200302
13 4055240940.000000 169.991500 0.000200302
14 4055241020.000000 170.147500 0.000200362
15 4055241100.000000 170.303500 0.000200392
16 4055241180.000000 170.455500 0.000200481
17 4055241260.000000 170.613000 0.000200451
18 4055241340.000000 170.767000 0.000200451
19 4055241420.000000 170.918500 0.000200243
20 4055241500.000000 171.076000 0.000200332
21 4055241580.000000 171.234500 0.000200273
22 4055241660.000000 171.390000 0.000200243
23 4055241740.000000 171.545500 0.000200243
24 4055241820.000000 171.701500 0.000200332
25 4055241900.000000 171.855500 0.000200362
26 4055241980.000000 172.010000 0.000200362
27 4055242060.000000 172.169500 0.000200511
28 4055242140.000000 172.321000 0.000200332
29 4055242220.000000 172.477500 0.000200153
30 4055242300.000000 172.637000 0.000200153
31 4055242380.000000 172.792000 0.000200213
32 4055242460.000000 172.946500 0.000200213
33 4055242540.000000 173.101500 0.000200183
34 4055242620.000000 173.256000 0.000200302
35 4055242700.000000 173.410500 0.000200213
36 4055242780.000000 173.564000 0.000200243
37 4055242860.000000 173.720000 0.000200332
38 4055242940.000000 173.874500 0.000200302
39 4055243020.000000 174.029500 0.000200183
40 4055243100.000000 174.186000 0.000200153
41 4055243180.000000 174.340000 0.000200153
42 4055243260.000000 174.496000 0.000200213
43 4055243340.000000 174.652000 0.000200183
44 4055243420.000000 174.803500 0.000200332
45 4055243500.000000 174.960000 0.000200273
46 4055243580.000000 175.112000 0.000200183
47 4055243660.000000 175.266500 0.000200213
48 4055243740.000000 175.424000 0.000200243
49 4055243820.000000 175.576000 0.000200183
50 4055243900.000000 175.731500 0.000200094
51 4055243980.000000 175.890000 0.000200153
52 4055244060.000000 176.044000 0.000200153
53 4055244140.000000 176.197000 0.000200183
54 4055244220.000000 176.352500 0.000200302
55 4055244300.000000 176.508000 0.000200183
56 4055244380.000000 176.665500 0.000200064
57 4055244460.000000 176.819000 0.000200153
58 4055244540.000000 176.975500 0.000200153
59 4055244620.000000 177.131500 0.000200124
60 4055244700.000000 177.286500 0.000200094
