# # SAMPLE
FTS 95 GHz source w/rect feedhorn and 95 GHz diode detector w/ 
circular feedhorn and circ - rect transition; 
95 GHz source does NOT have bandpass filter

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with y-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 4050987260.000000 168.007000 0.000192822
1 4050987340.000000 168.156500 0.000192733
2 4050987420.000000 168.307000 0.000192762
3 4050987500.000000 168.457500 0.000192762
4 4050987580.000000 168.613500 0.000192882
5 4050987660.000000 168.766500 0.000192882
6 4050987740.000000 168.922000 0.000192911
7 4050987820.000000 169.080000 0.000192882
8 4050987900.000000 169.230500 0.000192911
9 4050987980.000000 169.387000 0.000192852
10 4050988060.000000 169.543500 0.000192792
11 4050988140.000000 169.697500 0.000192703
12 4050988220.000000 169.851000 0.000192733
13 4050988300.000000 170.005500 0.000192792
14 4050988380.000000 170.160000 0.000192792
15 4050988460.000000 170.314000 0.000192911
16 4050988540.000000 170.467500 0.000192882
17 4050988620.000000 170.626000 0.000192792
18 4050988700.000000 170.778000 0.000192852
19 4050988780.000000 170.933000 0.000192762
20 4050988860.000000 171.091000 0.000192733
21 4050988940.000000 171.245000 0.000192673
22 4050989020.000000 171.403000 0.000192703
23 4050989100.000000 171.561000 0.000192673
24 4050989180.000000 171.714000 0.000192643
25 4050989260.000000 171.872500 0.000192792
26 4050989340.000000 172.025500 0.000192792
27 4050989420.000000 172.181500 0.000192762
28 4050989500.000000 172.338000 0.000192733
29 4050989580.000000 172.490500 0.000192703
30 4050989660.000000 172.648000 0.000192584
31 4050989740.000000 172.804500 0.000192643
32 4050989820.000000 172.958500 0.000192733
33 4050989900.000000 173.114500 0.000192703
34 4050989980.000000 173.269000 0.000192673
35 4050990060.000000 173.422500 0.000192703
36 4050990140.000000 173.578000 0.000192703
37 4050990220.000000 173.733500 0.000192643
38 4050990300.000000 173.888000 0.000192643
39 4050990380.000000 174.041500 0.000192703
40 4050990460.000000 174.199500 0.000192584
41 4050990540.000000 174.369000 0.000192584
42 4050990620.000000 174.517000 0.000192703
43 4050990700.000000 174.668500 0.000192703
44 4050990780.000000 174.818500 0.000192673
45 4050990860.000000 174.975000 0.000192703
46 4050990940.000000 175.126500 0.000192673
47 4050991020.000000 175.283500 0.000192613
48 4050991100.000000 175.439000 0.000192643
49 4050991180.000000 175.594500 0.000192643
50 4050991260.000000 175.745000 0.000192554
51 4050991340.000000 175.898500 0.000192524
52 4050991420.000000 176.054000 0.000192584
53 4050991500.000000 176.211000 0.000192643
54 4050991580.000000 176.367500 0.000192643
55 4050991660.000000 176.519500 0.000192613
56 4050991740.000000 176.677500 0.000192584
57 4050991820.000000 176.834000 0.000192494
58 4050991900.000000 176.988500 0.000192584
59 4050991980.000000 177.143000 0.000192554
60 4050992060.000000 177.299000 0.000192494
