# # SAMPLE 
FTS 150 GHz source w/circula4 feedhorn and 150 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; 

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with x-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 460073964.000000 168.016500 0.00020066
1 460074040.000000 168.157000 0.00020063
2 460074120.000000 168.308000 0.0002006
3 460074200.000000 168.464000 0.0002006
4 460074280.000000 168.615500 0.0002006
5 460074360.000000 168.765500 0.00020072
6 460074440.000000 168.913000 0.00020063
7 460074520.000000 169.068500 0.00020072
8 460074600.000000 169.222000 0.00020072
9 460074680.000000 169.377000 0.000200571
10 460074760.000000 169.544500 0.000200511
11 460074840.000000 169.690500 0.00020063
12 460074920.000000 169.842500 0.00020063
13 460075000.000000 169.995000 0.0002006
14 460075080.000000 170.150500 0.000200541
15 460075160.000000 170.306500 0.000200571
16 460075240.000000 170.459500 0.000200511
17 460075320.000000 170.622000 0.0002006
18 460075400.000000 170.765500 0.00020063
19 460075480.000000 170.920500 0.0002006
20 460075560.000000 171.078000 0.0002006
21 460075640.000000 171.234000 0.000200511
22 460075720.000000 171.393000 0.0002006
23 460075800.000000 171.547000 0.0002006
24 460075880.000000 171.702500 0.0002006
25 460075960.000000 171.858000 0.00020063
26 460076040.000000 172.011000 0.000200511
27 460076120.000000 172.168500 0.000200571
28 460076200.000000 172.324500 0.000200511
29 460076280.000000 172.477500 0.000200571
30 460076360.000000 172.634000 0.00020063
31 460076440.000000 172.791500 0.0002006
32 460076520.000000 172.951000 0.00020066
33 460076600.000000 173.101500 0.000200451
34 460076680.000000 173.252000 0.000200392
35 460076760.000000 173.409000 0.000200481
36 460076840.000000 173.564000 0.000200511
37 460076920.000000 173.719000 0.000200571
38 460077000.000000 173.871500 0.0002006
39 460077080.000000 174.027500 0.00020069
40 460077160.000000 174.185500 0.000200571
41 460077240.000000 174.340500 0.000200511
42 460077320.000000 174.493500 0.000200511
43 460077400.000000 174.650000 0.0002006
44 460077480.000000 174.802000 0.0002006
45 460077560.000000 174.959000 0.000200749
46 460077640.000000 175.114500 0.0002006
47 460077720.000000 175.266500 0.000200571
48 460077800.000000 175.423500 0.00020063
49 460077880.000000 175.580000 0.0002006
50 460077960.000000 175.732500 0.00020066
51 460078040.000000 175.889500 0.00020072
52 460078120.000000 176.041500 0.00020066
53 460078200.000000 176.199000 0.0002006
54 460078280.000000 176.356000 0.00020063
55 460078360.000000 176.511500 0.00020063
56 460078440.000000 176.666500 0.000200481
57 460078520.000000 176.822000 0.000200541
58 460078600.000000 176.979500 0.0002006
59 460078680.000000 177.133000 0.00020072
60 460078760.000000 177.288500 0.00020066
61 460078840.000000 177.444000 0.00020066
62 460078920.000000 177.599500 0.000200571
63 460079000.000000 177.757500 0.000200571
64 460079080.000000 177.910500 0.00020063
