# # SAMPLE - one arm scans
FTS 95 GHz source w/circula4 feedhorn and 95 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; 

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with x-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 391040101.000000 168.014500 0.000123502
1 391040180.000000 168.154000 0.000123442
2 391040260.000000 168.308000 0.000123472
3 391040340.000000 168.455500 0.000123532
4 391040420.000000 168.606500 0.000123502
5 391040500.000000 168.762500 0.000123502
6 391040580.000000 168.916000 0.000123502
7 391040660.000000 169.073500 0.000123502
8 391040740.000000 169.226000 0.000123472
9 391040820.000000 169.381000 0.000123502
10 391040900.000000 169.533500 0.000123472
11 391040980.000000 169.688500 0.000123502
12 391041060.000000 169.844500 0.000123502
13 391041140.000000 169.999000 0.000123532
14 391041220.000000 170.152500 0.000123532
15 391041300.000000 170.309000 0.000123502
16 391041380.000000 170.463000 0.000123561
17 391041460.000000 170.619500 0.000123502
18 391041540.000000 170.771500 0.000123532
19 391041620.000000 170.928000 0.000123532
20 391041700.000000 171.082000 0.000123472
21 391041780.000000 171.238000 0.000123442
22 391041860.000000 171.397500 0.000123442
23 391041940.000000 171.551500 0.000123502
24 391042020.000000 171.706500 0.000123472
25 391042100.000000 171.864500 0.000123472
26 391042180.000000 172.017000 0.000123561
27 391042260.000000 172.174500 0.000123502
28 391042340.000000 172.330000 0.000123532
29 391042420.000000 172.483500 0.000123532
30 391042500.000000 172.642000 0.000123502
31 391042580.000000 172.797500 0.000123472
32 391042660.000000 172.953500 0.000123502
33 391042740.000000 173.107000 0.000123561
34 391042820.000000 173.262000 0.000123532
35 391042900.000000 173.416000 0.000123532
36 391042980.000000 173.571000 0.000123532
37 391043060.000000 173.726000 0.000123561
38 391043140.000000 173.879000 0.000123532
39 391043220.000000 174.033500 0.000123591
40 391043300.000000 174.187500 0.000123561
41 391043380.000000 174.344500 0.000123561
42 391043460.000000 174.499500 0.000123502
43 391043540.000000 174.655000 0.000123502
44 391043620.000000 174.808000 0.000123532
45 391043700.000000 174.964000 0.000123621
46 391043780.000000 175.121000 0.000123621
47 391043860.000000 175.272500 0.000123532
48 391043940.000000 175.427500 0.000123621
49 391044020.000000 175.584500 0.000123561
50 391044100.000000 175.741000 0.000123621
51 391044180.000000 175.894000 0.000123621
52 391044260.000000 176.045000 0.000123591
53 391044340.000000 176.202500 0.000123621
54 391044420.000000 176.361000 0.000123651
55 391044500.000000 176.515500 0.00012374
56 391044580.000000 176.669500 0.00012374
57 391044660.000000 176.824000 0.000123681
58 391044740.000000 176.978000 0.000123621
59 391044820.000000 177.138000 0.000123532
60 391044900.000000 177.291000 0.000123591
61 391044980.000000 177.449500 0.000123621
62 391045060.000000 177.601000 0.000123621
63 391045140.000000 177.759500 0.000123621
