# #NO SAMPLE
FTS 95 GHz source w/circula4 feedhorn and 95 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; 

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with x-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 397689000.000000 168.014500 0.000182451
1 397689080.000000 168.168000 0.000182361
2 397689160.000000 168.321000 0.000182302
3 397689240.000000 168.475500 0.000182391
4 397689320.000000 168.630000 0.000182481
5 397689400.000000 168.787000 0.00018257
6 397689480.000000 168.939500 0.00018257
7 397689560.000000 169.095500 0.00018257
8 397689640.000000 169.250000 0.0001826
9 397689720.000000 169.403000 0.00018251
10 397689800.000000 169.559000 0.000182481
11 397689880.000000 169.713500 0.000182421
12 397689960.000000 169.868000 0.000182361
13 397690040.000000 170.022000 0.000182481
14 397690120.000000 170.177500 0.00018263
15 397690200.000000 170.332500 0.000182659
16 397690280.000000 170.486000 0.000182659
17 397690360.000000 170.642000 0.00018263
18 397690440.000000 170.795500 0.0001826
19 397690520.000000 170.950000 0.00018251
20 397690600.000000 171.107500 0.000182481
21 397690680.000000 171.262000 0.00018254
22 397690760.000000 171.420000 0.000182481
23 397690840.000000 171.577000 0.000182481
24 397690920.000000 171.730000 0.00018254
25 397691000.000000 171.888000 0.00018257
26 397691080.000000 172.042500 0.000182659
27 397691160.000000 172.195500 0.00018263
28 397691240.000000 172.353000 0.00018257
29 397691320.000000 172.509000 0.000182481
30 397691400.000000 172.664000 0.000182481
31 397691480.000000 172.820000 0.000182481
32 397691560.000000 172.973000 0.00018257
33 397691640.000000 173.132000 0.00018257
34 397691720.000000 173.283500 0.00018257
35 397691800.000000 173.439500 0.000182659
36 397691880.000000 173.595000 0.00018263
37 397691960.000000 173.746000 0.0001826
38 397692040.000000 173.903500 0.00018257
39 397692120.000000 174.060000 0.00018251
40 397692200.000000 174.214500 0.000182451
41 397692280.000000 174.368500 0.000182481
42 397692360.000000 174.521000 0.00018257
43 397692440.000000 174.679000 0.00018263
44 397692520.000000 174.834500 0.000182749
45 397692600.000000 174.987000 0.000182689
46 397692680.000000 175.142000 0.00018263
47 397692760.000000 175.296500 0.0001826
48 397692840.000000 175.451000 0.00018263
49 397692920.000000 175.606500 0.00018263
50 397693000.000000 175.759500 0.0001826
51 397693080.000000 175.915500 0.00018263
52 397693160.000000 176.071500 0.000182659
53 397693240.000000 176.228000 0.000182689
54 397693320.000000 176.384500 0.000182749
55 397693400.000000 176.536500 0.000182659
56 397693480.000000 176.695500 0.000182659
57 397693560.000000 176.848500 0.0001826
58 397693640.000000 177.005000 0.00018257
59 397693720.000000 177.162000 0.0001826
60 397693800.000000 177.313500 0.00018263
61 397693880.000000 177.472000 0.0001826
62 397693960.000000 177.627000 0.000182659
63 397694040.000000 177.782000 0.000182719
