# #NO  SAMPLE - One Arm Scans
FTS 95 GHz source w/circula4 feedhorn and 95 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; 

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with y-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 381892540.000000 168.009500 0.000116617
1 381892620.000000 168.155000 0.000116647
2 381892700.000000 168.310500 0.000116587
3 381892781.000000 168.464000 0.000116677
4 381892860.000000 168.617500 0.000116647
5 381892940.000000 168.772500 0.000116587
6 381893020.000000 168.927500 0.000116617
7 381893100.000000 169.081500 0.000116617
8 381893180.000000 169.235500 0.000116647
9 381893260.000000 169.391500 0.000116617
10 381893340.000000 169.544500 0.000116647
11 381893420.000000 169.698500 0.000116647
12 381893500.000000 169.855500 0.000116647
13 381893580.000000 170.009000 0.000116736
14 381893660.000000 170.162000 0.000116647
15 381893740.000000 170.319000 0.000116677
16 381893820.000000 170.474000 0.000116617
17 381893900.000000 170.627500 0.000116647
18 381893980.000000 170.784500 0.000116677
19 381894060.000000 170.935000 0.000116647
20 381894140.000000 171.093500 0.000116647
21 381894220.000000 171.251000 0.000116617
22 381894300.000000 171.406500 0.000116617
23 381894380.000000 171.562000 0.000116647
24 381894460.000000 171.717500 0.000116647
25 381894540.000000 171.876000 0.000116647
26 381894620.000000 172.026500 0.000116617
27 381894700.000000 172.184000 0.000116647
28 381894780.000000 172.338000 0.000116617
29 381894860.000000 172.493000 0.000116677
30 381894940.000000 172.653500 0.000116617
31 381895020.000000 172.806500 0.000116617
32 381895100.000000 172.961000 0.000116617
33 381895180.000000 173.119500 0.000116647
34 381895260.000000 173.270500 0.000116647
35 381895340.000000 173.427500 0.000116677
36 381895420.000000 173.582500 0.000116677
37 381895500.000000 173.734000 0.000116677
38 381895580.000000 173.891500 0.000116706
39 381895660.000000 174.043000 0.000116677
40 381895740.000000 174.200000 0.000116706
41 381895820.000000 174.357000 0.000116706
42 381895900.000000 174.508500 0.000116766
43 381895980.000000 174.666000 0.000116766
44 381896060.000000 174.817500 0.000116706
45 381896140.000000 174.974000 0.000116796
46 381896220.000000 175.131000 0.000116736
47 381896300.000000 175.283500 0.000116766
48 381896380.000000 175.438000 0.000116736
49 381896460.000000 175.594000 0.000116766
50 381896540.000000 175.748000 0.000116736
51 381896620.000000 175.904500 0.000116736
52 381896700.000000 176.056500 0.000116826
53 381896780.000000 176.215000 0.000116766
54 381896860.000000 176.368500 0.000116766
55 381896940.000000 176.524000 0.000116736
56 381897020.000000 176.682000 0.000116736
57 381897100.000000 176.834500 0.000116766
58 381897180.000000 176.992000 0.000116736
59 381897260.000000 177.149000 0.000116796
60 381897340.000000 177.299000 0.000116796
61 381897420.000000 177.458500 0.000116826
62 381897500.000000 177.614500 0.000116796
63 381897580.000000 177.768500 0.000116766
