# # SAMPLE - One Arm Scans
FTS 95 GHz source w/circula4 feedhorn and 95 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; 

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with y-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 384792980.000000 168.028500 0.000120551
1 384793060.000000 168.177500 0.000120521
2 384793140.000000 168.329500 0.000120581
3 384793220.000000 168.484000 0.000120521
4 384793300.000000 168.635500 0.00012064
5 384793380.000000 168.794000 0.000120581
6 384793460.000000 168.946500 0.000120581
7 384793540.000000 169.104500 0.00012061
8 384793620.000000 169.255500 0.00012064
9 384793700.000000 169.411500 0.000120551
10 384793780.000000 169.569500 0.000120551
11 384793860.000000 169.720000 0.00012064
12 384793940.000000 169.875000 0.000120581
13 384794020.000000 170.026500 0.00012061
14 384794100.000000 170.182000 0.00012064
15 384794180.000000 170.339500 0.00012061
16 384794260.000000 170.491500 0.00012067
17 384794340.000000 170.646000 0.00012067
18 384794420.000000 170.799000 0.00012061
19 384794500.000000 170.954500 0.00012061
20 384794580.000000 171.112500 0.000120581
21 384794660.000000 171.269500 0.00012064
22 384794740.000000 171.424000 0.00012064
23 384794820.000000 171.582000 0.00012067
24 384794900.000000 171.737000 0.00012064
25 384794980.000000 171.893000 0.00012064
26 384795060.000000 172.047500 0.00012064
27 384795140.000000 172.200000 0.00012067
28 384795220.000000 172.357500 0.00012067
29 384795300.000000 172.513000 0.00012064
30 384795380.000000 172.671500 0.00012064
31 384795460.000000 172.825000 0.00012064
32 384795540.000000 172.980500 0.00012061
33 384795620.000000 173.137500 0.00012061
34 384795700.000000 173.289000 0.00012067
35 384795780.000000 173.445500 0.00012064
36 384795860.000000 173.601500 0.00012064
37 384795940.000000 173.752000 0.00012067
38 384796020.000000 173.909500 0.00012067
39 384796100.000000 174.065500 0.00012064
40 384796180.000000 174.219500 0.00012067
41 384796260.000000 174.376000 0.00012067
42 384796340.000000 174.530500 0.00012064
43 384796420.000000 174.685000 0.00012067
44 384796500.000000 174.840500 0.00012064
45 384796580.000000 174.996000 0.0001207
46 384796660.000000 175.151000 0.00012073
47 384796740.000000 175.304000 0.00012067
48 384796820.000000 175.459000 0.0001207
49 384796900.000000 175.614500 0.00012064
50 384796980.000000 175.768000 0.00012067
51 384797060.000000 175.923000 0.00012073
52 384797140.000000 176.078500 0.00012067
53 384797220.000000 176.236000 0.00012073
54 384797300.000000 176.390000 0.0001207
55 384797380.000000 176.543000 0.000120759
56 384797460.000000 176.699000 0.0001207
57 384797540.000000 176.856000 0.00012064
58 384797620.000000 177.012500 0.00012067
59 384797700.000000 177.167500 0.0001207
60 384797780.000000 177.319500 0.0001207
61 384797860.000000 177.478500 0.0001207
62 384797940.000000 177.631000 0.000120789
63 384798020.000000 177.786500 0.00012073
