# #NO SAMPLE
FTS 95 GHz source w/circula4 feedhorn and 95 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; 

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with y-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 388303480.000000 168.016000 0.000180692
1 388303560.000000 168.161000 0.000180633
2 388303640.000000 168.324500 0.000180633
3 388303720.000000 168.475500 0.000180633
4 388303800.000000 168.623500 0.000180722
5 388303880.000000 168.761000 0.000180812
6 388303960.000000 168.916000 0.000180782
7 388304040.000000 169.072500 0.000180871
8 388304120.000000 169.226500 0.000180841
9 388304200.000000 169.383000 0.000180812
10 388304280.000000 169.536000 0.000180752
11 388304360.000000 169.690500 0.000180692
12 388304440.000000 169.847000 0.000180663
13 388304520.000000 170.000500 0.000180633
14 388304600.000000 170.153500 0.000180722
15 388304680.000000 170.309500 0.000180841
16 388304760.000000 170.463500 0.000180871
17 388304840.000000 170.620000 0.000180841
18 388304920.000000 170.772000 0.000180901
19 388305000.000000 170.927000 0.000180782
20 388305080.000000 171.085500 0.000180752
21 388305160.000000 171.241000 0.000180722
22 388305240.000000 171.396000 0.000180752
23 388305320.000000 171.553500 0.000180722
24 388305400.000000 171.710500 0.000180812
25 388305480.000000 171.866000 0.000180871
26 388305560.000000 172.019500 0.000180901
27 388305640.000000 172.174500 0.000180931
28 388305720.000000 172.330500 0.000180871
29 388305800.000000 172.485500 0.000180871
30 388305880.000000 172.644500 0.000180782
31 388305960.000000 172.797000 0.000180782
32 388306040.000000 172.955500 0.000180841
33 388306120.000000 173.107000 0.000180871
34 388306200.000000 173.261500 0.000180931
35 388306280.000000 173.420000 0.00018099
36 388306360.000000 173.570500 0.000180961
37 388306440.000000 173.725000 0.000180931
38 388306520.000000 173.882000 0.000180871
39 388306600.000000 174.039000 0.000180871
40 388306680.000000 174.193500 0.000180812
41 388306760.000000 174.349000 0.000180782
42 388306840.000000 174.504000 0.000180871
43 388306920.000000 174.658000 0.000180931
44 388307000.000000 174.812500 0.000180961
45 388307080.000000 174.969000 0.000180961
46 388307160.000000 175.122000 0.000180961
47 388307240.000000 175.277000 0.000180961
48 388307320.000000 175.434000 0.000180961
49 388307400.000000 175.587500 0.00018102
50 388307480.000000 175.741500 0.000180961
51 388307560.000000 175.900500 0.00018102
52 388307640.000000 176.050000 0.00018108
53 388307720.000000 176.205000 0.00018105
54 388307800.000000 176.362500 0.00018105
55 388307880.000000 176.517500 0.000180931
56 388307960.000000 176.673000 0.00018102
57 388308040.000000 176.826000 0.000180961
58 388308120.000000 176.985500 0.000180931
59 388308200.000000 177.141000 0.000180871
60 388308280.000000 177.293500 0.000180901
61 388308360.000000 177.450000 0.000180931
62 388308440.000000 177.605000 0.00018102
63 388308520.000000 177.764000 0.00018105
