# # NO SAMPLE
FTS 95 GHz source w/circula4 feedhorn and 95 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; 

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with y-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 389398740.000000 168.021000 0.000180901
1 389398820.000000 168.174000 0.000180782
2 389398900.000000 168.331000 0.000180752
3 389398980.000000 168.483000 0.000180871
4 389399060.000000 168.639500 0.000180931
5 389399140.000000 168.792000 0.00018102
6 389399220.000000 168.947500 0.00018105
7 389399300.000000 169.105000 0.00018105
8 389399380.000000 169.257000 0.000180931
9 389399460.000000 169.412000 0.000180871
10 389399540.000000 169.567500 0.000180901
11 389399620.000000 169.719000 0.000180782
12 389399700.000000 169.875500 0.000180782
13 389399780.000000 170.031000 0.000180812
14 389399860.000000 170.181500 0.000180931
15 389399940.000000 170.340000 0.00018102
16 389400020.000000 170.495500 0.00018111
17 389400100.000000 170.647500 0.00018108
18 389400180.000000 170.801500 0.00018102
19 389400260.000000 170.955000 0.000180931
20 389400340.000000 171.113000 0.000180871
21 389400420.000000 171.270000 0.000180931
22 389400500.000000 171.425000 0.000180871
23 389400580.000000 171.580500 0.000180901
24 389400660.000000 171.737500 0.00018102
25 389400740.000000 171.896500 0.00018108
26 389400820.000000 172.048000 0.00018111
27 389400900.000000 172.204000 0.000180961
28 389400980.000000 172.358500 0.000180931
29 389401060.000000 172.514500 0.00018102
30 389401140.000000 172.672500 0.000180871
31 389401220.000000 172.824500 0.000180961
32 389401300.000000 172.980500 0.000180961
33 389401380.000000 173.136500 0.000180931
34 389401460.000000 173.291500 0.000180961
35 389401540.000000 173.447000 0.00018099
36 389401620.000000 173.599000 0.00018108
37 389401700.000000 173.755000 0.00018108
38 389401780.000000 173.909000 0.00018102
39 389401860.000000 174.064500 0.000180961
40 389401940.000000 174.221500 0.000180901
41 389402020.000000 174.375000 0.000180931
42 389402100.000000 174.529000 0.00018102
43 389402180.000000 174.687500 0.00018111
44 389402260.000000 174.839000 0.000181139
45 389402340.000000 174.995000 0.00018105
46 389402420.000000 175.153000 0.00018111
47 389402500.000000 175.303500 0.00018105
48 389402580.000000 175.460000 0.00018108
49 389402660.000000 175.617000 0.00018105
50 389402740.000000 175.767000 0.00018105
51 389402820.000000 175.926000 0.000181169
52 389402900.000000 176.082500 0.000181288
53 389402980.000000 176.235500 0.000181288
54 389403060.000000 176.392500 0.000181318
55 389403140.000000 176.548000 0.000181318
56 389403220.000000 176.701500 0.00018111
57 389403301.000000 176.858500 0.00018105
58 389403380.000000 177.015000 0.00018105
59 389403460.000000 177.167500 0.00018099
60 389403540.000000 177.322000 0.00018102
61 389403620.000000 177.478000 0.00018102
62 389403700.000000 177.632000 0.00018108
63 389403780.000000 177.788500 0.000181229
