# # NO SAMPLE
FTS 150 GHz source w/circula4 feedhorn and 150 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; 

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with x-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 648138680.000000 168.017000 0.000141949
1 648138760.000000 168.171000 0.00014189
2 648138840.000000 168.327000 0.000141949
3 648138920.000000 168.478500 0.000142039
4 648139000.000000 168.633000 0.000142158
5 648139080.000000 168.786500 0.000142098
6 648139160.000000 168.940500 0.000142098
7 648139240.000000 169.097500 0.000142128
8 648139320.000000 169.247500 0.000142098
9 648139400.000000 169.404000 0.000142188
10 648139480.000000 169.560500 0.000142098
11 648139560.000000 169.713500 0.000142039
12 648139640.000000 169.870000 0.000141979
13 648139720.000000 170.022000 0.000141949
14 648139800.000000 170.177000 0.00014192
15 648139880.000000 170.334000 0.000141949
16 648139960.000000 170.486500 0.00014192
17 648140040.000000 170.642000 0.000141949
18 648140120.000000 170.798000 0.000141979
19 648140200.000000 170.950000 0.00014192
20 648140280.000000 171.108000 0.00014189
21 648140360.000000 171.265000 0.0001418
22 648140440.000000 171.419000 0.0001418
23 648140520.000000 171.577000 0.00014183
24 648140600.000000 171.733000 0.00014189
25 648140680.000000 171.888000 0.0001418
26 648140760.000000 172.042500 0.00014183
27 648140840.000000 172.200500 0.0001418
28 648140920.000000 172.355000 0.00014183
29 648141000.000000 172.510500 0.00014183
30 648141080.000000 172.669000 0.00014183
31 648141160.000000 172.822000 0.00014189
32 648141240.000000 172.979000 0.00014189
33 648141320.000000 173.134000 0.0001418
34 648141400.000000 173.286000 0.00014189
35 648141480.000000 173.442000 0.00014183
36 648141560.000000 173.597000 0.00014192
37 648141640.000000 173.748500 0.00014183
38 648141720.000000 173.906000 0.00014183
39 648141800.000000 174.062000 0.00014183
40 648141880.000000 174.216000 0.000141771
41 648141960.000000 174.371500 0.0001418
42 648142040.000000 174.527000 0.000141771
43 648142120.000000 174.680500 0.000141711
44 648142200.000000 174.836500 0.000141681
45 648142280.000000 174.988000 0.000141681
46 648142360.000000 175.145500 0.000141681
47 648142440.000000 175.300000 0.000141681
48 648142520.000000 175.453000 0.000141651
49 648142600.000000 175.610000 0.000141562
50 648142680.000000 175.763000 0.000141473
51 648142760.000000 175.918500 0.000141502
52 648142840.000000 176.074500 0.000141532
53 648142920.000000 176.231500 0.000141562
54 648143000.000000 176.389500 0.000141532
55 648143080.000000 176.539500 0.000141473
56 648143160.000000 176.695500 0.000141324
57 648143240.000000 176.852000 0.000141204
58 648143320.000000 177.008000 0.000141234
59 648143400.000000 177.164500 0.000141264
60 648143480.000000 177.317500 0.000141175
61 648143560.000000 177.476500 0.000141175
62 648143640.000000 177.630000 0.000141175
63 648143720.000000 177.784500 0.000141264
