# #NO  SAMPLE
FTS 150 GHz source w/circula4 feedhorn and 150 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; 

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with x-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 650115880.000000 168.036500 0.000142098
1 650115960.000000 168.192000 0.000141979
2 650116040.000000 168.349000 0.00014192
3 650116120.000000 168.504000 0.000141949
4 650116200.000000 168.659500 0.00014192
5 650116280.000000 168.815500 0.000141979
6 650116360.000000 168.967000 0.000142039
7 650116440.000000 169.123500 0.000142069
8 650116520.000000 169.278500 0.000142128
9 650116600.000000 169.429500 0.000142128
10 650116680.000000 169.587000 0.000142158
11 650116760.000000 169.741500 0.000142188
12 650116840.000000 169.897000 0.000142069
13 650116920.000000 170.050000 0.000141979
14 650117000.000000 170.204500 0.000141979
15 650117080.000000 170.363000 0.000142098
16 650117160.000000 170.514500 0.000142039
17 650117240.000000 170.669000 0.000142009
18 650117320.000000 170.825500 0.000142039
19 650117400.000000 170.978500 0.000142069
20 650117480.000000 171.133500 0.000141979
21 650117560.000000 171.289500 0.000141979
22 650117640.000000 171.445500 0.000141949
23 650117720.000000 171.604500 0.000142039
24 650117800.000000 171.757500 0.000141949
25 650117880.000000 171.914000 0.000141949
26 650117960.000000 172.067500 0.000141949
27 650118040.000000 172.222500 0.000141949
28 650118120.000000 172.381000 0.000141979
29 650118200.000000 172.534000 0.00014192
30 650118280.000000 172.691500 0.000141949
31 650118360.000000 172.847500 0.00014192
32 650118440.000000 173.001500 0.00014192
33 650118520.000000 173.156500 0.00014192
34 650118600.000000 173.310500 0.00014189
35 650118680.000000 173.466000 0.000141949
36 650118760.000000 173.621000 0.00014189
37 650118840.000000 173.773000 0.00014186
38 650118920.000000 173.931000 0.00014183
39 650119000.000000 174.086000 0.0001418
40 650119080.000000 174.239500 0.00014183
41 650119160.000000 174.396000 0.000141771
42 650119240.000000 174.550000 0.0001418
43 650119320.000000 174.704500 0.000141771
44 650119400.000000 174.860500 0.000141741
45 650119480.000000 175.014500 0.000141741
46 650119560.000000 175.169000 0.000141681
47 650119640.000000 175.324500 0.000141771
48 650119720.000000 175.481000 0.000141681
49 650119800.000000 175.635000 0.000141502
50 650119880.000000 175.788500 0.000141502
51 650119960.000000 175.946000 0.000141383
52 650120040.000000 176.100500 0.000141532
53 650120120.000000 176.257000 0.000141532
54 650120200.000000 176.411000 0.000141592
55 650120280.000000 176.565500 0.000141562
56 650120360.000000 176.723500 0.000141383
57 650120440.000000 176.877000 0.000141413
58 650120520.000000 177.032500 0.000141473
59 650120600.000000 177.190500 0.000141353
60 650120680.000000 177.344500 0.000141234
61 650120760.000000 177.500000 0.000141115
62 650120840.000000 177.656500 0.000140996
63 650120920.000000 177.809000 0.000140996
