# SAMPLE- ONE ARM SCANS
X-Pol
FTS 150 GHz source w/circula4 feedhorn and 150 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; source has bandpass filter

SAMPLE: 605-606 etalon with a 3" spacing.

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 210.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1595845280.000000 178.013000 9.65302e-005
1 1595845360.000000 178.167500 9.65004e-005
2 1595845440.000000 178.322500 9.64706e-005
3 1595845520.000000 178.479000 9.64706e-005
4 1595845600.000000 178.634000 9.65004e-005
5 1595845680.000000 178.787000 9.64408e-005
6 1595845760.000000 178.943000 9.64408e-005
7 1595845840.000000 179.098500 9.64408e-005
8 1595845920.000000 179.256000 9.656e-005
9 1595846000.000000 179.407500 9.64408e-005
10 1595846080.000000 179.560000 9.65004e-005
11 1595846160.000000 179.716000 9.656e-005
12 1595846240.000000 179.869500 9.656e-005
13 1595846320.000000 180.027500 9.65302e-005
14 1595846400.000000 180.179000 9.64706e-005
15 1595846480.000000 180.336500 9.65004e-005
16 1595846560.000000 180.493000 9.64408e-005
17 1595846640.000000 180.646000 9.64706e-005
18 1595846720.000000 180.799500 9.65004e-005
19 1595846800.000000 180.955500 9.64706e-005
20 1595846880.000000 181.111000 9.656e-005
21 1595846960.000000 181.266000 9.656e-005
22 1595847040.000000 181.422000 9.656e-005
23 1595847120.000000 181.575500 9.65004e-005
24 1595847200.000000 181.734000 9.64706e-005
25 1595847280.000000 181.890000 9.65004e-005
26 1595847360.000000 182.045500 9.656e-005
27 1595847440.000000 182.199000 9.656e-005
28 1595847520.000000 182.356000 9.65302e-005
29 1595847600.000000 182.509000 9.64408e-005
30 1595847680.000000 182.663500 9.65004e-005
31 1595847760.000000 182.822500 9.64408e-005
32 1595847840.000000 182.977500 9.65004e-005
33 1595847920.000000 183.132000 9.65004e-005
34 1595848000.000000 183.290000 9.64408e-005
35 1595848080.000000 183.444500 9.64706e-005
36 1595848160.000000 183.598500 9.64706e-005
37 1595848240.000000 183.754000 9.64408e-005
38 1595848320.000000 183.907500 9.64408e-005
39 1595848400.000000 184.062000 9.64706e-005
40 1595848480.000000 184.218500 9.65302e-005
41 1595848560.000000 184.373500 9.64408e-005
42 1595848640.000000 184.529000 9.65004e-005
43 1595848720.000000 184.680000 9.65004e-005
44 1595848800.000000 184.838000 9.65004e-005
45 1595848880.000000 184.994000 9.65302e-005
46 1595848960.000000 185.148500 9.64706e-005
47 1595849040.000000 185.304000 9.65898e-005
48 1595849120.000000 185.457500 9.65302e-005
49 1595849200.000000 185.612000 9.656e-005
