# NO SAMPLE
X-Pol
FTS 150 GHz source w/circula4 feedhorn and 150 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; source has bandpass filter

SAMPLE: 605-606 etalon with a 3" spacing.

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 210.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1602586262.000000 178.015000 0.000182093
1 1602586340.000000 178.166000 0.000182093
2 1602586420.000000 178.319500 0.000182093
3 1602586500.000000 178.468500 0.000182004
4 1602586580.000000 178.613500 0.000181944
5 1602586660.000000 178.768000 0.000182034
6 1602586740.000000 178.921000 0.000182034
7 1602586820.000000 179.073000 0.000182004
8 1602586900.000000 179.225000 0.000182034
9 1602586980.000000 179.379500 0.000182063
10 1602587060.000000 179.534500 0.000181944
11 1602587140.000000 179.686500 0.000182004
12 1602587220.000000 179.841500 0.000181944
13 1602587300.000000 179.996000 0.000182034
14 1602587380.000000 180.151500 0.000182063
15 1602587460.000000 180.305000 0.000182004
16 1602587540.000000 180.461000 0.000182034
17 1602587620.000000 180.616000 0.000181974
18 1602587700.000000 180.773000 0.000182093
19 1602587780.000000 180.925500 0.000181944
20 1602587860.000000 181.080000 0.000181885
21 1602587940.000000 181.233500 0.000182034
22 1602588020.000000 181.390000 0.000182034
23 1602588100.000000 181.547000 0.000182034
24 1602588180.000000 181.701500 0.000181944
25 1602588260.000000 181.857000 0.000181944
26 1602588340.000000 182.015500 0.000181855
27 1602588420.000000 182.169000 0.000181914
28 1602588500.000000 182.322000 0.000181914
29 1602588580.000000 182.480500 0.000182004
30 1602588660.000000 182.635500 0.000182034
31 1602588740.000000 182.790500 0.000182063
32 1602588820.000000 182.945500 0.000181944
33 1602588900.000000 183.101000 0.000181944
34 1602588980.000000 183.257500 0.000181914
35 1602589060.000000 183.412500 0.000182004
36 1602589140.000000 183.566000 0.000182004
37 1602589220.000000 183.720000 0.000182153
38 1602589300.000000 183.876000 0.000182063
39 1602589380.000000 184.029000 0.000181974
40 1602589460.000000 184.184000 0.000181944
41 1602589540.000000 184.342500 0.000181855
42 1602589620.000000 184.495000 0.000181914
43 1602589700.000000 184.650500 0.000182183
44 1602589780.000000 184.807500 0.000182093
45 1602589860.000000 184.959500 0.000182212
46 1602589940.000000 185.118500 0.000182034
47 1602590020.000000 185.274000 0.000181944
48 1602590100.000000 185.425500 0.000181974
49 1602590180.000000 185.582500 0.000182004
50 1602590260.000000 185.737000 0.000182212
