# NO SAMPLE -- ONE ARM SCAN
Y-Pol
FTS 150 GHz source w/circula4 feedhorn and 150 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; source has bandpass filter

SAMPLE: 605-606 etalon with a 3" spacing.

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 210.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1659305240.000000 178.032000 9.957e-005
1 1659305320.000000 178.186000 9.95998e-005
2 1659305400.000000 178.338000 9.957e-005
3 1659305480.000000 178.495000 9.95998e-005
4 1659305560.000000 178.649000 9.95402e-005
5 1659305640.000000 178.802500 9.96594e-005
6 1659305720.000000 178.957000 9.95998e-005
7 1659305800.000000 179.112500 9.95998e-005
8 1659305880.000000 179.269000 9.957e-005
9 1659305960.000000 179.421000 9.95402e-005
10 1659306040.000000 179.573000 9.95998e-005
11 1659306120.000000 179.729500 9.95998e-005
12 1659306200.000000 179.884000 9.957e-005
13 1659306280.000000 180.039500 9.95402e-005
14 1659306360.000000 180.193500 9.95104e-005
15 1659306440.000000 180.348500 9.95402e-005
16 1659306520.000000 180.505000 9.957e-005
17 1659306600.000000 180.657500 9.95998e-005
18 1659306680.000000 180.813000 9.95998e-005
19 1659306760.000000 180.969000 9.95402e-005
20 1659306840.000000 181.124500 9.95104e-005
21 1659306920.000000 181.278500 9.95402e-005
22 1659307000.000000 181.432500 9.957e-005
23 1659307080.000000 181.589000 9.95402e-005
24 1659307160.000000 181.746500 9.957e-005
25 1659307240.000000 181.900000 9.957e-005
26 1659307320.000000 182.059000 9.94508e-005
27 1659307400.000000 182.214000 9.95104e-005
28 1659307480.000000 182.366500 9.95998e-005
29 1659307560.000000 182.524000 9.95998e-005
30 1659307640.000000 182.679000 9.96296e-005
31 1659307720.000000 182.837000 9.95402e-005
32 1659307800.000000 182.990500 9.96296e-005
33 1659307880.000000 183.145500 9.95402e-005
34 1659307960.000000 183.304500 9.95402e-005
35 1659308040.000000 183.456500 9.95998e-005
36 1659308120.000000 183.612000 9.957e-005
37 1659308200.000000 183.767500 9.96892e-005
38 1659308280.000000 183.918000 9.96594e-005
39 1659308360.000000 184.076500 9.95998e-005
40 1659308440.000000 184.232000 9.96296e-005
41 1659308520.000000 184.387000 9.957e-005
42 1659308600.000000 184.541500 9.96594e-005
43 1659308680.000000 184.696000 9.957e-005
44 1659308760.000000 184.852000 9.9719e-005
45 1659308840.000000 185.006500 9.96296e-005
46 1659308920.000000 185.162500 9.957e-005
47 1659309000.000000 185.317000 9.97488e-005
48 1659309080.000000 185.471500 9.96594e-005
49 1659309160.000000 185.629000 9.97786e-005
50 1659309240.000000 185.782000 9.97488e-005
51 1659309320.000000 185.936500 9.97488e-005
52 1659309400.000000 186.092500 9.97786e-005
53 1659309480.000000 186.245500 9.96892e-005
54 1659309560.000000 186.402500 9.97488e-005
55 1659309640.000000 186.559500 9.96594e-005
56 1659309720.000000 186.711000 9.9719e-005
57 1659309800.000000 186.867500 9.97488e-005
58 1659309880.000000 187.023500 9.96594e-005
59 1659309960.000000 187.179500 9.97488e-005
60 1659310040.000000 187.335000 9.96892e-005
61 1659310120.000000 187.486000 9.98084e-005
62 1659310200.000000 187.644500 9.98382e-005
63 1659310280.000000 187.801500 9.98382e-005
64 1659310360.000000 187.954500 9.98084e-005
65 1659310440.000000 188.110000 9.9719e-005
66 1659310520.000000 188.262500 9.97488e-005
67 1659310600.000000 188.422000 9.97488e-005
68 1659310680.000000 188.576500 9.97786e-005
69 1659310760.000000 188.726000 9.98382e-005
70 1659310840.000000 188.883000 9.97786e-005
71 1659310920.000000 189.038500 9.98382e-005
72 1659311000.000000 189.192500 9.98084e-005
73 1659311080.000000 189.349000 9.98084e-005
74 1659311160.000000 189.504500 9.98382e-005
75 1659311240.000000 189.659000 9.97786e-005
76 1659311320.000000 189.814000 9.98979e-005
77 1659311400.000000 189.970500 9.98979e-005
78 1659311480.000000 190.123500 9.98979e-005
79 1659311560.000000 190.278000 9.9868e-005
80 1659311640.000000 190.436000 9.9868e-005
81 1659311720.000000 190.588500 9.99575e-005
82 1659311800.000000 190.744500 9.9868e-005
83 1659311880.000000 190.898500 9.98382e-005
84 1659311960.000000 191.052000 9.98382e-005
85 1659312040.000000 191.209500 9.98382e-005
86 1659312120.000000 191.363500 9.9868e-005
87 1659312200.000000 191.519500 9.97786e-005
88 1659312280.000000 191.675000 9.99277e-005
89 1659312360.000000 191.829500 9.99277e-005
90 1659312440.000000 191.988000 9.99575e-005
91 1659312520.000000 192.141500 0.000100017
92 1659312600.000000 192.298500 9.99277e-005
93 1659312680.000000 192.453000 9.99575e-005
94 1659312760.000000 192.606500 9.99575e-005
95 1659312840.000000 192.764500 9.99575e-005
96 1659312920.000000 192.921000 0.000100047
97 1659313000.000000 193.073000 9.99873e-005
98 1659313080.000000 193.231500 9.99873e-005
99 1659313160.000000 193.386500 9.99575e-005
100 1659313240.000000 193.541000 0.000100017
101 1659313320.000000 193.698500 0.000100017
102 1659313400.000000 193.850000 9.99575e-005
103 1659313480.000000 194.005000 0.000100017
104 1659313560.000000 194.157500 0.000100106
105 1659313640.000000 194.314500 0.000100077
106 1659313720.000000 194.471000 0.000100136
107 1659313800.000000 194.623000 0.000100255
108 1659313880.000000 194.780000 0.000100196
109 1659313960.000000 194.935500 0.000100166
110 1659314040.000000 195.091000 0.000100226
111 1659314120.000000 195.244500 0.000100166
112 1659314200.000000 195.396500 0.000100226
113 1659314280.000000 195.553000 0.000100226
114 1659314360.000000 195.712500 0.000100196
115 1659314440.000000 195.863500 0.000100196
116 1659314520.000000 196.020000 0.000100196
117 1659314600.000000 196.176000 0.000100226
118 1659314680.000000 196.328500 0.000100255
119 1659314760.000000 196.485000 0.000100196
120 1659314840.000000 196.640000 0.000100285
121 1659314920.000000 196.796000 0.000100315
122 1659315000.000000 196.953000 0.000100315
123 1659315080.000000 197.105000 0.000100375
124 1659315160.000000 197.263500 0.000100255
125 1659315240.000000 197.418000 0.000100315
126 1659315320.000000 197.575000 0.000100285
127 1659315400.000000 197.727500 0.000100315
128 1659315480.000000 197.882000 0.000100255
129 1659315560.000000 198.037500 0.000100285
130 1659315640.000000 198.193000 0.000100315
131 1659315720.000000 198.350000 0.000100285
132 1659315800.000000 198.504000 0.000100434
133 1659315880.000000 198.658500 0.000100345
134 1659315960.000000 198.815500 0.000100375
135 1659316040.000000 198.966500 0.000100345
136 1659316120.000000 199.122000 0.000100315
137 1659316200.000000 199.279500 0.000100404
138 1659316280.000000 199.430500 0.000100375
139 1659316360.000000 199.588500 0.000100375
140 1659316440.000000 199.746000 0.000100375
141 1659316520.000000 199.898500 0.000100345
142 1659316600.000000 200.055500 0.000100434
143 1659316680.000000 200.205000 0.000100285
144 1659316760.000000 200.364000 0.000100375
145 1659316840.000000 200.520000 0.000100345
146 1659316920.000000 200.675000 0.000100375
147 1659317000.000000 200.828500 0.000100494
148 1659317080.000000 200.983500 0.000100434
149 1659317160.000000 201.139000 0.000100464
150 1659317240.000000 201.291500 0.000100375
151 1659317320.000000 201.445500 0.000100375
152 1659317400.000000 201.604000 0.000100375
153 1659317480.000000 201.757000 0.000100345
154 1659317560.000000 201.913000 0.000100375
155 1659317640.000000 202.068000 0.000100524
156 1659317720.000000 202.223500 0.000100404
157 1659317800.000000 202.381500 0.000100494
158 1659317880.000000 202.535000 0.000100434
159 1659317960.000000 202.689500 0.000100464
160 1659318040.000000 202.847000 0.000100434
161 1659318120.000000 203.002500 0.000100404
162 1659318200.000000 203.157000 0.000100404
163 1659318280.000000 203.312500 0.000100404
164 1659318360.000000 203.464500 0.000100464
165 1659318440.000000 203.623000 0.000100404
166 1659318520.000000 203.778500 0.000100524
167 1659318600.000000 203.935000 0.000100494
168 1659318680.000000 204.088500 0.000100494
169 1659318760.000000 204.242500 0.000100494
170 1659318840.000000 204.396000 0.000100434
171 1659318920.000000 204.551000 0.000100434
172 1659319000.000000 204.708000 0.000100434
173 1659319080.000000 204.861500 0.000100404
174 1659319160.000000 205.015000 0.000100404
175 1659319240.000000 205.173500 0.000100404
176 1659319320.000000 205.325000 0.000100434
177 1659319400.000000 205.480000 0.000100375
178 1659319480.000000 205.638000 0.000100434
179 1659319560.000000 205.789000 0.000100404
180 1659319640.000000 205.946000 0.000100375
181 1659319720.000000 206.103500 0.000100375
182 1659319800.000000 206.255000 0.000100315
183 1659319880.000000 206.411500 0.000100375
184 1659319960.000000 206.566500 0.000100375
185 1659320040.000000 206.722500 0.000100226
186 1659320120.000000 206.878000 0.000100375
187 1659320200.000000 207.032500 0.000100315
188 1659320280.000000 207.191000 0.000100285
189 1659320360.000000 207.342500 0.000100226
190 1659320440.000000 207.501000 0.000100255
191 1659320520.000000 207.654500 0.000100255
192 1659320600.000000 207.807500 0.000100196
193 1659320680.000000 207.964500 0.000100226
194 1659320760.000000 208.118000 0.000100136
195 1659320840.000000 208.273000 0.000100196
196 1659320920.000000 208.431000 0.000100255
197 1659321000.000000 208.582500 0.000100136
198 1659321080.000000 208.739500 0.000100166
199 1659321160.000000 208.895500 0.000100136
200 1659321240.000000 209.050000 0.000100166
201 1659321320.000000 209.206000 0.000100136
202 1659321400.000000 209.357000 0.000100136
203 1659321480.000000 209.511500 0.000100136
204 1659321560.000000 209.668500 0.000100136
205 1659321640.000000 209.823000 0.000100166
206 1659321720.000000 209.976500 0.000100196
207 1659321800.000000 210.131000 0.000100047
208 1659321880.000000 210.289500 0.000100136
