# SAMPLE -- ONE ARM SCAN
Y-Pol
FTS 150 GHz source w/circula4 feedhorn and 150 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; source has bandpass filter

SAMPLE: 605-606 etalon with a 3" spacing.

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 210.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1660818360.000000 178.016500 9.45036e-005
1 1660818440.000000 178.170000 9.4444e-005
2 1660818520.000000 178.324000 9.44738e-005
3 1660818600.000000 178.477000 9.45036e-005
4 1660818680.000000 178.633000 9.44738e-005
5 1660818760.000000 178.788500 9.45036e-005
6 1660818840.000000 178.943000 9.45036e-005
7 1660818920.000000 179.097000 9.45334e-005
8 1660819000.000000 179.252000 9.45334e-005
9 1660819080.000000 179.407500 9.45036e-005
10 1660819160.000000 179.563000 9.45036e-005
11 1660819240.000000 179.715500 9.45036e-005
12 1660819320.000000 179.870500 9.44142e-005
13 1660819400.000000 180.025000 9.45334e-005
14 1660819480.000000 180.178000 9.4444e-005
15 1660819560.000000 180.332000 9.45036e-005
16 1660819640.000000 180.489000 9.45334e-005
17 1660819720.000000 180.644000 9.44738e-005
18 1660819800.000000 180.798500 9.44738e-005
19 1660819880.000000 180.952000 9.4593e-005
20 1660819960.000000 181.106500 9.45334e-005
21 1660820040.000000 181.264000 9.45334e-005
22 1660820120.000000 181.419000 9.46228e-005
23 1660820200.000000 181.574000 9.45036e-005
24 1660820280.000000 181.732500 9.45036e-005
25 1660820360.000000 181.885000 9.45334e-005
26 1660820440.000000 182.044000 9.44738e-005
27 1660820520.000000 182.198000 9.45334e-005
28 1660820600.000000 182.352000 9.45334e-005
29 1660820680.000000 182.507500 9.4593e-005
30 1660820760.000000 182.662500 9.4444e-005
31 1660820840.000000 182.818500 9.44738e-005
32 1660820920.000000 182.974000 9.45036e-005
33 1660821000.000000 183.131500 9.45036e-005
34 1660821080.000000 183.286000 9.4444e-005
35 1660821160.000000 183.440500 9.44738e-005
36 1660821240.000000 183.598500 9.45036e-005
37 1660821320.000000 183.749500 9.45334e-005
38 1660821400.000000 183.904000 9.44738e-005
39 1660821480.000000 184.061500 9.44142e-005
40 1660821560.000000 184.215000 9.45334e-005
41 1660821640.000000 184.372000 9.44738e-005
42 1660821720.000000 184.526000 9.45632e-005
43 1660821800.000000 184.678500 9.4444e-005
44 1660821880.000000 184.836500 9.45036e-005
45 1660821960.000000 184.992000 9.45334e-005
46 1660822040.000000 185.145000 9.4444e-005
47 1660822120.000000 185.302500 9.44738e-005
48 1660822200.000000 185.457000 9.45036e-005
49 1660822280.000000 185.612000 9.45334e-005
50 1660822360.000000 185.766500 9.45036e-005
51 1660822440.000000 185.922500 9.45036e-005
52 1660822520.000000 186.075500 9.45632e-005
53 1660822600.000000 186.230000 9.45334e-005
54 1660822680.000000 186.387000 9.4593e-005
55 1660822760.000000 186.542000 9.46228e-005
56 1660822840.000000 186.698000 9.46228e-005
57 1660822920.000000 186.857000 9.46228e-005
58 1660823000.000000 187.008500 9.46228e-005
59 1660823080.000000 187.165000 9.46526e-005
60 1660823160.000000 187.321500 9.46228e-005
61 1660823240.000000 187.473000 9.4742e-005
62 1660823320.000000 187.628500 9.4742e-005
63 1660823400.000000 187.783500 9.4742e-005
64 1660823480.000000 187.942000 9.47122e-005
65 1660823560.000000 188.096500 9.45632e-005
66 1660823640.000000 188.249000 9.4742e-005
67 1660823720.000000 188.404500 9.46526e-005
68 1660823800.000000 188.560000 9.46824e-005
69 1660823880.000000 188.714000 9.48017e-005
70 1660823960.000000 188.869000 9.46824e-005
71 1660824040.000000 189.020000 9.4742e-005
72 1660824120.000000 189.177500 9.4742e-005
73 1660824200.000000 189.334000 9.48315e-005
74 1660824280.000000 189.490000 9.46824e-005
75 1660824360.000000 189.644000 9.46824e-005
76 1660824440.000000 189.797500 9.48315e-005
77 1660824520.000000 189.955500 9.47122e-005
78 1660824600.000000 190.107000 9.4742e-005
79 1660824680.000000 190.261000 9.48017e-005
80 1660824760.000000 190.420000 9.4742e-005
81 1660824840.000000 190.571000 9.48017e-005
82 1660824920.000000 190.728500 9.4742e-005
83 1660825000.000000 190.884500 9.48613e-005
84 1660825080.000000 191.035500 9.48315e-005
85 1660825160.000000 191.195000 9.48613e-005
86 1660825240.000000 191.347000 9.49209e-005
87 1660825320.000000 191.503500 9.48315e-005
88 1660825400.000000 191.661500 9.48911e-005
89 1660825480.000000 191.813500 9.48315e-005
90 1660825560.000000 191.972500 9.48911e-005
91 1660825640.000000 192.129000 9.48911e-005
92 1660825720.000000 192.282000 9.48017e-005
93 1660825800.000000 192.440000 9.48017e-005
94 1660825880.000000 192.591500 9.48017e-005
95 1660825960.000000 192.748500 9.48315e-005
96 1660826040.000000 192.903500 9.49209e-005
97 1660826120.000000 193.058000 9.48017e-005
98 1660826200.000000 193.215000 9.49507e-005
99 1660826280.000000 193.370500 9.49209e-005
100 1660826360.000000 193.525000 9.49209e-005
101 1660826440.000000 193.682000 9.49209e-005
102 1660826520.000000 193.833000 9.48017e-005
103 1660826600.000000 193.990500 9.48911e-005
104 1660826680.000000 194.146000 9.48613e-005
105 1660826760.000000 194.300500 9.49507e-005
106 1660826840.000000 194.454500 9.49805e-005
107 1660826920.000000 194.609500 9.48911e-005
108 1660827000.000000 194.767000 9.50103e-005
109 1660827080.000000 194.918000 9.49507e-005
110 1660827160.000000 195.071500 9.49805e-005
111 1660827240.000000 195.228500 9.50103e-005
112 1660827320.000000 195.383500 9.50401e-005
113 1660827400.000000 195.538000 9.50401e-005
114 1660827480.000000 195.695500 9.50103e-005
115 1660827560.000000 195.851500 9.49507e-005
116 1660827640.000000 196.006500 9.50401e-005
117 1660827720.000000 196.161000 9.50699e-005
118 1660827800.000000 196.313500 9.50997e-005
119 1660827880.000000 196.470000 9.50997e-005
120 1660827960.000000 196.624000 9.51295e-005
121 1660828040.000000 196.782500 9.50997e-005
122 1660828120.000000 196.936000 9.51891e-005
123 1660828200.000000 197.092000 9.52189e-005
124 1660828280.000000 197.249000 9.52189e-005
125 1660828360.000000 197.400500 9.52189e-005
126 1660828440.000000 197.558500 9.52487e-005
127 1660828520.000000 197.715000 9.52189e-005
128 1660828600.000000 197.866500 9.51891e-005
129 1660828680.000000 198.024000 9.52189e-005
130 1660828760.000000 198.179500 9.50997e-005
131 1660828840.000000 198.334500 9.52189e-005
132 1660828920.000000 198.491000 9.52785e-005
133 1660829000.000000 198.645000 9.51891e-005
134 1660829080.000000 198.799000 9.52487e-005
135 1660829160.000000 198.952000 9.52785e-005
136 1660829240.000000 199.109000 9.52487e-005
137 1660829320.000000 199.263000 9.53083e-005
138 1660829400.000000 199.417000 9.52487e-005
139 1660829480.000000 199.575000 9.52785e-005
140 1660829560.000000 199.728500 9.53381e-005
141 1660829640.000000 199.885000 9.53679e-005
142 1660829720.000000 200.041000 9.53679e-005
143 1660829800.000000 200.193000 9.52785e-005
144 1660829880.000000 200.351500 9.53083e-005
145 1660829960.000000 200.505000 9.53679e-005
146 1660830040.000000 200.658000 9.52487e-005
147 1660830120.000000 200.814500 9.53083e-005
148 1660830200.000000 200.967000 9.52189e-005
149 1660830280.000000 201.123500 9.53083e-005
150 1660830360.000000 201.279000 9.53083e-005
151 1660830440.000000 201.434500 9.53083e-005
152 1660830520.000000 201.588000 9.53381e-005
153 1660830600.000000 201.744500 9.52487e-005
154 1660830680.000000 201.899500 9.53679e-005
155 1660830760.000000 202.056000 9.53083e-005
156 1660830840.000000 202.209000 9.53083e-005
157 1660830920.000000 202.365000 9.53083e-005
158 1660831000.000000 202.520000 9.52189e-005
159 1660831080.000000 202.676000 9.52189e-005
160 1660831160.000000 202.830000 9.52487e-005
161 1660831240.000000 202.985500 9.52189e-005
162 1660831320.000000 203.141000 9.52487e-005
163 1660831400.000000 203.295500 9.51593e-005
164 1660831480.000000 203.452000 9.51891e-005
165 1660831560.000000 203.605500 9.50997e-005
166 1660831640.000000 203.762000 9.52487e-005
167 1660831720.000000 203.918500 9.51295e-005
168 1660831800.000000 204.071000 9.51891e-005
169 1660831880.000000 204.226500 9.52487e-005
170 1660831960.000000 204.380500 9.51593e-005
171 1660832040.000000 204.535500 9.51891e-005
172 1660832120.000000 204.692500 9.51593e-005
173 1660832200.000000 204.846000 9.50699e-005
174 1660832280.000000 205.000500 9.50997e-005
175 1660832360.000000 205.157500 9.50401e-005
176 1660832440.000000 205.310500 9.51295e-005
177 1660832520.000000 205.466000 9.50997e-005
178 1660832600.000000 205.624000 9.50997e-005
179 1660832680.000000 205.774500 9.51593e-005
180 1660832760.000000 205.933000 9.51891e-005
181 1660832840.000000 206.089000 9.51891e-005
182 1660832920.000000 206.242000 9.51593e-005
183 1660833000.000000 206.397500 9.51593e-005
184 1660833080.000000 206.552000 9.51891e-005
185 1660833160.000000 206.706500 9.50997e-005
186 1660833240.000000 206.863000 9.51295e-005
187 1660833320.000000 207.018000 9.50997e-005
188 1660833400.000000 207.173500 9.50699e-005
189 1660833480.000000 207.328500 9.50997e-005
190 1660833560.000000 207.486500 9.50103e-005
191 1660833640.000000 207.642000 9.51295e-005
192 1660833720.000000 207.793500 9.50699e-005
193 1660833800.000000 207.952500 9.50699e-005
194 1660833880.000000 208.103000 9.50699e-005
195 1660833960.000000 208.260000 9.50699e-005
196 1660834040.000000 208.416500 9.50997e-005
197 1660834120.000000 208.567500 9.50699e-005
198 1660834200.000000 208.726500 9.50997e-005
199 1660834280.000000 208.879500 9.50699e-005
200 1660834360.000000 209.033000 9.50699e-005
201 1660834440.000000 209.188500 9.50401e-005
202 1660834520.000000 209.342500 9.50103e-005
203 1660834600.000000 209.498500 9.50401e-005
204 1660834680.000000 209.653000 9.50699e-005
205 1660834760.000000 209.808500 9.50401e-005
206 1660834841.000000 209.964500 9.50401e-005
207 1660834920.000000 210.117000 9.50103e-005
208 1660835000.000000 210.273000 9.50401e-005
209 1660835080.000000 210.430500 9.49507e-005
210 1660835160.000000 210.584500 9.49507e-005
211 1660835240.000000 210.739500 9.49209e-005
212 1660835320.000000 210.892500 9.49209e-005
213 1660835400.000000 211.050000 9.49805e-005
214 1660835480.000000 211.203000 9.49209e-005
215 1660835560.000000 211.357000 9.49209e-005
216 1660835640.000000 211.513500 9.49507e-005
217 1660835720.000000 211.666500 9.48613e-005
218 1660835800.000000 211.823000 9.48315e-005
219 1660835880.000000 211.980500 9.48613e-005
220 1660835960.000000 212.133000 9.48911e-005
221 1660836040.000000 212.289500 9.48613e-005
