# NO SAMPLE
Y-Pol
FTS 150 GHz source w/circula4 feedhorn and 150 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; source has bandpass filter

SAMPLE: 605-606 etalon with a 3" spacing.

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 210.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1668184740.000000 178.011000 0.000180305
1 1668184820.000000 178.164000 0.000180216
2 1668184900.000000 178.315500 0.000180156
3 1668184980.000000 178.470000 0.000180305
4 1668185060.000000 178.623500 0.000180186
5 1668185140.000000 178.781500 0.000180245
6 1668185220.000000 178.935000 0.000180216
7 1668185300.000000 179.088500 0.000180096
8 1668185380.000000 179.243500 0.000180126
9 1668185460.000000 179.400000 0.000180186
10 1668185540.000000 179.553500 0.000180216
11 1668185620.000000 179.707000 0.000180126
12 1668185700.000000 179.861000 0.000180096
13 1668185780.000000 180.016000 0.000180186
14 1668185860.000000 180.170500 0.000180216
15 1668185940.000000 180.326500 0.000180245
16 1668186020.000000 180.479500 0.000180216
17 1668186100.000000 180.635000 0.000180216
18 1668186180.000000 180.792000 0.000180245
19 1668186260.000000 180.943500 0.000180096
20 1668186340.000000 181.099500 0.000180126
21 1668186420.000000 181.256500 0.000180156
22 1668186500.000000 181.409500 0.000180186
23 1668186580.000000 181.567000 0.000180216
24 1668186660.000000 181.724000 0.000180126
25 1668186740.000000 181.879500 0.000180186
26 1668186820.000000 182.036500 0.000180126
27 1668186900.000000 182.191000 0.000180186
28 1668186980.000000 182.348000 0.000180096
29 1668187060.000000 182.502000 0.000180186
30 1668187140.000000 182.652000 0.000180216
31 1668187220.000000 182.810500 0.000180245
32 1668187300.000000 182.967000 0.000180186
33 1668187380.000000 183.123000 0.000180096
34 1668187460.000000 183.280000 0.000180037
35 1668187540.000000 183.433000 0.000180096
36 1668187620.000000 183.590000 0.000180186
37 1668187700.000000 183.743000 0.000180365
38 1668187780.000000 183.895500 0.000180305
39 1668187860.000000 184.054000 0.000180216
40 1668187940.000000 184.206000 0.000180156
41 1668188020.000000 184.362500 0.000180067
42 1668188100.000000 184.515500 0.000180245
43 1668188180.000000 184.670000 0.000180394
44 1668188260.000000 184.827500 0.000180514
45 1668188340.000000 184.982000 0.000180394
46 1668188420.000000 185.137000 0.000180186
47 1668188500.000000 185.294000 0.000180156
48 1668188580.000000 185.449500 0.000180245
49 1668188660.000000 185.605000 0.000180394
50 1668188740.000000 185.759000 0.000180543
51 1668188820.000000 185.911500 0.000180543
52 1668188900.000000 186.067500 0.000180484
53 1668188980.000000 186.221500 0.000180305
54 1668189060.000000 186.378000 0.000180305
55 1668189140.000000 186.532000 0.000180335
56 1668189220.000000 186.689000 0.000180424
57 1668189300.000000 186.847000 0.000180663
58 1668189380.000000 186.999500 0.000180603
59 1668189460.000000 187.158000 0.000180454
60 1668189540.000000 187.311000 0.000180305
61 1668189620.000000 187.464000 0.000180335
62 1668189700.000000 187.623500 0.000180424
63 1668189780.000000 187.776500 0.000180365
64 1668189860.000000 187.932500 0.000180543
65 1668189940.000000 188.089500 0.000180484
66 1668190020.000000 188.241000 0.000180394
67 1668190100.000000 188.400500 0.000180305
68 1668190180.000000 188.553000 0.000180305
69 1668190260.000000 188.706000 0.000180454
70 1668190340.000000 188.861500 0.000180365
71 1668190420.000000 189.017500 0.000180514
72 1668190500.000000 189.173500 0.000180484
73 1668190580.000000 189.328000 0.000180424
74 1668190660.000000 189.481000 0.000180454
75 1668190740.000000 189.638000 0.000180365
76 1668190820.000000 189.791000 0.000180484
